,Answer,True,Confidence,False,Class
0,True,0.92,0.92,0.07999999999999996,0
1,False,0.16,0.71,0.84,1
2,False,0.51,0.49,0.49,1
3,True,0.58,0.64,0.42000000000000004,0
4,False,0.35,0.6599999999999999,0.65,1
5,True,0.59,0.51,0.41000000000000003,0
6,True,0.41,0.63,0.5900000000000001,0
7,False,0.31,0.97,0.69,1
8,False,0.48,0.6599999999999999,0.52,1
9,False,0.27,0.86,0.73,1
10,True,0.35,0.62,0.65,0
11,True,0.75,0.75,0.25,0
12,False,0.7,0.17000000000000004,0.30000000000000004,1
13,True,0.75,0.83,0.25,0
14,False,0.26,0.6599999999999999,0.74,1
15,False,0.46,0.53,0.54,1
16,False,0.51,0.49,0.49,1
17,False,0.45,0.73,0.55,1
18,False,0.54,0.51,0.45999999999999996,1
19,False,0.51,0.49,0.49,1
20,False,0.31,0.6799999999999999,0.69,1
21,False,0.5,0.84,0.5,1
22,False,0.5,0.49,0.5,1
23,False,0.51,0.49,0.49,1
24,False,0.51,0.5,0.49,1
25,False,0.0,1.0,1.0,1
26,False,0.0,1.0,1.0,1
27,False,0.42,0.76,0.5800000000000001,1
28,True,0.58,0.38,0.42000000000000004,0
29,True,0.81,0.82,0.18999999999999995,0
30,True,0.87,0.97,0.13,0
31,True,0.82,0.72,0.18000000000000005,0
32,False,0.51,0.49,0.49,1
33,True,0.41,0.29,0.5900000000000001,0
34,True,0.51,0.51,0.49,0
35,False,0.35,0.5,0.65,1
36,True,0.79,0.8,0.20999999999999996,0
37,False,0.61,0.65,0.39,1
38,False,0.47,0.5,0.53,1
39,False,0.35,0.5,0.65,1
40,True,0.38,0.31,0.62,0
41,False,0.59,0.49,0.41000000000000003,1
42,True,0.93,0.98,0.06999999999999995,0
43,True,0.88,0.9,0.12,0
44,False,0.33,0.54,0.6699999999999999,1
45,True,0.87,0.78,0.13,0
46,True,0.65,0.5,0.35,0
47,False,0.39,0.49,0.61,1
48,True,0.58,0.51,0.42000000000000004,0
49,False,0.5,0.7,0.5,1
50,True,0.51,0.51,0.49,0
51,True,0.92,0.9,0.07999999999999996,0
52,True,0.36,0.62,0.64,0
53,False,0.37,0.78,0.63,1
54,False,0.5,0.64,0.5,1
55,False,0.39,0.7,0.61,1
56,True,0.51,0.51,0.49,0
57,False,0.0,1.0,1.0,1
58,True,0.56,0.7,0.43999999999999995,0
59,True,0.61,0.51,0.39,0
60,False,0.76,0.74,0.24,1
61,False,0.45,0.5900000000000001,0.55,1
62,False,0.73,0.32999999999999996,0.27,1
63,False,0.74,0.75,0.26,1
64,False,0.4,0.5,0.6,1
65,True,0.75,0.79,0.25,0
66,False,0.34,0.91,0.6599999999999999,1
67,True,0.76,0.67,0.24,0
68,True,0.94,0.91,0.06000000000000005,0
69,False,0.48,0.92,0.52,1
70,True,0.64,0.31,0.36,0
71,True,0.87,0.83,0.13,0
72,True,0.86,0.78,0.14,0
73,False,0.98,0.030000000000000027,0.020000000000000018,1
74,True,0.84,0.87,0.16000000000000003,0
75,False,0.0,1.0,1.0,1
76,True,0.63,0.81,0.37,0
77,True,0.82,0.6,0.18000000000000005,0
78,True,0.66,0.73,0.33999999999999997,0
79,True,0.4,0.5,0.6,0
80,False,0.18,0.49,0.8200000000000001,1
81,False,0.36,0.98,0.64,1
82,False,0.84,0.06000000000000005,0.16000000000000003,1
83,True,0.76,0.7,0.24,0
84,False,0.47,0.51,0.53,1
85,False,0.38,0.6699999999999999,0.62,1
86,True,0.75,0.8,0.25,0
87,True,0.68,0.77,0.31999999999999995,0
88,False,0.51,0.49,0.49,1
89,False,0.25,0.81,0.75,1
90,True,0.54,0.54,0.45999999999999996,0
91,True,0.85,0.5,0.15000000000000002,0
92,False,0.4,0.76,0.6,1
