Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,AK_gub1,2,6,0.28,0.72,Solver,N/A
11,AK_gub1,2,6,0.49,0.51,Solver,N/A
15,AK_gub1,1,8,0.83,0.17,Non-Solver,N/A
27,AK_gub1,1,6,0.54,0.46,Non-Solver,N/A
28,AK_gub1,2,2,0.16,0.84,Solver,N/A
29,AK_gub1,2,6,0.24,0.76,Solver,N/A
32,AK_gub1,2,6,0.58,0.42,Solver,N/A
34,AK_gub1,1,4,0.4,0.6,Non-Solver,N/A
40,AK_gub1,2,8,0.28,0.72,Solver,N/A
41,AK_gub1,2,2,0.38,0.62,Solver,N/A
46,AK_gub1,2,8,0.29,0.71,Solver,N/A
51,AK_gub1,1,6,0.35,0.65,Non-Solver,N/A
56,AK_gub1,1,6,0.46,0.54,Non-Solver,N/A
60,AK_gub1,2,2,0.67,0.33,Solver,N/A
62,AK_gub1,1,2,0.37,0.63,Non-Solver,N/A
64,AK_gub1,2,6,0.48,0.52,Solver,N/A
70,AK_gub1,2,2,0.63,0.37,Solver,N/A
74,AK_gub1,2,6,0.21,0.79,Solver,N/A
76,AK_gub1,2,4,0.59,0.41,Solver,N/A
79,AK_gub1,2,2,0.48,0.52,Solver,N/A
82,AK_gub1,1,8,0.85,0.15,Non-Solver,N/A
83,AK_gub1,2,8,0.23,0.77,Solver,N/A
84,AK_gub1,1,4,0.36,0.64,Non-Solver,N/A
87,AK_gub1,2,4,0.4,0.6,Solver,N/A
88,AK_gub1,2,8,0.25,0.75,Solver,N/A
92,AK_gub1,2,8,0.3,0.7,Solver,N/A
95,AK_gub1,1,2,0.5,0.5,Non-Solver,N/A
96,AK_gub1,2,2,0.28,0.72,Solver,N/A
102,AK_gub1,2,6,0.3,0.7,Solver,N/A
108,AK_gub1,2,6,0.4,0.6,Solver,N/A
120,AK_gub1,2,2,0.38,0.62,Solver,N/A
122,AK_gub1,2,6,0.3,0.7,Solver,N/A
126,AK_gub1,2,8,0.17,0.83,Solver,N/A
131,AK_gub1,2,6,0.35,0.65,Solver,N/A
135,AK_gub1,1,6,0.87,0.13,Non-Solver,N/A
140,AK_gub1,1,4,0.35,0.65,Non-Solver,N/A
141,AK_gub1,2,6,0.42,0.58,Solver,N/A
154,AK_gub1,2,6,0.37,0.63,Solver,N/A
158,AK_gub1,2,6,0.49,0.51,Solver,N/A
163,AK_gub1,2,6,0.25,0.75,Solver,N/A
166,AK_gub1,2,6,0.4,0.6,Solver,N/A
170,AK_gub1,1,2,0.58,0.42,Non-Solver,N/A
171,AK_gub1,2,6,0.4,0.6,Solver,N/A
172,AK_gub1,2,8,0.3,0.7,Solver,N/A
192,AK_gub1,2,6,0.43,0.57,Solver,N/A
195,AK_gub1,1,8,0.94,0.0600000000000001,Non-Solver,N/A
199,AK_gub1,2,6,0.46,0.54,Solver,N/A
201,AK_gub1,1,10,1.0,0.0,Non-Solver,N/A
220,AK_gub1,1,4,0.55,0.45,Non-Solver,N/A
229,AK_gub1,2,2,0.42,0.58,Solver,N/A
231,AK_gub1,2,6,0.37,0.63,Solver,N/A
234,AK_gub1,2,6,0.41,0.59,Solver,N/A
243,AK_gub1,1,6,0.56,0.44,Non-Solver,N/A
245,AK_gub1,2,6,0.4,0.6,Solver,N/A
254,AK_gub1,2,6,0.39,0.61,Solver,N/A
256,AK_gub1,1,2,0.3,0.7,Non-Solver,N/A
259,AK_gub1,1,2,0.8,0.2,Non-Solver,N/A
265,AK_gub1,2,2,0.76,0.24,Solver,N/A
273,AK_gub1,1,2,0.5,0.5,Non-Solver,N/A
274,AK_gub1,2,8,0.08,0.92,Solver,N/A
284,AK_gub1,2,2,0.16,0.84,Solver,N/A
289,AK_gub1,1,2,0.62,0.38,Non-Solver,N/A
290,AK_gub1,2,6,0.35,0.65,Solver,N/A
305,AK_gub1,2,2,0.19,0.81,Solver,N/A
306,AK_gub1,2,2,0.44,0.56,Solver,N/A
