Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,AL_gub,2,8,0.25,0.75,Solver,N/A
4,AL_gub,2,10,0.15,0.85,Solver,N/A
10,AL_gub,1,6,0.64,0.36,Non-Solver,N/A
14,AL_gub,2,8,0.8,0.2,Solver,N/A
16,AL_gub,2,6,0.38,0.62,Solver,N/A
26,AL_gub,2,4,0.5,0.5,Solver,N/A
30,AL_gub,2,6,0.15,0.85,Solver,N/A
32,AL_gub,2,8,0.23,0.77,Solver,N/A
42,AL_gub,2,8,0.38,0.62,Solver,N/A
46,AL_gub,2,6,0.31,0.69,Solver,N/A
47,AL_gub,2,8,0.34,0.66,Solver,N/A
58,AL_gub,1,10,1.0,0.0,Non-Solver,N/A
59,AL_gub,2,2,0.5,0.5,Solver,N/A
71,AL_gub,2,6,0.26,0.74,Solver,N/A
75,AL_gub,2,10,0.12,0.88,Solver,N/A
82,AL_gub,2,6,0.4,0.6,Solver,N/A
87,AL_gub,1,6,0.7,0.3,Non-Solver,N/A
90,AL_gub,2,2,0.2,0.8,Solver,N/A
92,AL_gub,2,4,0.4,0.6,Solver,N/A
98,AL_gub,2,6,0.17,0.83,Solver,N/A
104,AL_gub,2,2,0.49,0.51,Solver,N/A
108,AL_gub,2,6,0.65,0.35,Solver,N/A
110,AL_gub,2,2,0.49,0.51,Solver,N/A
116,AL_gub,2,2,0.38,0.62,Solver,N/A
124,AL_gub,2,8,0.3,0.7,Solver,N/A
131,AL_gub,2,6,0.33,0.67,Solver,N/A
137,AL_gub,2,8,0.31,0.69,Solver,N/A
141,AL_gub,2,6,0.43,0.57,Solver,N/A
145,AL_gub,1,2,0.3,0.7,Non-Solver,N/A
147,AL_gub,2,8,0.42,0.58,Solver,N/A
157,AL_gub,2,8,0.07,0.93,Solver,N/A
160,AL_gub,2,6,0.57,0.43,Solver,N/A
162,AL_gub,1,8,0.91,0.09,Non-Solver,N/A
166,AL_gub,2,6,0.3,0.7,Solver,N/A
167,AL_gub,2,8,0.2,0.8,Solver,N/A
173,AL_gub,2,2,0.5,0.5,Solver,N/A
180,AL_gub,1,4,0.38,0.62,Non-Solver,N/A
182,AL_gub,2,8,0.33,0.67,Solver,N/A
185,AL_gub,2,8,0.2,0.8,Solver,N/A
189,AL_gub,2,8,0.15,0.85,Solver,N/A
195,AL_gub,1,6,0.9,0.1,Non-Solver,N/A
198,AL_gub,2,4,0.17,0.83,Solver,N/A
205,AL_gub,2,6,0.29,0.71,Solver,N/A
207,AL_gub,2,4,0.54,0.46,Solver,N/A
208,AL_gub,1,2,0.51,0.49,Non-Solver,N/A
214,AL_gub,2,6,0.45,0.55,Solver,N/A
216,AL_gub,2,6,0.3,0.7,Solver,N/A
218,AL_gub,2,10,0.34,0.66,Solver,N/A
223,AL_gub,2,8,0.12,0.88,Solver,N/A
231,AL_gub,2,8,0.24,0.76,Solver,N/A
233,AL_gub,2,6,0.3,0.7,Solver,N/A
234,AL_gub,2,8,0.1,0.9,Solver,N/A
236,AL_gub,2,8,0.07,0.93,Solver,N/A
239,AL_gub,2,8,0.18,0.82,Solver,N/A
240,AL_gub,2,8,0.21,0.79,Solver,N/A
245,AL_gub,2,6,0.4,0.6,Solver,N/A
257,AL_gub,2,2,0.5,0.5,Solver,N/A
260,AL_gub,2,10,0.25,0.75,Solver,N/A
267,AL_gub,2,6,0.37,0.63,Solver,N/A
268,AL_gub,1,4,0.4,0.6,Non-Solver,N/A
269,AL_gub,2,4,0.16,0.84,Solver,N/A
276,AL_gub,2,6,0.4,0.6,Solver,N/A
281,AL_gub,1,2,0.51,0.49,Non-Solver,N/A
286,AL_gub,1,2,0.54,0.46,Non-Solver,N/A
291,AL_gub,1,4,0.51,0.49,Non-Solver,N/A
295,AL_gub,2,2,0.42,0.58,Solver,N/A
296,AL_gub,2,4,0.49,0.51,Solver,N/A
303,AL_gub,2,6,0.51,0.49,Solver,N/A
308,AL_gub,2,2,0.49,0.51,Solver,N/A
