Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,AZ_2,1,6,0.6,0.4,Solver,N/A
3,AZ_2,1,4,0.33,0.67,Solver,N/A
19,AZ_2,2,4,0.4,0.6,Non-Solver,N/A
20,AZ_2,1,2,0.47,0.53,Solver,N/A
22,AZ_2,2,2,0.44,0.56,Non-Solver,N/A
27,AZ_2,1,6,0.67,0.33,Solver,N/A
29,AZ_2,2,4,0.6,0.4,Non-Solver,N/A
33,AZ_2,1,2,0.42,0.58,Solver,N/A
38,AZ_2,2,6,0.71,0.29,Non-Solver,N/A
54,AZ_2,1,2,0.51,0.49,Solver,N/A
59,AZ_2,1,2,0.5,0.5,Solver,N/A
60,AZ_2,1,6,0.57,0.43,Solver,N/A
61,AZ_2,1,6,0.4,0.6,Solver,N/A
64,AZ_2,2,4,0.47,0.53,Non-Solver,N/A
71,AZ_2,2,6,0.33,0.67,Non-Solver,N/A
72,AZ_2,1,6,0.62,0.38,Solver,N/A
74,AZ_2,1,6,0.75,0.25,Solver,N/A
77,AZ_2,1,6,0.66,0.34,Solver,N/A
80,AZ_2,2,2,0.5,0.5,Non-Solver,N/A
83,AZ_2,1,6,0.61,0.39,Solver,N/A
85,AZ_2,2,6,0.47,0.53,Non-Solver,N/A
86,AZ_2,2,8,0.2,0.8,Non-Solver,N/A
96,AZ_2,1,6,0.53,0.47,Solver,N/A
97,AZ_2,1,6,0.75,0.25,Solver,N/A
98,AZ_2,2,2,0.35,0.65,Non-Solver,N/A
102,AZ_2,1,2,0.5,0.5,Solver,N/A
103,AZ_2,1,4,0.74,0.26,Solver,N/A
107,AZ_2,2,6,0.26,0.74,Non-Solver,N/A
109,AZ_2,2,2,0.59,0.41,Non-Solver,N/A
115,AZ_2,1,6,0.49,0.51,Solver,N/A
117,AZ_2,2,8,0.2,0.8,Non-Solver,N/A
120,AZ_2,2,8,0.17,0.83,Non-Solver,N/A
126,AZ_2,2,6,0.51,0.49,Non-Solver,N/A
142,AZ_2,1,6,0.5,0.5,Solver,N/A
143,AZ_2,2,2,0.59,0.41,Non-Solver,N/A
145,AZ_2,2,4,0.75,0.25,Non-Solver,N/A
153,AZ_2,2,8,0.29,0.71,Non-Solver,N/A
161,AZ_2,1,4,0.29,0.71,Solver,N/A
162,AZ_2,1,8,0.61,0.39,Solver,N/A
166,AZ_2,2,4,0.4,0.6,Non-Solver,N/A
170,AZ_2,1,4,0.6,0.4,Solver,N/A
180,AZ_2,1,2,0.45,0.55,Solver,N/A
182,AZ_2,2,8,0.28,0.72,Non-Solver,N/A
185,AZ_2,1,8,0.75,0.25,Solver,N/A
190,AZ_2,1,8,0.7,0.3,Solver,N/A
192,AZ_2,2,4,0.45,0.55,Non-Solver,N/A
199,AZ_2,1,6,0.51,0.49,Solver,N/A
202,AZ_2,2,6,0.46,0.54,Non-Solver,N/A
205,AZ_2,2,8,0.39,0.61,Non-Solver,N/A
206,AZ_2,1,4,0.38,0.62,Solver,N/A
207,AZ_2,1,6,0.61,0.39,Solver,N/A
209,AZ_2,2,6,0.31,0.69,Non-Solver,N/A
210,AZ_2,1,6,0.6,0.4,Solver,N/A
217,AZ_2,1,4,0.51,0.49,Solver,N/A
222,AZ_2,1,6,0.51,0.49,Solver,N/A
226,AZ_2,1,2,0.3,0.7,Solver,N/A
229,AZ_2,2,2,0.54,0.46,Non-Solver,N/A
234,AZ_2,1,8,0.81,0.19,Solver,N/A
243,AZ_2,2,8,0.11,0.89,Non-Solver,N/A
247,AZ_2,2,2,0.34,0.66,Non-Solver,N/A
254,AZ_2,1,6,0.51,0.49,Solver,N/A
263,AZ_2,1,2,0.5,0.5,Solver,N/A
265,AZ_2,2,2,0.7,0.3,Non-Solver,N/A
277,AZ_2,2,10,0.08,0.92,Non-Solver,N/A
279,AZ_2,1,8,0.83,0.17,Solver,N/A
286,AZ_2,1,2,0.51,0.49,Solver,N/A
293,AZ_2,2,6,0.34,0.66,Non-Solver,N/A
294,AZ_2,2,4,0.59,0.41,Non-Solver,N/A
297,AZ_2,2,10,0.09,0.91,Non-Solver,N/A
300,AZ_2,2,10,0.18,0.82,Non-Solver,N/A
305,AZ_2,2,2,0.62,0.38,Non-Solver,N/A
306,AZ_2,1,2,0.48,0.52,Solver,N/A
309,AZ_2,2,6,0.52,0.48,Non-Solver,N/A
