Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,AZ_gub,2,6,0.26,0.74,Solver,N/A
3,AZ_gub,1,8,0.44,0.56,Non-Solver,N/A
7,AZ_gub,1,8,0.88,0.12,Non-Solver,N/A
18,AZ_gub,1,2,0.56,0.44,Non-Solver,N/A
22,AZ_gub,2,2,0.45,0.55,Solver,N/A
24,AZ_gub,1,2,0.46,0.54,Non-Solver,N/A
27,AZ_gub,1,6,0.57,0.43,Non-Solver,N/A
37,AZ_gub,1,6,0.74,0.26,Non-Solver,N/A
43,AZ_gub,1,2,0.53,0.47,Non-Solver,N/A
52,AZ_gub,2,4,0.49,0.51,Solver,N/A
53,AZ_gub,1,8,0.72,0.28,Non-Solver,N/A
70,AZ_gub,2,2,0.81,0.19,Solver,N/A
81,AZ_gub,1,8,0.89,0.11,Non-Solver,N/A
84,AZ_gub,1,6,0.44,0.56,Non-Solver,N/A
85,AZ_gub,2,4,0.36,0.64,Solver,N/A
89,AZ_gub,2,8,0.26,0.74,Solver,N/A
94,AZ_gub,1,2,0.16,0.84,Non-Solver,N/A
95,AZ_gub,2,2,0.5,0.5,Solver,N/A
96,AZ_gub,2,2,0.46,0.54,Solver,N/A
100,AZ_gub,2,6,0.3,0.7,Solver,N/A
102,AZ_gub,1,4,0.55,0.45,Non-Solver,N/A
105,AZ_gub,1,4,0.55,0.45,Non-Solver,N/A
114,AZ_gub,2,6,0.32,0.68,Solver,N/A
116,AZ_gub,2,2,0.36,0.64,Solver,N/A
117,AZ_gub,2,10,0.39,0.61,Solver,N/A
118,AZ_gub,2,10,0.0,1.0,Solver,N/A
122,AZ_gub,1,2,0.7,0.3,Non-Solver,N/A
123,AZ_gub,2,8,0.29,0.71,Solver,N/A
130,AZ_gub,1,6,0.55,0.45,Non-Solver,N/A
133,AZ_gub,1,2,0.57,0.43,Non-Solver,N/A
137,AZ_gub,2,6,0.31,0.69,Solver,N/A
148,AZ_gub,1,2,0.5,0.5,Non-Solver,N/A
154,AZ_gub,2,4,0.34,0.66,Solver,N/A
162,AZ_gub,1,6,0.61,0.39,Non-Solver,N/A
166,AZ_gub,2,4,0.5,0.5,Solver,N/A
170,AZ_gub,1,4,0.59,0.41,Non-Solver,N/A
172,AZ_gub,2,6,0.28,0.72,Solver,N/A
174,AZ_gub,1,6,0.59,0.41,Non-Solver,N/A
176,AZ_gub,2,4,0.65,0.35,Solver,N/A
177,AZ_gub,2,4,0.64,0.36,Solver,N/A
192,AZ_gub,1,4,0.46,0.54,Non-Solver,N/A
200,AZ_gub,1,2,0.51,0.49,Non-Solver,N/A
205,AZ_gub,2,6,0.46,0.54,Solver,N/A
206,AZ_gub,1,4,0.44,0.56,Non-Solver,N/A
207,AZ_gub,2,6,0.33,0.67,Solver,N/A
209,AZ_gub,2,6,0.32,0.68,Solver,N/A
219,AZ_gub,2,6,0.3,0.7,Solver,N/A
221,AZ_gub,2,8,0.08,0.92,Solver,N/A
222,AZ_gub,2,6,0.19,0.81,Solver,N/A
223,AZ_gub,2,6,0.43,0.57,Solver,N/A
229,AZ_gub,2,2,0.41,0.59,Solver,N/A
230,AZ_gub,1,6,0.55,0.45,Non-Solver,N/A
233,AZ_gub,2,4,0.65,0.35,Solver,N/A
234,AZ_gub,1,2,0.7,0.3,Non-Solver,N/A
240,AZ_gub,2,4,0.47,0.53,Solver,N/A
241,AZ_gub,2,4,0.32,0.68,Solver,N/A
242,AZ_gub,1,6,0.63,0.37,Non-Solver,N/A
246,AZ_gub,1,4,0.57,0.43,Non-Solver,N/A
251,AZ_gub,1,2,0.11,0.89,Non-Solver,N/A
253,AZ_gub,2,8,0.61,0.39,Solver,N/A
257,AZ_gub,1,6,0.6,0.4,Non-Solver,N/A
259,AZ_gub,1,2,0.8,0.2,Non-Solver,N/A
275,AZ_gub,2,10,0.15,0.85,Solver,N/A
285,AZ_gub,1,4,0.72,0.28,Non-Solver,N/A
286,AZ_gub,1,4,0.71,0.29,Non-Solver,N/A
287,AZ_gub,2,2,0.6,0.4,Solver,N/A
292,AZ_gub,2,6,0.32,0.68,Solver,N/A
298,AZ_gub,2,6,0.27,0.73,Solver,N/A
304,AZ_gub,1,6,0.56,0.44,Non-Solver,N/A
307,AZ_gub,1,6,0.51,0.49,Non-Solver,N/A
