Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,AZ_sen,1,8,0.35,0.65,Solver,N/A
7,AZ_sen,1,6,0.83,0.17,Solver,N/A
8,AZ_sen,1,4,0.1,0.9,Solver,N/A
9,AZ_sen,2,2,0.51,0.49,Non-Solver,N/A
16,AZ_sen,2,8,0.15,0.85,Non-Solver,N/A
18,AZ_sen,2,2,0.37,0.63,Non-Solver,N/A
26,AZ_sen,1,4,0.5,0.5,Solver,N/A
33,AZ_sen,1,8,0.81,0.19,Solver,N/A
39,AZ_sen,2,8,0.3,0.7,Non-Solver,N/A
44,AZ_sen,2,4,0.45,0.55,Non-Solver,N/A
47,AZ_sen,2,10,0.23,0.77,Non-Solver,N/A
53,AZ_sen,1,2,0.32,0.68,Solver,N/A
54,AZ_sen,1,2,0.52,0.48,Solver,N/A
63,AZ_sen,2,8,0.3,0.7,Non-Solver,N/A
64,AZ_sen,1,6,0.52,0.48,Solver,N/A
77,AZ_sen,1,6,0.74,0.26,Solver,N/A
79,AZ_sen,1,6,0.54,0.46,Solver,N/A
91,AZ_sen,2,6,0.45,0.55,Non-Solver,N/A
97,AZ_sen,1,4,0.54,0.46,Solver,N/A
104,AZ_sen,1,2,0.57,0.43,Solver,N/A
110,AZ_sen,2,2,0.49,0.51,Non-Solver,N/A
116,AZ_sen,2,4,0.39,0.61,Non-Solver,N/A
121,AZ_sen,2,6,0.4,0.6,Non-Solver,N/A
131,AZ_sen,1,6,0.42,0.58,Solver,N/A
132,AZ_sen,2,6,0.43,0.57,Non-Solver,N/A
138,AZ_sen,1,6,0.41,0.59,Solver,N/A
140,AZ_sen,1,4,0.22,0.78,Solver,N/A
142,AZ_sen,1,4,0.2,0.8,Solver,N/A
144,AZ_sen,2,6,0.38,0.62,Non-Solver,N/A
148,AZ_sen,1,4,0.45,0.55,Solver,N/A
150,AZ_sen,2,2,0.32,0.68,Non-Solver,N/A
151,AZ_sen,2,6,0.4,0.6,Non-Solver,N/A
155,AZ_sen,2,8,0.31,0.69,Non-Solver,N/A
158,AZ_sen,2,6,0.37,0.63,Non-Solver,N/A
159,AZ_sen,1,6,0.51,0.49,Solver,N/A
163,AZ_sen,2,6,0.11,0.89,Non-Solver,N/A
168,AZ_sen,1,6,0.55,0.45,Solver,N/A
169,AZ_sen,1,6,0.63,0.37,Solver,N/A
183,AZ_sen,2,4,0.7,0.3,Non-Solver,N/A
187,AZ_sen,1,4,0.44,0.56,Solver,N/A
191,AZ_sen,1,4,0.49,0.51,Solver,N/A
193,AZ_sen,2,6,0.42,0.58,Non-Solver,N/A
195,AZ_sen,1,10,0.82,0.18,Solver,N/A
201,AZ_sen,1,10,0.98,0.02,Solver,N/A
204,AZ_sen,2,6,0.3,0.7,Non-Solver,N/A
206,AZ_sen,1,6,0.57,0.43,Solver,N/A
215,AZ_sen,2,6,0.27,0.73,Non-Solver,N/A
217,AZ_sen,2,8,0.19,0.81,Non-Solver,N/A
225,AZ_sen,1,2,0.4,0.6,Solver,N/A
231,AZ_sen,1,8,0.78,0.22,Solver,N/A
235,AZ_sen,2,10,0.25,0.75,Non-Solver,N/A
239,AZ_sen,2,8,0.3,0.7,Non-Solver,N/A
240,AZ_sen,2,8,0.4,0.6,Non-Solver,N/A
241,AZ_sen,2,4,0.32,0.68,Non-Solver,N/A
246,AZ_sen,1,2,0.52,0.48,Solver,N/A
251,AZ_sen,1,2,0.51,0.49,Solver,N/A
253,AZ_sen,1,8,0.81,0.19,Solver,N/A
259,AZ_sen,1,2,0.8,0.2,Solver,N/A
277,AZ_sen,2,8,0.16,0.84,Non-Solver,N/A
281,AZ_sen,2,6,0.3,0.7,Non-Solver,N/A
285,AZ_sen,1,4,0.52,0.48,Solver,N/A
286,AZ_sen,1,2,0.59,0.41,Solver,N/A
290,AZ_sen,2,8,0.41,0.59,Non-Solver,N/A
292,AZ_sen,2,2,0.29,0.71,Non-Solver,N/A
294,AZ_sen,2,2,0.65,0.35,Non-Solver,N/A
297,AZ_sen,2,10,0.07,0.93,Non-Solver,N/A
308,AZ_sen,2,2,0.49,0.51,Non-Solver,N/A
309,AZ_sen,2,6,0.64,0.36,Non-Solver,N/A
