Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,CA_48,1,8,0.37,0.63,Solver,N/A
5,CA_48,1,6,0.24,0.76,Solver,N/A
6,CA_48,2,8,0.24,0.76,Non-Solver,N/A
14,CA_48,2,4,0.66,0.34,Non-Solver,N/A
20,CA_48,1,2,0.42,0.58,Solver,N/A
22,CA_48,2,2,0.44,0.56,Non-Solver,N/A
31,CA_48,1,6,0.8,0.2,Solver,N/A
33,CA_48,1,6,0.35,0.65,Solver,N/A
43,CA_48,1,10,1.0,0.0,Solver,N/A
49,CA_48,1,4,0.5,0.5,Solver,N/A
66,CA_48,1,10,0.77,0.23,Solver,N/A
71,CA_48,1,6,0.74,0.26,Solver,N/A
74,CA_48,1,10,0.94,0.0600000000000001,Solver,N/A
78,CA_48,1,6,0.75,0.25,Solver,N/A
80,CA_48,1,4,0.5,0.5,Solver,N/A
89,CA_48,1,8,0.73,0.27,Solver,N/A
92,CA_48,1,8,0.81,0.19,Solver,N/A
93,CA_48,1,6,0.51,0.49,Solver,N/A
95,CA_48,1,8,0.75,0.25,Solver,N/A
97,CA_48,1,6,0.72,0.28,Solver,N/A
98,CA_48,1,2,0.73,0.27,Solver,N/A
99,CA_48,2,8,0.02,0.98,Non-Solver,N/A
103,CA_48,1,4,0.55,0.45,Solver,N/A
108,CA_48,1,6,0.86,0.14,Solver,N/A
110,CA_48,2,2,0.49,0.51,Non-Solver,N/A
113,CA_48,2,2,0.53,0.47,Non-Solver,N/A
116,CA_48,2,2,0.43,0.57,Non-Solver,N/A
119,CA_48,1,6,0.62,0.38,Solver,N/A
123,CA_48,1,6,0.54,0.46,Solver,N/A
124,CA_48,1,10,0.88,0.12,Solver,N/A
132,CA_48,1,8,0.71,0.29,Solver,N/A
137,CA_48,1,8,0.79,0.21,Solver,N/A
140,CA_48,1,4,0.31,0.69,Solver,N/A
141,CA_48,1,6,0.61,0.39,Solver,N/A
145,CA_48,2,2,0.6,0.4,Non-Solver,N/A
147,CA_48,1,6,0.59,0.41,Solver,N/A
153,CA_48,1,6,0.32,0.68,Solver,N/A
154,CA_48,1,4,0.57,0.43,Solver,N/A
155,CA_48,1,6,0.6,0.4,Solver,N/A
165,CA_48,2,4,0.49,0.51,Non-Solver,N/A
167,CA_48,1,6,0.8,0.2,Solver,N/A
171,CA_48,1,6,0.26,0.74,Solver,N/A
180,CA_48,1,6,0.6,0.4,Solver,N/A
182,CA_48,1,8,0.77,0.23,Solver,N/A
184,CA_48,2,6,0.48,0.52,Non-Solver,N/A
187,CA_48,1,6,0.65,0.35,Solver,N/A
188,CA_48,2,2,0.5,0.5,Non-Solver,N/A
194,CA_48,1,4,0.5,0.5,Solver,N/A
197,CA_48,1,8,0.72,0.28,Solver,N/A
209,CA_48,2,4,0.44,0.56,Non-Solver,N/A
212,CA_48,1,10,0.95,0.05,Solver,N/A
214,CA_48,1,2,0.6,0.4,Solver,N/A
215,CA_48,2,6,0.3,0.7,Non-Solver,N/A
227,CA_48,1,4,0.46,0.54,Solver,N/A
233,CA_48,2,10,0.38,0.62,Non-Solver,N/A
245,CA_48,1,10,0.8,0.2,Solver,N/A
246,CA_48,2,4,0.43,0.57,Non-Solver,N/A
247,CA_48,2,2,0.37,0.63,Non-Solver,N/A
259,CA_48,1,8,0.85,0.15,Solver,N/A
261,CA_48,1,6,0.61,0.39,Solver,N/A
264,CA_48,1,6,0.66,0.34,Solver,N/A
266,CA_48,1,8,0.71,0.29,Solver,N/A
268,CA_48,1,8,0.85,0.15,Solver,N/A
272,CA_48,1,4,0.56,0.44,Solver,N/A
273,CA_48,1,4,0.35,0.65,Solver,N/A
277,CA_48,2,8,0.12,0.88,Non-Solver,N/A
284,CA_48,2,4,0.57,0.43,Non-Solver,N/A
294,CA_48,2,2,0.73,0.27,Non-Solver,N/A
296,CA_48,1,8,0.79,0.21,Solver,N/A
300,CA_48,1,10,0.94,0.0600000000000001,Solver,N/A
301,CA_48,2,4,0.36,0.64,Non-Solver,N/A
303,CA_48,2,6,0.49,0.51,Non-Solver,N/A
307,CA_48,1,6,0.51,0.49,Solver,N/A
