Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,CA_gub,2,8,0.57,0.43,Non-Solver,N/A
7,CA_gub,1,6,0.89,0.11,Solver,N/A
11,CA_gub,1,6,0.7,0.3,Solver,N/A
13,CA_gub,1,10,0.8,0.2,Solver,N/A
17,CA_gub,2,8,0.31,0.69,Non-Solver,N/A
18,CA_gub,2,2,0.48,0.52,Non-Solver,N/A
21,CA_gub,1,2,0.52,0.48,Solver,N/A
25,CA_gub,1,10,0.6,0.4,Solver,N/A
27,CA_gub,1,6,0.72,0.28,Solver,N/A
34,CA_gub,1,6,0.6,0.4,Solver,N/A
35,CA_gub,2,4,0.7,0.3,Non-Solver,N/A
39,CA_gub,1,8,0.8,0.2,Solver,N/A
45,CA_gub,1,8,0.9,0.1,Solver,N/A
49,CA_gub,1,8,0.8,0.2,Solver,N/A
55,CA_gub,1,8,0.73,0.27,Solver,N/A
57,CA_gub,1,8,0.76,0.24,Solver,N/A
66,CA_gub,1,10,0.94,0.0600000000000001,Solver,N/A
67,CA_gub,2,4,0.63,0.37,Non-Solver,N/A
68,CA_gub,2,10,0.0600000000000001,0.94,Non-Solver,N/A
76,CA_gub,1,10,0.94,0.0600000000000001,Solver,N/A
79,CA_gub,1,8,0.79,0.21,Solver,N/A
83,CA_gub,1,6,0.74,0.26,Solver,N/A
84,CA_gub,1,4,0.14,0.86,Solver,N/A
86,CA_gub,1,10,0.81,0.19,Solver,N/A
98,CA_gub,1,2,0.61,0.39,Solver,N/A
101,CA_gub,1,6,0.5,0.5,Solver,N/A
104,CA_gub,2,4,0.49,0.51,Non-Solver,N/A
106,CA_gub,1,10,0.9,0.1,Solver,N/A
109,CA_gub,1,6,0.78,0.22,Solver,N/A
111,CA_gub,1,4,0.57,0.43,Solver,N/A
119,CA_gub,2,6,0.42,0.58,Non-Solver,N/A
121,CA_gub,1,10,0.81,0.19,Solver,N/A
124,CA_gub,1,10,0.95,0.05,Solver,N/A
127,CA_gub,1,10,0.98,0.02,Solver,N/A
131,CA_gub,1,8,0.74,0.26,Solver,N/A
136,CA_gub,1,4,0.51,0.49,Solver,N/A
141,CA_gub,1,10,1.0,0.0,Solver,N/A
142,CA_gub,1,8,0.7,0.3,Solver,N/A
146,CA_gub,1,8,0.67,0.33,Solver,N/A
152,CA_gub,2,6,0.11,0.89,Non-Solver,N/A
156,CA_gub,1,10,0.94,0.0600000000000001,Solver,N/A
161,CA_gub,1,4,0.7,0.3,Solver,N/A
164,CA_gub,1,6,0.71,0.29,Solver,N/A
167,CA_gub,1,8,0.75,0.25,Solver,N/A
175,CA_gub,1,2,0.53,0.47,Solver,N/A
180,CA_gub,1,6,0.57,0.43,Solver,N/A
181,CA_gub,1,4,0.66,0.34,Solver,N/A
190,CA_gub,1,10,0.81,0.19,Solver,N/A
198,CA_gub,1,2,0.59,0.41,Solver,N/A
200,CA_gub,1,2,0.52,0.48,Solver,N/A
207,CA_gub,1,6,0.72,0.28,Solver,N/A
209,CA_gub,2,6,0.24,0.76,Non-Solver,N/A
212,CA_gub,1,8,0.88,0.12,Solver,N/A
217,CA_gub,1,8,0.9,0.1,Solver,N/A
219,CA_gub,1,6,0.58,0.42,Solver,N/A
220,CA_gub,1,4,0.55,0.45,Solver,N/A
221,CA_gub,2,6,0.38,0.62,Non-Solver,N/A
229,CA_gub,1,8,0.94,0.0600000000000001,Solver,N/A
233,CA_gub,1,2,0.55,0.45,Solver,N/A
239,CA_gub,1,8,0.91,0.09,Solver,N/A
244,CA_gub,1,10,0.97,0.03,Solver,N/A
249,CA_gub,1,10,0.91,0.09,Solver,N/A
255,CA_gub,1,10,0.8,0.2,Solver,N/A
258,CA_gub,1,6,0.65,0.35,Solver,N/A
260,CA_gub,1,10,0.85,0.15,Solver,N/A
261,CA_gub,1,6,0.34,0.66,Solver,N/A
262,CA_gub,1,8,0.71,0.29,Solver,N/A
264,CA_gub,1,6,0.65,0.35,Solver,N/A
265,CA_gub,1,6,0.57,0.43,Solver,N/A
276,CA_gub,1,10,0.85,0.15,Solver,N/A
279,CA_gub,1,8,0.83,0.17,Solver,N/A
287,CA_gub,1,10,0.71,0.29,Solver,N/A
289,CA_gub,1,10,1.0,0.0,Solver,N/A
302,CA_gub,1,8,0.79,0.21,Solver,N/A
308,CA_gub,1,6,0.61,0.39,Solver,N/A
309,CA_gub,2,4,0.61,0.39,Non-Solver,N/A
