Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
10,CA_sen,1,8,0.61,0.39,Solver,N/A
13,CA_sen,1,10,1.0,0.0,Solver,N/A
14,CA_sen,2,8,0.11,0.89,Non-Solver,N/A
18,CA_sen,2,2,0.45,0.55,Non-Solver,N/A
25,CA_sen,1,6,0.5,0.5,Solver,N/A
26,CA_sen,1,10,0.9,0.1,Solver,N/A
30,CA_sen,1,10,1.0,0.0,Solver,N/A
34,CA_sen,1,6,0.75,0.25,Solver,N/A
37,CA_sen,1,6,0.81,0.19,Solver,N/A
38,CA_sen,1,6,0.25,0.75,Solver,N/A
39,CA_sen,1,6,0.5,0.5,Solver,N/A
44,CA_sen,1,8,0.71,0.29,Solver,N/A
47,CA_sen,1,10,0.73,0.27,Solver,N/A
50,CA_sen,1,10,0.99,0.01,Solver,N/A
54,CA_sen,2,2,0.49,0.51,Non-Solver,N/A
56,CA_sen,1,8,0.61,0.39,Solver,N/A
64,CA_sen,1,4,0.56,0.44,Solver,N/A
66,CA_sen,2,4,0.62,0.38,Non-Solver,N/A
71,CA_sen,1,4,0.55,0.45,Solver,N/A
82,CA_sen,1,8,0.8,0.2,Solver,N/A
90,CA_sen,1,10,0.95,0.05,Solver,N/A
95,CA_sen,1,6,0.6,0.4,Solver,N/A
97,CA_sen,1,4,0.56,0.44,Solver,N/A
103,CA_sen,2,4,0.59,0.41,Non-Solver,N/A
112,CA_sen,2,2,0.48,0.52,Non-Solver,N/A
119,CA_sen,1,4,0.56,0.44,Solver,N/A
121,CA_sen,1,6,0.72,0.28,Solver,N/A
123,CA_sen,1,8,0.77,0.23,Solver,N/A
132,CA_sen,1,8,0.86,0.14,Solver,N/A
133,CA_sen,1,2,0.51,0.49,Solver,N/A
137,CA_sen,2,2,0.42,0.58,Non-Solver,N/A
153,CA_sen,1,6,0.4,0.6,Solver,N/A
166,CA_sen,1,8,0.9,0.1,Solver,N/A
167,CA_sen,1,6,0.71,0.29,Solver,N/A
169,CA_sen,1,10,1.0,0.0,Solver,N/A
171,CA_sen,2,4,0.31,0.69,Non-Solver,N/A
175,CA_sen,1,10,0.87,0.13,Solver,N/A
178,CA_sen,1,2,0.5,0.5,Solver,N/A
180,CA_sen,1,8,0.63,0.37,Solver,N/A
181,CA_sen,2,4,0.76,0.24,Non-Solver,N/A
182,CA_sen,1,8,0.7,0.3,Solver,N/A
184,CA_sen,1,6,0.51,0.49,Solver,N/A
187,CA_sen,1,6,0.86,0.14,Solver,N/A
191,CA_sen,1,8,0.6,0.4,Solver,N/A
194,CA_sen,1,6,0.57,0.43,Solver,N/A
203,CA_sen,2,10,0.0,1.0,Non-Solver,N/A
210,CA_sen,1,6,0.75,0.25,Solver,N/A
219,CA_sen,1,6,0.45,0.55,Solver,N/A
220,CA_sen,1,2,0.5,0.5,Solver,N/A
225,CA_sen,1,2,0.5,0.5,Solver,N/A
226,CA_sen,1,6,0.71,0.29,Solver,N/A
235,CA_sen,1,10,0.85,0.15,Solver,N/A
236,CA_sen,1,10,0.94,0.0600000000000001,Solver,N/A
237,CA_sen,1,10,0.88,0.12,Solver,N/A
244,CA_sen,1,10,0.7,0.3,Solver,N/A
249,CA_sen,2,8,0.31,0.69,Non-Solver,N/A
258,CA_sen,2,6,0.49,0.51,Non-Solver,N/A
265,CA_sen,1,6,0.66,0.34,Solver,N/A
271,CA_sen,1,8,0.85,0.15,Solver,N/A
278,CA_sen,1,6,0.61,0.39,Solver,N/A
282,CA_sen,1,10,0.93,0.07,Solver,N/A
285,CA_sen,1,10,0.95,0.05,Solver,N/A
288,CA_sen,1,6,0.45,0.55,Solver,N/A
289,CA_sen,2,2,0.52,0.48,Non-Solver,N/A
290,CA_sen,1,4,0.63,0.37,Solver,N/A
293,CA_sen,1,4,0.61,0.39,Solver,N/A
296,CA_sen,2,8,0.09,0.91,Non-Solver,N/A
305,CA_sen,2,2,0.44,0.56,Non-Solver,N/A
307,CA_sen,1,6,0.51,0.49,Solver,N/A
