Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,CO_gub,1,6,0.39,0.61,Solver,N/A
4,CO_gub,1,8,0.93,0.07,Solver,N/A
5,CO_gub,2,6,0.28,0.72,Non-Solver,N/A
8,CO_gub,1,8,0.73,0.27,Solver,N/A
9,CO_gub,1,2,0.5,0.5,Solver,N/A
10,CO_gub,1,6,0.71,0.29,Solver,N/A
12,CO_gub,2,6,0.5,0.5,Non-Solver,N/A
24,CO_gub,1,2,0.41,0.59,Solver,N/A
27,CO_gub,1,4,0.58,0.42,Solver,N/A
37,CO_gub,1,8,0.76,0.24,Solver,N/A
49,CO_gub,2,4,0.39,0.61,Non-Solver,N/A
51,CO_gub,2,4,0.65,0.35,Non-Solver,N/A
52,CO_gub,1,6,0.51,0.49,Solver,N/A
53,CO_gub,1,6,0.62,0.38,Solver,N/A
54,CO_gub,1,6,0.51,0.49,Solver,N/A
56,CO_gub,1,8,0.61,0.39,Solver,N/A
64,CO_gub,1,8,0.54,0.46,Solver,N/A
69,CO_gub,2,4,0.49,0.51,Non-Solver,N/A
71,CO_gub,1,8,0.73,0.27,Solver,N/A
72,CO_gub,1,6,0.55,0.45,Solver,N/A
80,CO_gub,1,6,0.5,0.5,Solver,N/A
81,CO_gub,2,6,0.4,0.6,Non-Solver,N/A
84,CO_gub,1,6,0.57,0.43,Solver,N/A
89,CO_gub,2,6,0.38,0.62,Non-Solver,N/A
95,CO_gub,1,8,0.65,0.35,Solver,N/A
105,CO_gub,2,6,0.45,0.55,Non-Solver,N/A
112,CO_gub,1,2,0.48,0.52,Solver,N/A
116,CO_gub,1,2,0.56,0.44,Solver,N/A
117,CO_gub,2,6,0.3,0.7,Non-Solver,N/A
123,CO_gub,1,8,0.77,0.23,Solver,N/A
125,CO_gub,1,6,0.59,0.41,Solver,N/A
130,CO_gub,1,8,0.69,0.31,Solver,N/A
134,CO_gub,2,4,0.61,0.39,Non-Solver,N/A
137,CO_gub,2,4,0.43,0.57,Non-Solver,N/A
138,CO_gub,1,6,0.88,0.12,Solver,N/A
151,CO_gub,2,2,0.5,0.5,Non-Solver,N/A
158,CO_gub,1,6,0.63,0.37,Solver,N/A
162,CO_gub,1,6,0.62,0.38,Solver,N/A
169,CO_gub,1,4,0.44,0.56,Solver,N/A
171,CO_gub,1,6,0.65,0.35,Solver,N/A
172,CO_gub,1,6,0.7,0.3,Solver,N/A
186,CO_gub,1,4,0.37,0.63,Solver,N/A
192,CO_gub,1,6,0.55,0.45,Solver,N/A
193,CO_gub,1,6,0.61,0.39,Solver,N/A
194,CO_gub,1,8,0.62,0.38,Solver,N/A
200,CO_gub,1,4,0.51,0.49,Solver,N/A
206,CO_gub,1,8,0.71,0.29,Solver,N/A
209,CO_gub,2,4,0.44,0.56,Non-Solver,N/A
215,CO_gub,1,6,0.78,0.22,Solver,N/A
216,CO_gub,1,6,0.6,0.4,Solver,N/A
219,CO_gub,1,8,0.6,0.4,Solver,N/A
221,CO_gub,2,6,0.1,0.9,Non-Solver,N/A
226,CO_gub,1,4,0.3,0.7,Solver,N/A
227,CO_gub,2,2,0.53,0.47,Non-Solver,N/A
229,CO_gub,1,8,0.84,0.16,Solver,N/A
231,CO_gub,1,6,0.64,0.36,Solver,N/A
244,CO_gub,2,8,0.2,0.8,Non-Solver,N/A
255,CO_gub,1,6,0.6,0.4,Solver,N/A
256,CO_gub,1,6,0.62,0.38,Solver,N/A
265,CO_gub,1,2,0.31,0.69,Solver,N/A
269,CO_gub,1,2,0.54,0.46,Solver,N/A
274,CO_gub,1,8,0.73,0.27,Solver,N/A
275,CO_gub,1,10,0.85,0.15,Solver,N/A
276,CO_gub,1,6,0.65,0.35,Solver,N/A
277,CO_gub,2,8,0.12,0.88,Non-Solver,N/A
280,CO_gub,2,8,0.25,0.75,Non-Solver,N/A
282,CO_gub,1,8,0.91,0.09,Solver,N/A
283,CO_gub,2,10,0.22,0.78,Non-Solver,N/A
297,CO_gub,2,8,0.29,0.71,Non-Solver,N/A
301,CO_gub,2,6,0.3,0.7,Non-Solver,N/A
302,CO_gub,2,8,0.3,0.7,Non-Solver,N/A
306,CO_gub,1,2,0.51,0.49,Solver,N/A
309,CO_gub,2,4,0.58,0.42,Non-Solver,N/A
