Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,CT_gub,1,6,0.72,0.28,Solver,N/A
11,CT_gub,2,6,0.75,0.25,Non-Solver,N/A
15,CT_gub,1,6,0.69,0.31,Solver,N/A
19,CT_gub,2,8,0.59,0.41,Non-Solver,N/A
22,CT_gub,1,2,0.75,0.25,Solver,N/A
27,CT_gub,1,4,0.57,0.43,Solver,N/A
30,CT_gub,1,8,0.8,0.2,Solver,N/A
32,CT_gub,1,6,0.45,0.55,Solver,N/A
42,CT_gub,1,8,0.61,0.39,Solver,N/A
49,CT_gub,1,4,0.6,0.4,Solver,N/A
54,CT_gub,1,2,0.51,0.49,Solver,N/A
55,CT_gub,2,6,0.29,0.71,Non-Solver,N/A
56,CT_gub,2,4,0.69,0.31,Non-Solver,N/A
58,CT_gub,1,10,0.94,0.0600000000000001,Solver,N/A
59,CT_gub,2,2,0.49,0.51,Non-Solver,N/A
66,CT_gub,2,8,0.39,0.61,Non-Solver,N/A
71,CT_gub,1,6,0.6,0.4,Solver,N/A
72,CT_gub,2,4,0.5,0.5,Non-Solver,N/A
82,CT_gub,1,2,0.42,0.58,Solver,N/A
86,CT_gub,2,4,0.35,0.65,Non-Solver,N/A
88,CT_gub,1,4,0.4,0.6,Solver,N/A
89,CT_gub,1,2,0.34,0.66,Solver,N/A
93,CT_gub,2,2,0.49,0.51,Non-Solver,N/A
102,CT_gub,1,4,0.6,0.4,Solver,N/A
106,CT_gub,1,2,0.5,0.5,Solver,N/A
107,CT_gub,2,6,0.18,0.82,Non-Solver,N/A
109,CT_gub,1,4,0.63,0.37,Solver,N/A
111,CT_gub,1,2,0.56,0.44,Solver,N/A
115,CT_gub,2,6,0.4,0.6,Non-Solver,N/A
124,CT_gub,1,6,0.51,0.49,Solver,N/A
128,CT_gub,1,6,0.73,0.27,Solver,N/A
131,CT_gub,1,2,0.59,0.41,Solver,N/A
135,CT_gub,1,10,0.8,0.2,Solver,N/A
145,CT_gub,1,2,0.8,0.2,Solver,N/A
149,CT_gub,1,2,0.41,0.59,Solver,N/A
159,CT_gub,1,6,0.4,0.6,Solver,N/A
161,CT_gub,1,4,0.29,0.71,Solver,N/A
163,CT_gub,2,8,0.29,0.71,Non-Solver,N/A
164,CT_gub,1,6,0.6,0.4,Solver,N/A
166,CT_gub,1,8,0.8,0.2,Solver,N/A
170,CT_gub,1,4,0.61,0.39,Solver,N/A
176,CT_gub,1,8,0.72,0.28,Solver,N/A
177,CT_gub,2,6,0.25,0.75,Non-Solver,N/A
178,CT_gub,2,2,0.5,0.5,Non-Solver,N/A
184,CT_gub,2,6,0.48,0.52,Non-Solver,N/A
190,CT_gub,1,8,0.65,0.35,Solver,N/A
194,CT_gub,2,4,0.5,0.5,Non-Solver,N/A
195,CT_gub,1,6,0.8,0.2,Solver,N/A
198,CT_gub,1,4,0.68,0.32,Solver,N/A
204,CT_gub,1,6,0.65,0.35,Solver,N/A
205,CT_gub,2,4,0.62,0.38,Non-Solver,N/A
217,CT_gub,1,6,0.6,0.4,Solver,N/A
223,CT_gub,1,6,0.84,0.16,Solver,N/A
231,CT_gub,1,8,0.72,0.28,Solver,N/A
238,CT_gub,1,4,0.55,0.45,Solver,N/A
239,CT_gub,1,6,0.75,0.25,Solver,N/A
242,CT_gub,2,4,0.26,0.74,Non-Solver,N/A
244,CT_gub,1,8,0.65,0.35,Solver,N/A
247,CT_gub,2,2,0.57,0.43,Non-Solver,N/A
249,CT_gub,1,6,0.79,0.21,Solver,N/A
259,CT_gub,1,2,0.81,0.19,Solver,N/A
261,CT_gub,1,6,0.51,0.49,Solver,N/A
264,CT_gub,1,2,0.5,0.5,Solver,N/A
265,CT_gub,1,6,0.65,0.35,Solver,N/A
266,CT_gub,1,6,0.61,0.39,Solver,N/A
278,CT_gub,1,10,0.76,0.24,Solver,N/A
280,CT_gub,2,4,0.6,0.4,Non-Solver,N/A
283,CT_gub,2,8,0.3,0.7,Non-Solver,N/A
286,CT_gub,1,2,0.51,0.49,Solver,N/A
295,CT_gub,1,2,0.59,0.41,Solver,N/A
297,CT_gub,2,6,0.29,0.71,Non-Solver,N/A
298,CT_gub,1,2,0.27,0.73,Solver,N/A
300,CT_gub,1,8,0.81,0.19,Solver,N/A
301,CT_gub,2,8,0.35,0.65,Non-Solver,N/A
306,CT_gub,1,2,0.51,0.49,Solver,N/A
