Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
10,CT_sen,2,6,0.53,0.47,Non-Solver,N/A
11,CT_sen,1,8,0.89,0.11,Solver,N/A
13,CT_sen,1,6,0.61,0.39,Solver,N/A
14,CT_sen,2,6,0.19,0.81,Non-Solver,N/A
15,CT_sen,1,4,0.44,0.56,Solver,N/A
18,CT_sen,1,4,0.57,0.43,Solver,N/A
20,CT_sen,1,2,0.47,0.53,Solver,N/A
22,CT_sen,1,6,0.76,0.24,Solver,N/A
25,CT_sen,1,6,0.55,0.45,Solver,N/A
37,CT_sen,1,6,0.87,0.13,Solver,N/A
45,CT_sen,1,10,0.9,0.1,Solver,N/A
47,CT_sen,1,6,0.66,0.34,Solver,N/A
54,CT_sen,1,2,0.51,0.49,Solver,N/A
56,CT_sen,2,4,0.59,0.41,Non-Solver,N/A
65,CT_sen,1,2,0.5,0.5,Solver,N/A
68,CT_sen,2,8,0.37,0.63,Non-Solver,N/A
73,CT_sen,1,6,0.7,0.3,Solver,N/A
75,CT_sen,2,6,0.37,0.63,Non-Solver,N/A
78,CT_sen,1,8,0.83,0.17,Solver,N/A
85,CT_sen,1,8,0.55,0.45,Solver,N/A
93,CT_sen,2,2,0.5,0.5,Non-Solver,N/A
94,CT_sen,2,2,0.37,0.63,Non-Solver,N/A
99,CT_sen,1,2,0.55,0.45,Solver,N/A
108,CT_sen,2,6,0.44,0.56,Non-Solver,N/A
109,CT_sen,1,8,0.85,0.15,Solver,N/A
113,CT_sen,2,2,0.51,0.49,Non-Solver,N/A
118,CT_sen,2,10,0.0,1.0,Non-Solver,N/A
119,CT_sen,2,6,0.38,0.62,Non-Solver,N/A
120,CT_sen,1,2,0.67,0.33,Solver,N/A
121,CT_sen,1,8,0.81,0.19,Solver,N/A
122,CT_sen,1,2,0.4,0.6,Solver,N/A
123,CT_sen,1,6,0.67,0.33,Solver,N/A
130,CT_sen,1,8,0.65,0.35,Solver,N/A
139,CT_sen,1,4,0.44,0.56,Solver,N/A
147,CT_sen,1,8,0.66,0.34,Solver,N/A
148,CT_sen,2,2,0.5,0.5,Non-Solver,N/A
153,CT_sen,2,4,0.28,0.72,Non-Solver,N/A
155,CT_sen,1,8,0.8,0.2,Solver,N/A
162,CT_sen,1,6,0.61,0.39,Solver,N/A
165,CT_sen,1,2,0.51,0.49,Solver,N/A
168,CT_sen,1,6,0.67,0.33,Solver,N/A
185,CT_sen,1,6,0.65,0.35,Solver,N/A
193,CT_sen,1,4,0.41,0.59,Solver,N/A
199,CT_sen,1,6,0.51,0.49,Solver,N/A
202,CT_sen,2,6,0.36,0.64,Non-Solver,N/A
210,CT_sen,2,6,0.41,0.59,Non-Solver,N/A
215,CT_sen,1,6,0.73,0.27,Solver,N/A
216,CT_sen,1,6,0.66,0.34,Solver,N/A
217,CT_sen,1,8,0.8,0.2,Solver,N/A
220,CT_sen,1,4,0.55,0.45,Solver,N/A
223,CT_sen,1,8,0.77,0.23,Solver,N/A
232,CT_sen,1,6,0.8,0.2,Solver,N/A
241,CT_sen,1,6,0.68,0.32,Solver,N/A
244,CT_sen,1,8,0.78,0.22,Solver,N/A
249,CT_sen,1,6,0.29,0.71,Solver,N/A
250,CT_sen,2,6,0.44,0.56,Non-Solver,N/A
251,CT_sen,1,2,0.51,0.49,Solver,N/A
255,CT_sen,1,6,0.6,0.4,Solver,N/A
258,CT_sen,1,4,0.4,0.6,Solver,N/A
260,CT_sen,2,6,0.4,0.6,Non-Solver,N/A
265,CT_sen,2,2,0.73,0.27,Non-Solver,N/A
271,CT_sen,2,4,0.37,0.63,Non-Solver,N/A
278,CT_sen,1,10,0.81,0.19,Solver,N/A
286,CT_sen,1,2,0.51,0.49,Solver,N/A
288,CT_sen,1,6,0.58,0.42,Solver,N/A
293,CT_sen,1,4,0.72,0.28,Solver,N/A
295,CT_sen,1,2,0.52,0.48,Solver,N/A
301,CT_sen,2,6,0.29,0.71,Non-Solver,N/A
305,CT_sen,2,2,0.37,0.63,Non-Solver,N/A
306,CT_sen,1,2,0.47,0.53,Solver,N/A
