Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
6,DE_sen,1,8,0.78,0.22,Solver,N/A
12,DE_sen,2,8,0.22,0.78,Non-Solver,N/A
13,DE_sen,1,4,0.19,0.81,Solver,N/A
20,DE_sen,1,4,0.46,0.54,Solver,N/A
21,DE_sen,1,2,0.48,0.52,Solver,N/A
28,DE_sen,2,2,0.24,0.76,Non-Solver,N/A
29,DE_sen,1,4,0.32,0.68,Solver,N/A
33,DE_sen,1,8,0.87,0.13,Solver,N/A
35,DE_sen,2,2,0.57,0.43,Non-Solver,N/A
36,DE_sen,1,6,0.64,0.36,Solver,N/A
38,DE_sen,1,8,0.37,0.63,Solver,N/A
42,DE_sen,1,6,0.61,0.39,Solver,N/A
48,DE_sen,2,6,0.5,0.5,Non-Solver,N/A
50,DE_sen,1,10,0.99,0.01,Solver,N/A
56,DE_sen,1,6,0.56,0.44,Solver,N/A
58,DE_sen,1,10,0.99,0.01,Solver,N/A
63,DE_sen,2,8,0.39,0.61,Non-Solver,N/A
64,DE_sen,1,4,0.55,0.45,Solver,N/A
65,DE_sen,1,6,0.61,0.39,Solver,N/A
69,DE_sen,1,10,0.98,0.02,Solver,N/A
73,DE_sen,1,4,0.62,0.38,Solver,N/A
77,DE_sen,1,8,0.75,0.25,Solver,N/A
83,DE_sen,1,8,0.7,0.3,Solver,N/A
99,DE_sen,1,8,0.92,0.08,Solver,N/A
101,DE_sen,2,6,0.59,0.41,Non-Solver,N/A
111,DE_sen,1,2,0.63,0.37,Solver,N/A
113,DE_sen,1,2,0.48,0.52,Solver,N/A
120,DE_sen,1,4,0.52,0.48,Solver,N/A
127,DE_sen,1,2,0.3,0.7,Solver,N/A
134,DE_sen,2,2,0.66,0.34,Non-Solver,N/A
141,DE_sen,2,6,0.31,0.69,Non-Solver,N/A
146,DE_sen,1,2,0.67,0.33,Solver,N/A
158,DE_sen,1,6,0.43,0.57,Solver,N/A
160,DE_sen,2,6,0.58,0.42,Non-Solver,N/A
162,DE_sen,1,8,0.81,0.19,Solver,N/A
163,DE_sen,2,6,0.21,0.79,Non-Solver,N/A
164,DE_sen,2,2,0.44,0.56,Non-Solver,N/A
169,DE_sen,1,2,0.36,0.64,Solver,N/A
170,DE_sen,1,2,0.51,0.49,Solver,N/A
173,DE_sen,1,2,0.25,0.75,Solver,N/A
181,DE_sen,1,4,0.33,0.67,Solver,N/A
186,DE_sen,1,2,0.39,0.61,Solver,N/A
187,DE_sen,1,4,0.61,0.39,Solver,N/A
195,DE_sen,1,8,0.97,0.03,Solver,N/A
197,DE_sen,2,6,0.25,0.75,Non-Solver,N/A
199,DE_sen,1,6,0.57,0.43,Solver,N/A
203,DE_sen,1,10,0.77,0.23,Solver,N/A
210,DE_sen,2,6,0.4,0.6,Non-Solver,N/A
212,DE_sen,1,8,0.82,0.18,Solver,N/A
223,DE_sen,1,6,0.73,0.27,Solver,N/A
229,DE_sen,1,2,0.28,0.72,Solver,N/A
230,DE_sen,1,10,0.97,0.03,Solver,N/A
233,DE_sen,2,2,0.29,0.71,Non-Solver,N/A
235,DE_sen,1,2,0.5,0.5,Solver,N/A
243,DE_sen,2,4,0.74,0.26,Non-Solver,N/A
249,DE_sen,1,6,0.6,0.4,Solver,N/A
255,DE_sen,1,8,0.7,0.3,Solver,N/A
264,DE_sen,2,2,0.5,0.5,Non-Solver,N/A
273,DE_sen,1,6,0.66,0.34,Solver,N/A
276,DE_sen,1,6,0.35,0.65,Solver,N/A
277,DE_sen,2,6,0.09,0.91,Non-Solver,N/A
281,DE_sen,1,6,0.61,0.39,Solver,N/A
283,DE_sen,2,6,0.43,0.57,Non-Solver,N/A
285,DE_sen,1,4,0.6,0.4,Solver,N/A
286,DE_sen,1,2,0.61,0.39,Solver,N/A
293,DE_sen,1,2,0.61,0.39,Solver,N/A
294,DE_sen,2,2,0.71,0.29,Non-Solver,N/A
300,DE_sen,1,6,0.71,0.29,Solver,N/A
301,DE_sen,2,6,0.38,0.62,Non-Solver,N/A
303,DE_sen,2,6,0.49,0.51,Non-Solver,N/A
305,DE_sen,1,2,0.58,0.42,Solver,N/A
