Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,FL_26,2,4,0.76,0.24,Solver,N/A
2,FL_26,2,6,0.26,0.74,Solver,N/A
11,FL_26,2,8,0.64,0.36,Solver,N/A
15,FL_26,2,8,0.21,0.79,Solver,N/A
18,FL_26,1,2,0.54,0.46,Non-Solver,N/A
20,FL_26,1,2,0.41,0.59,Non-Solver,N/A
21,FL_26,1,2,0.45,0.55,Non-Solver,N/A
25,FL_26,2,6,0.44,0.56,Solver,N/A
26,FL_26,1,2,0.5,0.5,Non-Solver,N/A
30,FL_26,2,8,0.15,0.85,Solver,N/A
31,FL_26,1,8,0.8,0.2,Non-Solver,N/A
38,FL_26,2,6,0.13,0.87,Solver,N/A
41,FL_26,1,2,0.51,0.49,Non-Solver,N/A
44,FL_26,2,2,0.42,0.58,Solver,N/A
49,FL_26,2,4,0.5,0.5,Solver,N/A
57,FL_26,2,6,0.28,0.72,Solver,N/A
69,FL_26,1,2,0.47,0.53,Non-Solver,N/A
74,FL_26,1,6,0.61,0.39,Non-Solver,N/A
82,FL_26,1,8,0.71,0.29,Non-Solver,N/A
85,FL_26,2,4,0.67,0.33,Solver,N/A
89,FL_26,1,6,0.63,0.37,Non-Solver,N/A
90,FL_26,2,2,0.5,0.5,Solver,N/A
98,FL_26,1,4,0.6,0.4,Non-Solver,N/A
105,FL_26,1,6,0.55,0.45,Non-Solver,N/A
106,FL_26,2,2,0.5,0.5,Solver,N/A
108,FL_26,1,6,0.39,0.61,Non-Solver,N/A
114,FL_26,1,6,0.76,0.24,Non-Solver,N/A
118,FL_26,2,10,0.0,1.0,Solver,N/A
119,FL_26,2,6,0.44,0.56,Solver,N/A
120,FL_26,2,8,0.16,0.84,Solver,N/A
121,FL_26,2,6,0.31,0.69,Solver,N/A
126,FL_26,1,6,0.67,0.33,Non-Solver,N/A
128,FL_26,1,8,0.94,0.0600000000000001,Non-Solver,N/A
140,FL_26,2,6,0.4,0.6,Solver,N/A
141,FL_26,2,6,0.46,0.54,Solver,N/A
148,FL_26,1,4,0.55,0.45,Non-Solver,N/A
151,FL_26,2,2,0.25,0.75,Solver,N/A
154,FL_26,2,4,0.32,0.68,Solver,N/A
157,FL_26,2,2,0.72,0.28,Solver,N/A
161,FL_26,2,4,0.57,0.43,Solver,N/A
164,FL_26,1,2,0.5,0.5,Non-Solver,N/A
166,FL_26,1,4,0.4,0.6,Non-Solver,N/A
168,FL_26,2,4,0.5,0.5,Solver,N/A
172,FL_26,2,6,0.18,0.82,Solver,N/A
183,FL_26,2,6,0.31,0.69,Solver,N/A
191,FL_26,1,2,0.53,0.47,Non-Solver,N/A
195,FL_26,2,8,0.11,0.89,Solver,N/A
210,FL_26,2,6,0.28,0.72,Solver,N/A
211,FL_26,1,6,0.45,0.55,Non-Solver,N/A
216,FL_26,1,4,0.41,0.59,Non-Solver,N/A
217,FL_26,1,4,0.5,0.5,Non-Solver,N/A
218,FL_26,1,2,0.68,0.32,Non-Solver,N/A
230,FL_26,1,10,0.6,0.4,Non-Solver,N/A
238,FL_26,1,2,0.51,0.49,Non-Solver,N/A
239,FL_26,1,2,0.56,0.44,Non-Solver,N/A
242,FL_26,2,8,0.42,0.58,Solver,N/A
244,FL_26,2,6,0.5,0.5,Solver,N/A
247,FL_26,1,2,0.61,0.39,Non-Solver,N/A
249,FL_26,1,6,0.54,0.46,Non-Solver,N/A
257,FL_26,1,4,0.52,0.48,Non-Solver,N/A
258,FL_26,2,4,0.55,0.45,Solver,N/A
262,FL_26,1,8,0.85,0.15,Non-Solver,N/A
263,FL_26,2,2,0.48,0.52,Solver,N/A
266,FL_26,1,6,0.6,0.4,Non-Solver,N/A
269,FL_26,1,2,0.56,0.44,Non-Solver,N/A
279,FL_26,2,8,0.2,0.8,Solver,N/A
293,FL_26,1,2,0.51,0.49,Non-Solver,N/A
294,FL_26,1,2,0.39,0.61,Non-Solver,N/A
304,FL_26,1,4,0.43,0.57,Non-Solver,N/A
306,FL_26,2,2,0.49,0.51,Solver,N/A
309,FL_26,2,4,0.6,0.4,Solver,N/A
