Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
4,FL_gub,2,6,0.84,0.16,Solver,N/A
11,FL_gub,1,8,0.75,0.25,Non-Solver,N/A
14,FL_gub,2,8,0.62,0.38,Solver,N/A
24,FL_gub,1,6,0.54,0.46,Non-Solver,N/A
27,FL_gub,1,6,0.59,0.41,Non-Solver,N/A
30,FL_gub,1,10,1.0,0.0,Non-Solver,N/A
39,FL_gub,2,6,0.3,0.7,Solver,N/A
46,FL_gub,2,6,0.22,0.78,Solver,N/A
47,FL_gub,2,10,0.24,0.76,Solver,N/A
57,FL_gub,1,6,0.6,0.4,Non-Solver,N/A
62,FL_gub,1,2,0.56,0.44,Non-Solver,N/A
63,FL_gub,1,6,0.7,0.3,Non-Solver,N/A
66,FL_gub,1,8,0.66,0.34,Non-Solver,N/A
80,FL_gub,1,2,0.5,0.5,Non-Solver,N/A
84,FL_gub,1,6,0.63,0.37,Non-Solver,N/A
87,FL_gub,1,6,0.8,0.2,Non-Solver,N/A
91,FL_gub,2,4,0.55,0.45,Solver,N/A
93,FL_gub,2,2,0.5,0.5,Solver,N/A
94,FL_gub,2,6,0.33,0.67,Solver,N/A
95,FL_gub,2,6,0.35,0.65,Solver,N/A
96,FL_gub,1,6,0.55,0.45,Non-Solver,N/A
102,FL_gub,2,4,0.55,0.45,Solver,N/A
105,FL_gub,1,6,0.55,0.45,Non-Solver,N/A
109,FL_gub,1,8,0.91,0.09,Non-Solver,N/A
110,FL_gub,2,2,0.49,0.51,Solver,N/A
116,FL_gub,2,4,0.26,0.74,Solver,N/A
120,FL_gub,2,4,0.45,0.55,Solver,N/A
128,FL_gub,2,8,0.11,0.89,Solver,N/A
129,FL_gub,2,6,0.33,0.67,Solver,N/A
131,FL_gub,1,4,0.24,0.76,Non-Solver,N/A
133,FL_gub,2,2,0.27,0.73,Solver,N/A
138,FL_gub,2,8,0.32,0.68,Solver,N/A
139,FL_gub,1,4,0.43,0.57,Non-Solver,N/A
140,FL_gub,1,6,0.34,0.66,Non-Solver,N/A
143,FL_gub,1,2,0.51,0.49,Non-Solver,N/A
149,FL_gub,2,8,0.1,0.9,Solver,N/A
150,FL_gub,2,4,0.46,0.54,Solver,N/A
151,FL_gub,1,6,0.75,0.25,Non-Solver,N/A
158,FL_gub,2,8,0.39,0.61,Solver,N/A
159,FL_gub,1,6,0.67,0.33,Non-Solver,N/A
166,FL_gub,2,4,0.75,0.25,Solver,N/A
171,FL_gub,1,6,0.76,0.24,Non-Solver,N/A
180,FL_gub,1,8,0.83,0.17,Non-Solver,N/A
184,FL_gub,2,8,0.4,0.6,Solver,N/A
190,FL_gub,1,6,0.51,0.49,Non-Solver,N/A
192,FL_gub,1,6,0.6,0.4,Non-Solver,N/A
198,FL_gub,2,2,0.34,0.66,Solver,N/A
199,FL_gub,2,8,0.49,0.51,Solver,N/A
201,FL_gub,1,10,1.0,0.0,Non-Solver,N/A
202,FL_gub,1,10,1.0,0.0,Non-Solver,N/A
204,FL_gub,1,6,0.65,0.35,Non-Solver,N/A
206,FL_gub,1,6,0.63,0.37,Non-Solver,N/A
207,FL_gub,1,6,0.55,0.45,Non-Solver,N/A
212,FL_gub,1,8,0.61,0.39,Non-Solver,N/A
222,FL_gub,1,4,0.38,0.62,Non-Solver,N/A
229,FL_gub,1,2,0.57,0.43,Non-Solver,N/A
234,FL_gub,1,2,0.55,0.45,Non-Solver,N/A
239,FL_gub,2,6,0.32,0.68,Solver,N/A
241,FL_gub,2,2,0.5,0.5,Solver,N/A
243,FL_gub,2,6,0.43,0.57,Solver,N/A
246,FL_gub,1,4,0.66,0.34,Non-Solver,N/A
251,FL_gub,1,8,0.7,0.3,Non-Solver,N/A
254,FL_gub,1,6,0.51,0.49,Non-Solver,N/A
255,FL_gub,2,4,0.45,0.55,Solver,N/A
262,FL_gub,2,8,0.15,0.85,Solver,N/A
284,FL_gub,2,4,0.73,0.27,Solver,N/A
288,FL_gub,1,6,0.56,0.44,Non-Solver,N/A
290,FL_gub,2,4,0.42,0.58,Solver,N/A
293,FL_gub,2,4,0.44,0.56,Solver,N/A
294,FL_gub,2,2,0.69,0.31,Solver,N/A
297,FL_gub,2,10,0.05,0.95,Solver,N/A
302,FL_gub,2,6,0.52,0.48,Solver,N/A
307,FL_gub,1,6,0.51,0.49,Non-Solver,N/A
309,FL_gub,2,6,0.59,0.41,Solver,N/A
