Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
5,FL_sen,2,6,0.47,0.53,Solver,N/A
10,FL_sen,2,6,0.52,0.48,Solver,N/A
19,FL_sen,2,2,0.44,0.56,Solver,N/A
21,FL_sen,1,2,0.5,0.5,Non-Solver,N/A
24,FL_sen,1,2,0.51,0.49,Non-Solver,N/A
25,FL_sen,1,6,0.55,0.45,Non-Solver,N/A
29,FL_sen,2,8,0.1,0.9,Solver,N/A
35,FL_sen,2,4,0.26,0.74,Solver,N/A
43,FL_sen,1,6,0.73,0.27,Non-Solver,N/A
46,FL_sen,2,8,0.27,0.73,Solver,N/A
55,FL_sen,1,4,0.29,0.71,Non-Solver,N/A
59,FL_sen,1,6,0.7,0.3,Non-Solver,N/A
62,FL_sen,1,2,0.56,0.44,Non-Solver,N/A
63,FL_sen,1,6,0.66,0.34,Non-Solver,N/A
67,FL_sen,2,6,0.31,0.69,Solver,N/A
68,FL_sen,2,6,0.22,0.78,Solver,N/A
69,FL_sen,2,4,0.49,0.51,Solver,N/A
72,FL_sen,1,6,0.6,0.4,Non-Solver,N/A
73,FL_sen,1,8,0.74,0.26,Non-Solver,N/A
79,FL_sen,1,4,0.51,0.49,Non-Solver,N/A
82,FL_sen,2,6,0.35,0.65,Solver,N/A
83,FL_sen,2,10,0.19,0.81,Solver,N/A
84,FL_sen,1,6,0.5,0.5,Non-Solver,N/A
87,FL_sen,2,4,0.29,0.71,Solver,N/A
107,FL_sen,2,8,0.18,0.82,Solver,N/A
109,FL_sen,1,10,0.96,0.04,Non-Solver,N/A
111,FL_sen,2,8,0.31,0.69,Solver,N/A
121,FL_sen,2,4,0.37,0.63,Solver,N/A
122,FL_sen,2,2,0.35,0.65,Solver,N/A
125,FL_sen,2,6,0.39,0.61,Solver,N/A
127,FL_sen,2,10,0.03,0.97,Solver,N/A
128,FL_sen,2,6,0.33,0.67,Solver,N/A
130,FL_sen,1,6,0.63,0.37,Non-Solver,N/A
133,FL_sen,2,2,0.36,0.64,Solver,N/A
135,FL_sen,1,8,0.86,0.14,Non-Solver,N/A
136,FL_sen,1,4,0.1,0.9,Non-Solver,N/A
147,FL_sen,1,8,0.59,0.41,Non-Solver,N/A
153,FL_sen,1,8,0.27,0.73,Non-Solver,N/A
167,FL_sen,2,2,0.5,0.5,Solver,N/A
170,FL_sen,1,2,0.51,0.49,Non-Solver,N/A
175,FL_sen,2,2,0.47,0.53,Solver,N/A
176,FL_sen,1,10,0.98,0.02,Non-Solver,N/A
181,FL_sen,2,6,0.31,0.69,Solver,N/A
199,FL_sen,2,6,0.5,0.5,Solver,N/A
200,FL_sen,1,6,0.51,0.49,Non-Solver,N/A
201,FL_sen,1,10,1.0,0.0,Non-Solver,N/A
202,FL_sen,2,6,0.37,0.63,Solver,N/A
205,FL_sen,2,4,0.69,0.31,Solver,N/A
207,FL_sen,1,2,0.39,0.61,Non-Solver,N/A
212,FL_sen,1,6,0.61,0.39,Non-Solver,N/A
215,FL_sen,2,6,0.31,0.69,Solver,N/A
221,FL_sen,2,8,0.11,0.89,Solver,N/A
222,FL_sen,1,6,0.71,0.29,Non-Solver,N/A
229,FL_sen,1,2,0.5,0.5,Non-Solver,N/A
233,FL_sen,2,6,0.39,0.61,Solver,N/A
234,FL_sen,2,4,0.45,0.55,Solver,N/A
239,FL_sen,2,6,0.38,0.62,Solver,N/A
240,FL_sen,2,6,0.35,0.65,Solver,N/A
242,FL_sen,2,6,0.37,0.63,Solver,N/A
253,FL_sen,2,10,0.18,0.82,Solver,N/A
254,FL_sen,2,6,0.5,0.5,Solver,N/A
255,FL_sen,2,6,0.4,0.6,Solver,N/A
263,FL_sen,1,4,0.53,0.47,Non-Solver,N/A
274,FL_sen,1,6,0.51,0.49,Non-Solver,N/A
283,FL_sen,2,8,0.37,0.63,Solver,N/A
284,FL_sen,2,6,0.47,0.53,Solver,N/A
289,FL_sen,1,6,0.85,0.15,Non-Solver,N/A
293,FL_sen,2,6,0.24,0.76,Solver,N/A
298,FL_sen,2,4,0.58,0.42,Solver,N/A
300,FL_sen,2,6,0.26,0.74,Solver,N/A
308,FL_sen,2,2,0.51,0.49,Solver,N/A
