Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,GA_gub,2,6,0.24,0.76,Solver,N/A
4,GA_gub,2,8,0.27,0.73,Solver,N/A
13,GA_gub,1,6,0.3,0.7,Non-Solver,N/A
19,GA_gub,1,6,0.6,0.4,Non-Solver,N/A
22,GA_gub,2,2,0.61,0.39,Solver,N/A
25,GA_gub,1,6,0.55,0.45,Non-Solver,N/A
28,GA_gub,2,4,0.4,0.6,Solver,N/A
30,GA_gub,1,8,0.71,0.29,Non-Solver,N/A
40,GA_gub,2,8,0.27,0.73,Solver,N/A
42,GA_gub,2,4,0.68,0.32,Solver,N/A
44,GA_gub,2,6,0.51,0.49,Solver,N/A
45,GA_gub,2,8,0.2,0.8,Solver,N/A
50,GA_gub,2,4,0.4,0.6,Solver,N/A
53,GA_gub,1,4,0.53,0.47,Non-Solver,N/A
54,GA_gub,2,2,0.38,0.62,Solver,N/A
58,GA_gub,1,10,1.0,0.0,Non-Solver,N/A
61,GA_gub,2,6,0.59,0.41,Solver,N/A
63,GA_gub,2,6,0.46,0.54,Solver,N/A
66,GA_gub,1,6,0.5,0.5,Non-Solver,N/A
69,GA_gub,2,4,0.49,0.51,Solver,N/A
77,GA_gub,2,6,0.46,0.54,Solver,N/A
79,GA_gub,1,4,0.52,0.48,Non-Solver,N/A
82,GA_gub,2,4,0.46,0.54,Solver,N/A
90,GA_gub,1,4,0.52,0.48,Non-Solver,N/A
93,GA_gub,2,4,0.48,0.52,Solver,N/A
98,GA_gub,1,2,0.36,0.64,Non-Solver,N/A
100,GA_gub,2,8,0.12,0.88,Solver,N/A
101,GA_gub,2,6,0.25,0.75,Solver,N/A
107,GA_gub,1,4,0.76,0.24,Non-Solver,N/A
110,GA_gub,2,2,0.49,0.51,Solver,N/A
116,GA_gub,2,4,0.41,0.59,Solver,N/A
125,GA_gub,2,6,0.39,0.61,Solver,N/A
132,GA_gub,2,6,0.38,0.62,Solver,N/A
133,GA_gub,2,2,0.3,0.7,Solver,N/A
142,GA_gub,1,8,0.9,0.1,Non-Solver,N/A
144,GA_gub,2,8,0.33,0.67,Solver,N/A
145,GA_gub,1,2,0.4,0.6,Non-Solver,N/A
152,GA_gub,1,4,0.48,0.52,Non-Solver,N/A
155,GA_gub,2,2,0.46,0.54,Solver,N/A
157,GA_gub,1,4,0.62,0.38,Non-Solver,N/A
160,GA_gub,2,6,0.45,0.55,Solver,N/A
167,GA_gub,2,6,0.3,0.7,Solver,N/A
175,GA_gub,2,8,0.24,0.76,Solver,N/A
181,GA_gub,1,8,0.69,0.31,Non-Solver,N/A
187,GA_gub,2,2,0.39,0.61,Solver,N/A
191,GA_gub,1,4,0.49,0.51,Non-Solver,N/A
196,GA_gub,2,8,0.14,0.86,Solver,N/A
197,GA_gub,1,6,0.73,0.27,Non-Solver,N/A
200,GA_gub,1,2,0.52,0.48,Non-Solver,N/A
202,GA_gub,1,10,0.9,0.1,Non-Solver,N/A
205,GA_gub,2,4,0.35,0.65,Solver,N/A
206,GA_gub,1,6,0.44,0.56,Non-Solver,N/A
208,GA_gub,1,2,0.51,0.49,Non-Solver,N/A
211,GA_gub,2,8,0.05,0.95,Solver,N/A
218,GA_gub,2,8,0.33,0.67,Solver,N/A
226,GA_gub,1,6,0.63,0.37,Non-Solver,N/A
236,GA_gub,1,4,0.36,0.64,Non-Solver,N/A
240,GA_gub,2,6,0.21,0.79,Solver,N/A
243,GA_gub,2,6,0.4,0.6,Solver,N/A
246,GA_gub,2,2,0.48,0.52,Solver,N/A
253,GA_gub,2,10,0.21,0.79,Solver,N/A
255,GA_gub,2,4,0.45,0.55,Solver,N/A
258,GA_gub,2,8,0.13,0.87,Solver,N/A
260,GA_gub,2,8,0.25,0.75,Solver,N/A
274,GA_gub,1,6,0.51,0.49,Non-Solver,N/A
276,GA_gub,2,2,0.4,0.6,Solver,N/A
280,GA_gub,2,8,0.0600000000000001,0.94,Solver,N/A
288,GA_gub,1,8,0.53,0.47,Non-Solver,N/A
291,GA_gub,2,6,0.5,0.5,Solver,N/A
292,GA_gub,2,6,0.21,0.79,Solver,N/A
296,GA_gub,2,8,0.09,0.91,Solver,N/A
304,GA_gub,1,8,0.63,0.37,Non-Solver,N/A
306,GA_gub,2,6,0.5,0.5,Solver,N/A
309,GA_gub,2,4,0.67,0.33,Solver,N/A
