Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,HI_gub,1,8,0.65,0.35,Solver,N/A
4,HI_gub,1,8,0.8,0.2,Solver,N/A
8,HI_gub,1,4,0.21,0.79,Solver,N/A
11,HI_gub,1,6,0.76,0.24,Solver,N/A
13,HI_gub,1,8,0.6,0.4,Solver,N/A
15,HI_gub,2,6,0.42,0.58,Non-Solver,N/A
17,HI_gub,2,6,0.11,0.89,Non-Solver,N/A
20,HI_gub,2,2,0.54,0.46,Non-Solver,N/A
24,HI_gub,1,2,0.49,0.51,Solver,N/A
35,HI_gub,2,8,0.15,0.85,Non-Solver,N/A
39,HI_gub,1,6,0.5,0.5,Solver,N/A
42,HI_gub,2,6,0.64,0.36,Non-Solver,N/A
43,HI_gub,1,2,0.53,0.47,Solver,N/A
52,HI_gub,2,4,0.29,0.71,Non-Solver,N/A
58,HI_gub,1,10,1.0,0.0,Solver,N/A
59,HI_gub,1,2,0.5,0.5,Solver,N/A
60,HI_gub,1,8,0.68,0.32,Solver,N/A
61,HI_gub,1,8,0.64,0.36,Solver,N/A
63,HI_gub,1,6,0.65,0.35,Solver,N/A
68,HI_gub,2,2,0.84,0.16,Non-Solver,N/A
73,HI_gub,1,4,0.54,0.46,Solver,N/A
78,HI_gub,1,6,0.66,0.34,Solver,N/A
92,HI_gub,1,8,0.63,0.37,Solver,N/A
99,HI_gub,2,8,0.01,0.99,Non-Solver,N/A
106,HI_gub,1,6,0.6,0.4,Solver,N/A
113,HI_gub,1,2,0.49,0.51,Solver,N/A
114,HI_gub,2,6,0.2,0.8,Non-Solver,N/A
120,HI_gub,1,4,0.59,0.41,Solver,N/A
121,HI_gub,1,4,0.63,0.37,Solver,N/A
130,HI_gub,1,6,0.56,0.44,Solver,N/A
154,HI_gub,1,6,0.79,0.21,Solver,N/A
158,HI_gub,1,8,0.51,0.49,Solver,N/A
159,HI_gub,1,6,0.6,0.4,Solver,N/A
160,HI_gub,1,6,0.43,0.57,Solver,N/A
164,HI_gub,1,4,0.61,0.39,Solver,N/A
166,HI_gub,1,6,0.8,0.2,Solver,N/A
169,HI_gub,1,8,0.83,0.17,Solver,N/A
177,HI_gub,2,6,0.26,0.74,Non-Solver,N/A
178,HI_gub,2,2,0.5,0.5,Non-Solver,N/A
183,HI_gub,2,4,0.4,0.6,Non-Solver,N/A
184,HI_gub,1,6,0.52,0.48,Solver,N/A
190,HI_gub,1,10,0.92,0.08,Solver,N/A
191,HI_gub,2,2,0.49,0.51,Non-Solver,N/A
193,HI_gub,1,8,0.7,0.3,Solver,N/A
195,HI_gub,1,10,0.93,0.07,Solver,N/A
201,HI_gub,1,10,0.99,0.01,Solver,N/A
203,HI_gub,1,10,0.79,0.21,Solver,N/A
204,HI_gub,1,8,0.9,0.1,Solver,N/A
208,HI_gub,2,2,0.49,0.51,Non-Solver,N/A
210,HI_gub,1,6,0.62,0.38,Solver,N/A
214,HI_gub,2,2,0.6,0.4,Non-Solver,N/A
231,HI_gub,1,8,0.79,0.21,Solver,N/A
234,HI_gub,1,6,0.71,0.29,Solver,N/A
236,HI_gub,1,10,1.0,0.0,Solver,N/A
238,HI_gub,1,4,0.61,0.39,Solver,N/A
241,HI_gub,1,6,0.68,0.32,Solver,N/A
242,HI_gub,2,8,0.29,0.71,Non-Solver,N/A
248,HI_gub,2,4,0.74,0.26,Non-Solver,N/A
250,HI_gub,1,6,0.5,0.5,Solver,N/A
252,HI_gub,1,6,0.7,0.3,Solver,N/A
254,HI_gub,1,6,0.61,0.39,Solver,N/A
255,HI_gub,1,10,0.8,0.2,Solver,N/A
262,HI_gub,1,4,0.69,0.31,Solver,N/A
267,HI_gub,2,4,0.59,0.41,Non-Solver,N/A
269,HI_gub,1,2,0.67,0.33,Solver,N/A
272,HI_gub,1,2,0.42,0.58,Solver,N/A
282,HI_gub,1,8,0.8,0.2,Solver,N/A
285,HI_gub,1,4,0.46,0.54,Solver,N/A
288,HI_gub,1,8,0.62,0.38,Solver,N/A
290,HI_gub,1,10,0.65,0.35,Solver,N/A
291,HI_gub,1,2,0.51,0.49,Solver,N/A
304,HI_gub,1,4,0.56,0.44,Solver,N/A
