Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
6,HI_sen,1,6,0.91,0.09,Solver,N/A
11,HI_sen,1,8,0.82,0.18,Solver,N/A
13,HI_sen,1,8,0.81,0.19,Solver,N/A
15,HI_sen,2,6,0.15,0.85,Non-Solver,N/A
29,HI_sen,2,8,0.7,0.3,Non-Solver,N/A
33,HI_sen,1,6,0.86,0.14,Solver,N/A
38,HI_sen,1,8,0.43,0.57,Solver,N/A
41,HI_sen,1,2,0.55,0.45,Solver,N/A
46,HI_sen,1,6,0.72,0.28,Solver,N/A
50,HI_sen,1,10,0.99,0.01,Solver,N/A
51,HI_sen,1,6,0.68,0.32,Solver,N/A
54,HI_sen,1,2,0.53,0.47,Solver,N/A
57,HI_sen,1,8,0.83,0.17,Solver,N/A
60,HI_sen,2,2,0.48,0.52,Non-Solver,N/A
61,HI_sen,1,6,0.38,0.62,Solver,N/A
65,HI_sen,1,6,0.59,0.41,Solver,N/A
69,HI_sen,1,10,0.98,0.02,Solver,N/A
70,HI_sen,2,2,0.57,0.43,Non-Solver,N/A
72,HI_sen,1,6,0.6,0.4,Solver,N/A
77,HI_sen,1,8,0.71,0.29,Solver,N/A
86,HI_sen,1,6,0.65,0.35,Solver,N/A
88,HI_sen,1,6,0.6,0.4,Solver,N/A
91,HI_sen,1,2,0.5,0.5,Solver,N/A
95,HI_sen,1,8,0.75,0.25,Solver,N/A
98,HI_sen,1,2,0.76,0.24,Solver,N/A
99,HI_sen,2,8,0.03,0.97,Non-Solver,N/A
102,HI_sen,1,8,0.8,0.2,Solver,N/A
104,HI_sen,2,2,0.48,0.52,Non-Solver,N/A
107,HI_sen,2,6,0.12,0.88,Non-Solver,N/A
113,HI_sen,1,2,0.51,0.49,Solver,N/A
115,HI_sen,1,6,0.5,0.5,Solver,N/A
121,HI_sen,1,4,0.62,0.38,Solver,N/A
136,HI_sen,1,4,0.53,0.47,Solver,N/A
142,HI_sen,1,8,0.7,0.3,Solver,N/A
151,HI_sen,1,2,0.5,0.5,Solver,N/A
157,HI_sen,1,8,0.9,0.1,Solver,N/A
158,HI_sen,2,6,0.36,0.64,Non-Solver,N/A
160,HI_sen,2,6,0.6,0.4,Non-Solver,N/A
161,HI_sen,2,4,0.52,0.48,Non-Solver,N/A
162,HI_sen,1,10,0.92,0.08,Solver,N/A
167,HI_sen,1,6,0.65,0.35,Solver,N/A
174,HI_sen,1,2,0.54,0.46,Solver,N/A
177,HI_sen,2,6,0.34,0.66,Non-Solver,N/A
181,HI_sen,1,6,0.67,0.33,Solver,N/A
188,HI_sen,2,2,0.49,0.51,Non-Solver,N/A
190,HI_sen,1,10,0.91,0.09,Solver,N/A
193,HI_sen,1,6,0.76,0.24,Solver,N/A
197,HI_sen,1,8,0.81,0.19,Solver,N/A
200,HI_sen,1,2,0.51,0.49,Solver,N/A
203,HI_sen,1,10,0.89,0.11,Solver,N/A
207,HI_sen,2,2,0.61,0.39,Non-Solver,N/A
209,HI_sen,2,4,0.45,0.55,Non-Solver,N/A
216,HI_sen,1,8,0.75,0.25,Solver,N/A
221,HI_sen,2,6,0.09,0.91,Non-Solver,N/A
234,HI_sen,1,8,0.8,0.2,Solver,N/A
248,HI_sen,2,4,0.77,0.23,Non-Solver,N/A
251,HI_sen,1,6,0.51,0.49,Solver,N/A
253,HI_sen,2,10,0.1,0.9,Non-Solver,N/A
257,HI_sen,1,8,0.82,0.18,Solver,N/A
258,HI_sen,1,6,0.66,0.34,Solver,N/A
261,HI_sen,1,6,0.56,0.44,Solver,N/A
262,HI_sen,1,6,0.46,0.54,Solver,N/A
266,HI_sen,1,8,0.82,0.18,Solver,N/A
272,HI_sen,1,6,0.67,0.33,Solver,N/A
278,HI_sen,2,8,0.33,0.67,Non-Solver,N/A
281,HI_sen,1,8,0.91,0.09,Solver,N/A
284,HI_sen,2,8,0.0,1.0,Non-Solver,N/A
294,HI_sen,1,6,0.61,0.39,Solver,N/A
296,HI_sen,1,2,0.51,0.49,Solver,N/A
305,HI_sen,1,2,0.6,0.4,Solver,N/A
306,HI_sen,1,8,0.72,0.28,Solver,N/A
