Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
6,IA_gub,1,6,0.77,0.23,Non-Solver,N/A
12,IA_gub,2,8,0.14,0.86,Solver,N/A
15,IA_gub,1,4,0.47,0.53,Non-Solver,N/A
16,IA_gub,2,6,0.32,0.68,Solver,N/A
17,IA_gub,2,8,0.21,0.79,Solver,N/A
28,IA_gub,1,2,0.64,0.36,Non-Solver,N/A
29,IA_gub,2,6,0.31,0.69,Solver,N/A
33,IA_gub,1,6,0.81,0.19,Non-Solver,N/A
35,IA_gub,2,4,0.57,0.43,Solver,N/A
36,IA_gub,2,6,0.44,0.56,Solver,N/A
38,IA_gub,1,4,0.4,0.6,Non-Solver,N/A
46,IA_gub,2,6,0.37,0.63,Solver,N/A
48,IA_gub,2,6,0.4,0.6,Solver,N/A
56,IA_gub,2,4,0.66,0.34,Solver,N/A
65,IA_gub,2,6,0.41,0.59,Solver,N/A
67,IA_gub,2,2,0.68,0.32,Solver,N/A
69,IA_gub,2,6,0.45,0.55,Solver,N/A
74,IA_gub,2,6,0.4,0.6,Solver,N/A
96,IA_gub,1,2,0.51,0.49,Non-Solver,N/A
101,IA_gub,2,6,0.56,0.44,Solver,N/A
104,IA_gub,1,2,0.53,0.47,Non-Solver,N/A
106,IA_gub,2,2,0.5,0.5,Solver,N/A
113,IA_gub,1,2,0.49,0.51,Non-Solver,N/A
122,IA_gub,1,2,0.5,0.5,Non-Solver,N/A
135,IA_gub,1,10,0.82,0.18,Non-Solver,N/A
138,IA_gub,2,6,0.35,0.65,Solver,N/A
139,IA_gub,1,4,0.51,0.49,Non-Solver,N/A
141,IA_gub,1,6,0.59,0.41,Non-Solver,N/A
145,IA_gub,2,2,0.2,0.8,Solver,N/A
149,IA_gub,2,8,0.19,0.81,Solver,N/A
151,IA_gub,1,4,0.5,0.5,Non-Solver,N/A
155,IA_gub,2,2,0.51,0.49,Solver,N/A
160,IA_gub,2,6,0.55,0.45,Solver,N/A
168,IA_gub,1,4,0.41,0.59,Non-Solver,N/A
172,IA_gub,2,8,0.26,0.74,Solver,N/A
173,IA_gub,1,2,0.25,0.75,Non-Solver,N/A
174,IA_gub,1,4,0.65,0.35,Non-Solver,N/A
177,IA_gub,2,6,0.2,0.8,Solver,N/A
179,IA_gub,1,2,0.59,0.41,Non-Solver,N/A
193,IA_gub,2,4,0.39,0.61,Solver,N/A
204,IA_gub,2,6,0.3,0.7,Solver,N/A
213,IA_gub,2,4,0.9,0.1,Solver,N/A
215,IA_gub,2,6,0.3,0.7,Solver,N/A
216,IA_gub,2,6,0.25,0.75,Solver,N/A
218,IA_gub,2,6,0.35,0.65,Solver,N/A
219,IA_gub,2,8,0.3,0.7,Solver,N/A
223,IA_gub,1,8,0.92,0.08,Non-Solver,N/A
225,IA_gub,2,2,0.65,0.35,Solver,N/A
226,IA_gub,2,4,0.7,0.3,Solver,N/A
228,IA_gub,2,6,0.44,0.56,Solver,N/A
231,IA_gub,2,8,0.26,0.74,Solver,N/A
234,IA_gub,2,6,0.4,0.6,Solver,N/A
239,IA_gub,2,2,0.42,0.58,Solver,N/A
251,IA_gub,1,2,0.4,0.6,Non-Solver,N/A
253,IA_gub,1,10,0.71,0.29,Non-Solver,N/A
255,IA_gub,2,6,0.35,0.65,Solver,N/A
263,IA_gub,2,2,0.43,0.57,Solver,N/A
266,IA_gub,2,8,0.22,0.78,Solver,N/A
267,IA_gub,2,8,0.32,0.68,Solver,N/A
274,IA_gub,1,4,0.51,0.49,Non-Solver,N/A
277,IA_gub,2,10,0.18,0.82,Solver,N/A
279,IA_gub,1,8,0.8,0.2,Non-Solver,N/A
289,IA_gub,1,2,0.51,0.49,Non-Solver,N/A
290,IA_gub,2,6,0.36,0.64,Solver,N/A
300,IA_gub,2,6,0.34,0.66,Solver,N/A
302,IA_gub,2,6,0.39,0.61,Solver,N/A
