Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,ID_gub,2,6,0.36,0.64,Solver,N/A
3,ID_gub,1,6,0.34,0.66,Non-Solver,N/A
11,ID_gub,2,4,0.4,0.6,Solver,N/A
14,ID_gub,2,8,0.6,0.4,Solver,N/A
21,ID_gub,1,6,0.83,0.17,Non-Solver,N/A
22,ID_gub,2,4,0.57,0.43,Solver,N/A
23,ID_gub,2,2,0.39,0.61,Solver,N/A
45,ID_gub,2,10,0.15,0.85,Solver,N/A
51,ID_gub,1,6,0.57,0.43,Non-Solver,N/A
52,ID_gub,2,4,0.49,0.51,Solver,N/A
53,ID_gub,1,4,0.37,0.63,Non-Solver,N/A
57,ID_gub,1,6,0.69,0.31,Non-Solver,N/A
61,ID_gub,1,4,0.2,0.8,Non-Solver,N/A
63,ID_gub,2,8,0.16,0.84,Solver,N/A
65,ID_gub,2,8,0.23,0.77,Solver,N/A
67,ID_gub,2,2,0.46,0.54,Solver,N/A
76,ID_gub,2,2,0.58,0.42,Solver,N/A
78,ID_gub,2,10,0.19,0.81,Solver,N/A
80,ID_gub,2,6,0.3,0.7,Solver,N/A
81,ID_gub,2,8,0.19,0.81,Solver,N/A
89,ID_gub,2,8,0.29,0.71,Solver,N/A
92,ID_gub,2,4,0.49,0.51,Solver,N/A
93,ID_gub,2,2,0.49,0.51,Solver,N/A
99,ID_gub,2,8,0.04,0.96,Solver,N/A
104,ID_gub,1,2,0.52,0.48,Non-Solver,N/A
111,ID_gub,2,6,0.24,0.76,Solver,N/A
113,ID_gub,2,2,0.47,0.53,Solver,N/A
117,ID_gub,1,6,0.4,0.6,Non-Solver,N/A
119,ID_gub,2,8,0.39,0.61,Solver,N/A
127,ID_gub,2,4,0.23,0.77,Solver,N/A
134,ID_gub,2,4,0.42,0.58,Solver,N/A
151,ID_gub,2,2,0.5,0.5,Solver,N/A
152,ID_gub,2,6,0.63,0.37,Solver,N/A
156,ID_gub,2,8,0.12,0.88,Solver,N/A
157,ID_gub,2,6,0.28,0.72,Solver,N/A
164,ID_gub,2,2,0.5,0.5,Solver,N/A
169,ID_gub,2,2,0.39,0.61,Solver,N/A
174,ID_gub,2,2,0.47,0.53,Solver,N/A
175,ID_gub,2,2,0.47,0.53,Solver,N/A
176,ID_gub,2,8,0.26,0.74,Solver,N/A
184,ID_gub,2,6,0.48,0.52,Solver,N/A
185,ID_gub,2,6,0.35,0.65,Solver,N/A
187,ID_gub,1,4,0.55,0.45,Non-Solver,N/A
188,ID_gub,2,2,0.49,0.51,Solver,N/A
190,ID_gub,1,2,0.04,0.96,Non-Solver,N/A
191,ID_gub,2,2,0.49,0.51,Solver,N/A
200,ID_gub,1,4,0.51,0.49,Non-Solver,N/A
211,ID_gub,2,8,0.41,0.59,Solver,N/A
212,ID_gub,2,8,0.24,0.76,Solver,N/A
217,ID_gub,2,8,0.08,0.92,Solver,N/A
221,ID_gub,2,8,0.11,0.89,Solver,N/A
224,ID_gub,2,2,0.44,0.56,Solver,N/A
230,ID_gub,2,8,0.18,0.82,Solver,N/A
235,ID_gub,1,2,0.5,0.5,Non-Solver,N/A
236,ID_gub,1,2,0.5,0.5,Non-Solver,N/A
242,ID_gub,1,8,0.77,0.23,Non-Solver,N/A
248,ID_gub,2,6,0.44,0.56,Solver,N/A
249,ID_gub,2,4,0.56,0.44,Solver,N/A
250,ID_gub,2,10,0.2,0.8,Solver,N/A
256,ID_gub,1,2,0.61,0.39,Non-Solver,N/A
260,ID_gub,1,6,0.65,0.35,Non-Solver,N/A
264,ID_gub,2,6,0.36,0.64,Solver,N/A
269,ID_gub,2,2,0.43,0.57,Solver,N/A
272,ID_gub,2,2,0.65,0.35,Solver,N/A
274,ID_gub,1,4,0.29,0.71,Non-Solver,N/A
282,ID_gub,2,6,0.4,0.6,Solver,N/A
285,ID_gub,2,6,0.28,0.72,Solver,N/A
291,ID_gub,1,2,0.51,0.49,Non-Solver,N/A
293,ID_gub,2,6,0.25,0.75,Solver,N/A
296,ID_gub,1,2,0.51,0.49,Non-Solver,N/A
304,ID_gub,2,4,0.68,0.32,Solver,N/A
