Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,IL_14,1,6,0.83,0.17,Solver,N/A
4,IL_14,1,2,0.71,0.29,Solver,N/A
7,IL_14,1,6,0.79,0.21,Solver,N/A
8,IL_14,1,6,0.43,0.57,Solver,N/A
13,IL_14,1,8,0.51,0.49,Solver,N/A
15,IL_14,1,6,0.39,0.61,Solver,N/A
17,IL_14,2,8,0.21,0.79,Non-Solver,N/A
18,IL_14,1,2,0.56,0.44,Solver,N/A
25,IL_14,1,6,0.55,0.45,Solver,N/A
34,IL_14,1,4,0.6,0.4,Solver,N/A
35,IL_14,2,6,0.62,0.38,Non-Solver,N/A
42,IL_14,1,4,0.26,0.74,Solver,N/A
45,IL_14,1,6,0.75,0.25,Solver,N/A
49,IL_14,1,4,0.5,0.5,Solver,N/A
58,IL_14,1,10,0.97,0.03,Solver,N/A
59,IL_14,2,2,0.5,0.5,Non-Solver,N/A
63,IL_14,1,6,0.59,0.41,Solver,N/A
73,IL_14,1,4,0.48,0.52,Solver,N/A
75,IL_14,1,8,0.76,0.24,Solver,N/A
79,IL_14,1,4,0.52,0.48,Solver,N/A
87,IL_14,1,4,0.2,0.8,Solver,N/A
90,IL_14,1,2,0.5,0.5,Solver,N/A
93,IL_14,1,2,0.5,0.5,Solver,N/A
94,IL_14,2,4,0.71,0.29,Non-Solver,N/A
108,IL_14,1,6,0.52,0.48,Solver,N/A
116,IL_14,2,2,0.43,0.57,Non-Solver,N/A
120,IL_14,1,4,0.55,0.45,Solver,N/A
129,IL_14,1,6,0.64,0.36,Solver,N/A
131,IL_14,1,2,0.3,0.7,Solver,N/A
134,IL_14,2,4,0.41,0.59,Non-Solver,N/A
139,IL_14,1,2,0.44,0.56,Solver,N/A
142,IL_14,1,4,0.2,0.8,Solver,N/A
143,IL_14,2,2,0.59,0.41,Non-Solver,N/A
150,IL_14,1,6,0.65,0.35,Solver,N/A
152,IL_14,1,6,0.47,0.53,Solver,N/A
156,IL_14,2,8,0.24,0.76,Non-Solver,N/A
158,IL_14,2,4,0.33,0.67,Non-Solver,N/A
178,IL_14,2,2,0.5,0.5,Non-Solver,N/A
182,IL_14,1,10,0.63,0.37,Solver,N/A
186,IL_14,1,2,0.62,0.38,Solver,N/A
189,IL_14,1,6,0.5,0.5,Solver,N/A
197,IL_14,1,8,0.73,0.27,Solver,N/A
199,IL_14,1,8,0.61,0.39,Solver,N/A
201,IL_14,1,10,1.0,0.0,Solver,N/A
202,IL_14,2,2,0.74,0.26,Non-Solver,N/A
208,IL_14,1,2,0.51,0.49,Solver,N/A
210,IL_14,2,6,0.39,0.61,Non-Solver,N/A
214,IL_14,1,2,0.5,0.5,Solver,N/A
217,IL_14,1,8,0.89,0.11,Solver,N/A
218,IL_14,2,8,0.27,0.73,Non-Solver,N/A
220,IL_14,1,4,0.55,0.45,Solver,N/A
227,IL_14,1,2,0.42,0.58,Solver,N/A
229,IL_14,1,4,0.61,0.39,Solver,N/A
235,IL_14,1,10,0.75,0.25,Solver,N/A
243,IL_14,1,6,0.55,0.45,Solver,N/A
245,IL_14,1,8,0.6,0.4,Solver,N/A
246,IL_14,2,2,0.43,0.57,Non-Solver,N/A
254,IL_14,1,6,0.51,0.49,Solver,N/A
256,IL_14,2,2,0.4,0.6,Non-Solver,N/A
258,IL_14,1,4,0.51,0.49,Solver,N/A
259,IL_14,1,2,0.78,0.22,Solver,N/A
264,IL_14,1,6,0.61,0.39,Solver,N/A
267,IL_14,1,6,0.53,0.47,Solver,N/A
274,IL_14,1,6,0.51,0.49,Solver,N/A
275,IL_14,2,6,0.4,0.6,Non-Solver,N/A
277,IL_14,2,8,0.23,0.77,Non-Solver,N/A
279,IL_14,1,8,0.81,0.19,Solver,N/A
283,IL_14,1,10,0.76,0.24,Solver,N/A
292,IL_14,1,2,0.51,0.49,Solver,N/A
305,IL_14,2,2,0.49,0.51,Non-Solver,N/A
308,IL_14,1,2,0.6,0.4,Solver,N/A
309,IL_14,2,4,0.56,0.44,Non-Solver,N/A
