Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
5,IL_gub,2,6,0.31,0.69,Non-Solver,N/A
8,IL_gub,1,6,0.56,0.44,Solver,N/A
12,IL_gub,1,6,0.5,0.5,Solver,N/A
15,IL_gub,2,4,0.68,0.32,Non-Solver,N/A
23,IL_gub,1,2,0.51,0.49,Solver,N/A
40,IL_gub,1,4,0.57,0.43,Solver,N/A
41,IL_gub,1,2,0.54,0.46,Solver,N/A
54,IL_gub,2,2,0.49,0.51,Non-Solver,N/A
55,IL_gub,1,6,0.76,0.24,Solver,N/A
65,IL_gub,2,8,0.17,0.83,Non-Solver,N/A
66,IL_gub,1,10,0.69,0.31,Solver,N/A
67,IL_gub,2,6,0.57,0.43,Non-Solver,N/A
68,IL_gub,2,2,0.89,0.11,Non-Solver,N/A
78,IL_gub,1,6,0.64,0.36,Solver,N/A
81,IL_gub,2,8,0.21,0.79,Non-Solver,N/A
86,IL_gub,1,8,0.76,0.24,Solver,N/A
88,IL_gub,2,8,0.17,0.83,Non-Solver,N/A
89,IL_gub,1,2,0.56,0.44,Solver,N/A
91,IL_gub,1,2,0.5,0.5,Solver,N/A
99,IL_gub,2,8,0.02,0.98,Non-Solver,N/A
113,IL_gub,1,2,0.6,0.4,Solver,N/A
115,IL_gub,1,6,0.62,0.38,Solver,N/A
117,IL_gub,1,6,0.7,0.3,Solver,N/A
125,IL_gub,1,6,0.62,0.38,Solver,N/A
133,IL_gub,2,2,0.45,0.55,Non-Solver,N/A
135,IL_gub,1,10,0.78,0.22,Solver,N/A
144,IL_gub,2,6,0.46,0.54,Non-Solver,N/A
151,IL_gub,2,6,0.25,0.75,Non-Solver,N/A
154,IL_gub,1,6,0.76,0.24,Solver,N/A
159,IL_gub,1,6,0.67,0.33,Solver,N/A
161,IL_gub,1,2,0.44,0.56,Solver,N/A
166,IL_gub,1,4,0.4,0.6,Solver,N/A
169,IL_gub,2,4,0.8,0.2,Non-Solver,N/A
170,IL_gub,1,2,0.6,0.4,Solver,N/A
176,IL_gub,1,6,0.78,0.22,Solver,N/A
179,IL_gub,1,2,0.51,0.49,Solver,N/A
183,IL_gub,1,8,1.0,0.0,Solver,N/A
187,IL_gub,1,4,0.66,0.34,Solver,N/A
188,IL_gub,1,2,0.51,0.49,Solver,N/A
189,IL_gub,2,6,0.3,0.7,Non-Solver,N/A
197,IL_gub,1,8,0.4,0.6,Solver,N/A
204,IL_gub,1,6,0.65,0.35,Solver,N/A
206,IL_gub,1,8,0.81,0.19,Solver,N/A
208,IL_gub,1,2,0.51,0.49,Solver,N/A
212,IL_gub,2,6,0.31,0.69,Non-Solver,N/A
213,IL_gub,2,2,0.9,0.1,Non-Solver,N/A
218,IL_gub,2,4,0.23,0.77,Non-Solver,N/A
223,IL_gub,1,4,0.75,0.25,Solver,N/A
225,IL_gub,2,2,0.6,0.4,Non-Solver,N/A
229,IL_gub,1,4,0.72,0.28,Solver,N/A
233,IL_gub,1,8,0.67,0.33,Solver,N/A
235,IL_gub,2,6,0.4,0.6,Non-Solver,N/A
248,IL_gub,2,6,0.49,0.51,Non-Solver,N/A
249,IL_gub,1,4,0.3,0.7,Solver,N/A
257,IL_gub,1,8,0.86,0.14,Solver,N/A
267,IL_gub,2,4,0.58,0.42,Non-Solver,N/A
268,IL_gub,1,6,0.67,0.33,Solver,N/A
269,IL_gub,2,2,0.58,0.42,Non-Solver,N/A
270,IL_gub,1,8,0.75,0.25,Solver,N/A
273,IL_gub,1,6,0.67,0.33,Solver,N/A
275,IL_gub,1,10,0.9,0.1,Solver,N/A
281,IL_gub,1,8,0.94,0.0600000000000001,Solver,N/A
284,IL_gub,2,6,0.74,0.26,Non-Solver,N/A
290,IL_gub,1,8,0.6,0.4,Solver,N/A
299,IL_gub,1,2,0.5,0.5,Solver,N/A
303,IL_gub,2,6,0.51,0.49,Non-Solver,N/A
304,IL_gub,1,2,0.3,0.7,Solver,N/A
307,IL_gub,1,6,0.51,0.49,Solver,N/A
