Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,IN_sen,2,6,0.51,0.49,Solver,N/A
14,IN_sen,2,6,0.54,0.46,Solver,N/A
24,IN_sen,1,2,0.51,0.49,Non-Solver,N/A
25,IN_sen,1,6,0.55,0.45,Non-Solver,N/A
27,IN_sen,1,6,0.7,0.3,Non-Solver,N/A
31,IN_sen,2,10,0.0,1.0,Solver,N/A
39,IN_sen,2,6,0.3,0.7,Solver,N/A
42,IN_sen,2,4,0.56,0.44,Solver,N/A
43,IN_sen,2,2,0.48,0.52,Solver,N/A
49,IN_sen,1,4,0.4,0.6,Non-Solver,N/A
58,IN_sen,1,10,1.0,0.0,Non-Solver,N/A
61,IN_sen,2,8,0.23,0.77,Solver,N/A
62,IN_sen,1,2,0.55,0.45,Non-Solver,N/A
70,IN_sen,2,2,0.44,0.56,Solver,N/A
73,IN_sen,2,4,0.38,0.62,Solver,N/A
84,IN_sen,1,6,0.66,0.34,Non-Solver,N/A
90,IN_sen,1,4,0.55,0.45,Non-Solver,N/A
92,IN_sen,2,10,0.23,0.77,Solver,N/A
93,IN_sen,2,2,0.5,0.5,Solver,N/A
103,IN_sen,1,4,0.31,0.69,Non-Solver,N/A
110,IN_sen,2,2,0.51,0.49,Solver,N/A
112,IN_sen,2,2,0.21,0.79,Solver,N/A
116,IN_sen,2,2,0.47,0.53,Solver,N/A
121,IN_sen,2,4,0.3,0.7,Solver,N/A
122,IN_sen,1,2,0.5,0.5,Non-Solver,N/A
123,IN_sen,1,6,0.57,0.43,Non-Solver,N/A
128,IN_sen,2,8,0.18,0.82,Solver,N/A
129,IN_sen,1,2,0.4,0.6,Non-Solver,N/A
138,IN_sen,2,6,0.17,0.83,Solver,N/A
140,IN_sen,1,6,0.55,0.45,Non-Solver,N/A
146,IN_sen,2,6,0.36,0.64,Solver,N/A
149,IN_sen,2,6,0.19,0.81,Solver,N/A
153,IN_sen,2,6,0.38,0.62,Solver,N/A
154,IN_sen,2,6,0.43,0.57,Solver,N/A
155,IN_sen,2,2,0.56,0.44,Solver,N/A
159,IN_sen,1,6,0.6,0.4,Non-Solver,N/A
160,IN_sen,2,6,0.59,0.41,Solver,N/A
162,IN_sen,1,8,0.71,0.29,Non-Solver,N/A
179,IN_sen,2,2,0.49,0.51,Solver,N/A
185,IN_sen,1,6,0.6,0.4,Non-Solver,N/A
188,IN_sen,2,2,0.49,0.51,Solver,N/A
189,IN_sen,2,6,0.3,0.7,Solver,N/A
191,IN_sen,2,4,0.49,0.51,Solver,N/A
197,IN_sen,2,6,0.29,0.71,Solver,N/A
202,IN_sen,2,4,0.55,0.45,Solver,N/A
204,IN_sen,1,6,0.65,0.35,Non-Solver,N/A
205,IN_sen,1,6,0.49,0.51,Non-Solver,N/A
208,IN_sen,1,2,0.51,0.49,Non-Solver,N/A
209,IN_sen,2,6,0.21,0.79,Solver,N/A
210,IN_sen,2,6,0.4,0.6,Solver,N/A
223,IN_sen,2,6,0.19,0.81,Solver,N/A
230,IN_sen,1,6,0.61,0.39,Non-Solver,N/A
233,IN_sen,2,8,0.26,0.74,Solver,N/A
234,IN_sen,2,2,0.6,0.4,Solver,N/A
238,IN_sen,2,4,0.34,0.66,Solver,N/A
241,IN_sen,2,2,0.5,0.5,Solver,N/A
242,IN_sen,2,6,0.29,0.71,Solver,N/A
248,IN_sen,2,6,0.38,0.62,Solver,N/A
254,IN_sen,1,6,0.51,0.49,Non-Solver,N/A
259,IN_sen,1,2,0.82,0.18,Non-Solver,N/A
262,IN_sen,2,6,0.43,0.57,Solver,N/A
273,IN_sen,1,4,0.25,0.75,Non-Solver,N/A
280,IN_sen,2,8,0.15,0.85,Solver,N/A
281,IN_sen,1,8,0.82,0.18,Non-Solver,N/A
282,IN_sen,2,2,0.4,0.6,Solver,N/A
288,IN_sen,1,6,0.55,0.45,Non-Solver,N/A
290,IN_sen,1,4,0.53,0.47,Non-Solver,N/A
293,IN_sen,2,2,0.49,0.51,Solver,N/A
294,IN_sen,2,2,0.66,0.34,Solver,N/A
295,IN_sen,2,2,0.5,0.5,Solver,N/A
304,IN_sen,1,2,0.33,0.67,Non-Solver,N/A
308,IN_sen,2,4,0.6,0.4,Solver,N/A
