Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,KS_2,2,8,0.31,0.69,Solver,N/A
3,KS_2,1,4,0.35,0.65,Non-Solver,N/A
4,KS_2,1,6,0.13,0.87,Non-Solver,N/A
8,KS_2,2,8,0.19,0.81,Solver,N/A
15,KS_2,1,6,0.58,0.42,Non-Solver,N/A
19,KS_2,2,2,0.36,0.64,Solver,N/A
31,KS_2,2,10,0.0,1.0,Solver,N/A
52,KS_2,2,4,0.49,0.51,Solver,N/A
55,KS_2,2,6,0.25,0.75,Solver,N/A
59,KS_2,2,2,0.71,0.29,Solver,N/A
65,KS_2,2,2,0.56,0.44,Solver,N/A
67,KS_2,2,2,0.61,0.39,Solver,N/A
71,KS_2,1,4,0.55,0.45,Non-Solver,N/A
78,KS_2,2,6,0.13,0.87,Solver,N/A
80,KS_2,2,6,0.2,0.8,Solver,N/A
89,KS_2,2,6,0.38,0.62,Solver,N/A
93,KS_2,2,2,0.5,0.5,Solver,N/A
97,KS_2,1,6,0.65,0.35,Non-Solver,N/A
99,KS_2,1,8,0.99,0.01,Non-Solver,N/A
103,KS_2,1,4,0.39,0.61,Non-Solver,N/A
115,KS_2,2,6,0.31,0.69,Solver,N/A
117,KS_2,2,6,0.3,0.7,Solver,N/A
118,KS_2,2,10,0.18,0.82,Solver,N/A
125,KS_2,2,6,0.41,0.59,Solver,N/A
133,KS_2,2,2,0.37,0.63,Solver,N/A
142,KS_2,1,4,0.1,0.9,Non-Solver,N/A
144,KS_2,1,4,0.54,0.46,Non-Solver,N/A
147,KS_2,1,8,0.72,0.28,Non-Solver,N/A
148,KS_2,1,2,0.5,0.5,Non-Solver,N/A
150,KS_2,2,4,0.49,0.51,Solver,N/A
153,KS_2,2,8,0.23,0.77,Solver,N/A
155,KS_2,2,2,0.49,0.51,Solver,N/A
160,KS_2,2,6,0.62,0.38,Solver,N/A
163,KS_2,2,6,0.28,0.72,Solver,N/A
168,KS_2,1,6,0.53,0.47,Non-Solver,N/A
169,KS_2,1,4,0.47,0.53,Non-Solver,N/A
176,KS_2,2,8,0.15,0.85,Solver,N/A
181,KS_2,2,4,0.41,0.59,Solver,N/A
185,KS_2,2,6,0.35,0.65,Solver,N/A
190,KS_2,1,2,0.39,0.61,Non-Solver,N/A
195,KS_2,1,10,0.9,0.1,Non-Solver,N/A
196,KS_2,2,8,0.26,0.74,Solver,N/A
197,KS_2,1,8,0.71,0.29,Non-Solver,N/A
199,KS_2,2,4,0.48,0.52,Solver,N/A
205,KS_2,2,6,0.53,0.47,Solver,N/A
207,KS_2,2,6,0.54,0.46,Solver,N/A
216,KS_2,2,6,0.3,0.7,Solver,N/A
220,KS_2,1,4,0.55,0.45,Non-Solver,N/A
221,KS_2,2,8,0.13,0.87,Solver,N/A
230,KS_2,1,6,0.55,0.45,Non-Solver,N/A
235,KS_2,2,2,0.5,0.5,Solver,N/A
248,KS_2,2,6,0.24,0.76,Solver,N/A
253,KS_2,2,6,0.38,0.62,Solver,N/A
266,KS_2,2,6,0.49,0.51,Solver,N/A
268,KS_2,1,8,0.8,0.2,Non-Solver,N/A
272,KS_2,2,4,0.48,0.52,Solver,N/A
275,KS_2,2,6,0.4,0.6,Solver,N/A
276,KS_2,2,2,0.36,0.64,Solver,N/A
278,KS_2,2,6,0.4,0.6,Solver,N/A
281,KS_2,1,6,0.71,0.29,Non-Solver,N/A
284,KS_2,2,4,0.38,0.62,Solver,N/A
287,KS_2,2,2,0.79,0.21,Solver,N/A
300,KS_2,2,10,0.0,1.0,Solver,N/A
301,KS_2,1,6,0.7,0.3,Non-Solver,N/A
304,KS_2,2,6,0.43,0.57,Solver,N/A
308,KS_2,2,2,0.49,0.51,Solver,N/A
309,KS_2,2,4,0.72,0.28,Solver,N/A
