Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,KS_gub,1,6,0.7,0.3,Solver,N/A
9,KS_gub,2,2,0.51,0.49,Non-Solver,N/A
11,KS_gub,2,4,0.56,0.44,Non-Solver,N/A
13,KS_gub,1,4,0.3,0.7,Solver,N/A
15,KS_gub,2,6,0.27,0.73,Non-Solver,N/A
16,KS_gub,1,6,0.81,0.19,Solver,N/A
23,KS_gub,2,4,0.4,0.6,Non-Solver,N/A
26,KS_gub,2,2,0.5,0.5,Non-Solver,N/A
29,KS_gub,1,6,0.67,0.33,Solver,N/A
52,KS_gub,2,4,0.45,0.55,Non-Solver,N/A
54,KS_gub,1,2,0.51,0.49,Solver,N/A
55,KS_gub,2,6,0.32,0.68,Non-Solver,N/A
59,KS_gub,2,2,0.5,0.5,Non-Solver,N/A
61,KS_gub,1,8,0.62,0.38,Solver,N/A
76,KS_gub,2,4,0.61,0.39,Non-Solver,N/A
77,KS_gub,2,8,0.23,0.77,Non-Solver,N/A
82,KS_gub,1,6,0.6,0.4,Solver,N/A
83,KS_gub,2,6,0.36,0.64,Non-Solver,N/A
87,KS_gub,2,6,0.2,0.8,Non-Solver,N/A
88,KS_gub,2,6,0.5,0.5,Non-Solver,N/A
89,KS_gub,2,6,0.34,0.66,Non-Solver,N/A
91,KS_gub,2,6,0.4,0.6,Non-Solver,N/A
92,KS_gub,2,8,0.41,0.59,Non-Solver,N/A
97,KS_gub,2,6,0.3,0.7,Non-Solver,N/A
98,KS_gub,2,2,0.34,0.66,Non-Solver,N/A
102,KS_gub,2,2,0.3,0.7,Non-Solver,N/A
104,KS_gub,1,2,0.53,0.47,Solver,N/A
106,KS_gub,1,6,0.55,0.45,Solver,N/A
108,KS_gub,1,6,0.71,0.29,Solver,N/A
119,KS_gub,2,6,0.41,0.59,Non-Solver,N/A
136,KS_gub,2,2,0.49,0.51,Non-Solver,N/A
141,KS_gub,1,2,0.47,0.53,Solver,N/A
144,KS_gub,2,6,0.39,0.61,Non-Solver,N/A
154,KS_gub,1,8,0.65,0.35,Solver,N/A
156,KS_gub,2,8,0.08,0.92,Non-Solver,N/A
157,KS_gub,2,6,0.0,1.0,Non-Solver,N/A
160,KS_gub,2,6,0.55,0.45,Non-Solver,N/A
163,KS_gub,1,6,0.77,0.23,Solver,N/A
167,KS_gub,2,10,0.1,0.9,Non-Solver,N/A
178,KS_gub,2,2,0.5,0.5,Non-Solver,N/A
184,KS_gub,2,8,0.48,0.52,Non-Solver,N/A
186,KS_gub,1,2,0.4,0.6,Solver,N/A
187,KS_gub,2,2,0.38,0.62,Non-Solver,N/A
190,KS_gub,1,4,0.5,0.5,Solver,N/A
196,KS_gub,2,10,0.08,0.92,Non-Solver,N/A
197,KS_gub,2,8,0.23,0.77,Non-Solver,N/A
200,KS_gub,2,2,0.48,0.52,Non-Solver,N/A
201,KS_gub,1,10,0.91,0.09,Solver,N/A
219,KS_gub,2,2,0.54,0.46,Non-Solver,N/A
221,KS_gub,2,8,0.03,0.97,Non-Solver,N/A
224,KS_gub,2,2,0.44,0.56,Non-Solver,N/A
232,KS_gub,2,2,0.5,0.5,Non-Solver,N/A
233,KS_gub,1,4,0.73,0.27,Solver,N/A
242,KS_gub,2,6,0.28,0.72,Non-Solver,N/A
244,KS_gub,1,6,0.45,0.55,Solver,N/A
245,KS_gub,2,6,0.4,0.6,Non-Solver,N/A
249,KS_gub,2,4,0.7,0.3,Non-Solver,N/A
257,KS_gub,2,8,0.2,0.8,Non-Solver,N/A
259,KS_gub,1,2,0.8,0.2,Solver,N/A
261,KS_gub,2,6,0.36,0.64,Non-Solver,N/A
264,KS_gub,1,6,0.54,0.46,Solver,N/A
265,KS_gub,2,6,0.41,0.59,Non-Solver,N/A
266,KS_gub,2,6,0.37,0.63,Non-Solver,N/A
271,KS_gub,2,6,0.35,0.65,Non-Solver,N/A
285,KS_gub,2,4,0.55,0.45,Non-Solver,N/A
289,KS_gub,2,6,0.45,0.55,Non-Solver,N/A
296,KS_gub,2,6,0.4,0.6,Non-Solver,N/A
301,KS_gub,2,8,0.33,0.67,Non-Solver,N/A
303,KS_gub,2,6,0.49,0.51,Non-Solver,N/A
