Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
7,KY_6,1,6,0.88,0.12,Non-Solver,N/A
14,KY_6,2,4,0.44,0.56,Solver,N/A
21,KY_6,1,6,0.64,0.36,Non-Solver,N/A
22,KY_6,2,2,0.42,0.58,Solver,N/A
23,KY_6,2,2,0.3,0.7,Solver,N/A
24,KY_6,1,2,0.39,0.61,Non-Solver,N/A
25,KY_6,1,6,0.55,0.45,Non-Solver,N/A
29,KY_6,2,8,0.17,0.83,Solver,N/A
34,KY_6,2,4,0.65,0.35,Solver,N/A
53,KY_6,1,6,0.63,0.37,Non-Solver,N/A
54,KY_6,2,2,0.48,0.52,Solver,N/A
55,KY_6,2,6,0.27,0.73,Solver,N/A
60,KY_6,1,6,0.54,0.46,Non-Solver,N/A
62,KY_6,1,6,0.52,0.48,Non-Solver,N/A
65,KY_6,2,8,0.38,0.62,Solver,N/A
70,KY_6,2,6,0.37,0.63,Solver,N/A
71,KY_6,2,6,0.25,0.75,Solver,N/A
78,KY_6,2,6,0.31,0.69,Solver,N/A
83,KY_6,2,8,0.17,0.83,Solver,N/A
88,KY_6,2,8,0.2,0.8,Solver,N/A
90,KY_6,2,2,0.4,0.6,Solver,N/A
98,KY_6,2,2,0.34,0.66,Solver,N/A
99,KY_6,1,8,0.97,0.03,Non-Solver,N/A
102,KY_6,2,2,0.35,0.65,Solver,N/A
104,KY_6,2,6,0.29,0.71,Solver,N/A
108,KY_6,2,6,0.56,0.44,Solver,N/A
111,KY_6,2,6,0.27,0.73,Solver,N/A
127,KY_6,2,2,0.49,0.51,Solver,N/A
136,KY_6,2,2,0.28,0.72,Solver,N/A
147,KY_6,2,4,0.26,0.74,Solver,N/A
150,KY_6,1,2,0.45,0.55,Non-Solver,N/A
153,KY_6,2,4,0.27,0.73,Solver,N/A
154,KY_6,2,6,0.27,0.73,Solver,N/A
157,KY_6,1,4,0.42,0.58,Non-Solver,N/A
160,KY_6,2,6,0.56,0.44,Solver,N/A
162,KY_6,1,10,0.81,0.19,Non-Solver,N/A
164,KY_6,2,2,0.24,0.76,Solver,N/A
166,KY_6,2,8,0.1,0.9,Solver,N/A
167,KY_6,2,2,0.3,0.7,Solver,N/A
180,KY_6,1,4,0.52,0.48,Non-Solver,N/A
182,KY_6,2,8,0.3,0.7,Solver,N/A
185,KY_6,2,6,0.45,0.55,Solver,N/A
192,KY_6,2,2,0.49,0.51,Solver,N/A
198,KY_6,2,4,0.29,0.71,Solver,N/A
203,KY_6,1,8,0.68,0.32,Non-Solver,N/A
207,KY_6,2,4,0.38,0.62,Solver,N/A
212,KY_6,2,8,0.15,0.85,Solver,N/A
213,KY_6,2,2,0.8,0.2,Solver,N/A
216,KY_6,2,4,0.4,0.6,Solver,N/A
217,KY_6,2,6,0.39,0.61,Solver,N/A
222,KY_6,1,4,0.37,0.63,Non-Solver,N/A
229,KY_6,2,2,0.43,0.57,Solver,N/A
234,KY_6,2,6,0.29,0.71,Solver,N/A
237,KY_6,2,6,0.41,0.59,Solver,N/A
244,KY_6,2,6,0.45,0.55,Solver,N/A
249,KY_6,2,4,0.54,0.46,Solver,N/A
263,KY_6,1,4,0.52,0.48,Non-Solver,N/A
264,KY_6,1,6,0.65,0.35,Non-Solver,N/A
270,KY_6,2,6,0.36,0.64,Solver,N/A
274,KY_6,1,4,0.05,0.95,Non-Solver,N/A
285,KY_6,2,6,0.43,0.57,Solver,N/A
287,KY_6,2,2,0.71,0.29,Solver,N/A
288,KY_6,2,6,0.4,0.6,Solver,N/A
289,KY_6,2,8,0.05,0.95,Solver,N/A
295,KY_6,2,2,0.38,0.62,Solver,N/A
299,KY_6,2,6,0.3,0.7,Solver,N/A
302,KY_6,2,6,0.45,0.55,Solver,N/A
