Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
10,MA_gub,2,8,0.37,0.63,Solver,N/A
18,MA_gub,1,2,0.53,0.47,Non-Solver,N/A
20,MA_gub,2,2,0.55,0.45,Solver,N/A
21,MA_gub,1,4,0.51,0.49,Non-Solver,N/A
26,MA_gub,1,6,0.57,0.43,Non-Solver,N/A
32,MA_gub,1,6,0.62,0.38,Non-Solver,N/A
39,MA_gub,1,6,0.5,0.5,Non-Solver,N/A
42,MA_gub,1,4,0.22,0.78,Non-Solver,N/A
44,MA_gub,1,8,0.77,0.23,Non-Solver,N/A
46,MA_gub,1,6,0.74,0.26,Non-Solver,N/A
49,MA_gub,1,4,0.7,0.3,Non-Solver,N/A
51,MA_gub,1,6,0.35,0.65,Non-Solver,N/A
52,MA_gub,1,6,0.7,0.3,Non-Solver,N/A
55,MA_gub,2,6,0.32,0.68,Solver,N/A
56,MA_gub,1,4,0.42,0.58,Non-Solver,N/A
58,MA_gub,1,10,0.69,0.31,Non-Solver,N/A
62,MA_gub,1,2,0.53,0.47,Non-Solver,N/A
70,MA_gub,2,4,0.69,0.31,Solver,N/A
71,MA_gub,1,4,0.63,0.37,Non-Solver,N/A
78,MA_gub,1,6,0.62,0.38,Non-Solver,N/A
82,MA_gub,1,8,0.9,0.1,Non-Solver,N/A
87,MA_gub,2,8,0.25,0.75,Solver,N/A
88,MA_gub,2,6,0.49,0.51,Solver,N/A
90,MA_gub,1,6,0.75,0.25,Non-Solver,N/A
93,MA_gub,2,2,0.5,0.5,Solver,N/A
95,MA_gub,1,6,0.65,0.35,Non-Solver,N/A
99,MA_gub,2,6,0.51,0.49,Solver,N/A
103,MA_gub,1,4,0.57,0.43,Non-Solver,N/A
111,MA_gub,2,6,0.41,0.59,Solver,N/A
127,MA_gub,1,6,0.63,0.37,Non-Solver,N/A
149,MA_gub,2,2,0.6,0.4,Solver,N/A
154,MA_gub,1,4,0.52,0.48,Non-Solver,N/A
157,MA_gub,1,6,0.71,0.29,Non-Solver,N/A
158,MA_gub,1,6,0.5,0.5,Non-Solver,N/A
162,MA_gub,1,6,0.76,0.24,Non-Solver,N/A
167,MA_gub,1,8,0.75,0.25,Non-Solver,N/A
169,MA_gub,1,6,0.66,0.34,Non-Solver,N/A
171,MA_gub,2,6,0.28,0.72,Solver,N/A
173,MA_gub,2,2,0.5,0.5,Solver,N/A
177,MA_gub,2,6,0.25,0.75,Solver,N/A
181,MA_gub,1,4,0.35,0.65,Non-Solver,N/A
188,MA_gub,2,2,0.5,0.5,Solver,N/A
191,MA_gub,1,6,0.57,0.43,Non-Solver,N/A
203,MA_gub,1,10,0.85,0.15,Non-Solver,N/A
211,MA_gub,2,8,0.19,0.81,Solver,N/A
216,MA_gub,1,8,0.8,0.2,Non-Solver,N/A
218,MA_gub,1,8,0.81,0.19,Non-Solver,N/A
224,MA_gub,1,2,0.57,0.43,Non-Solver,N/A
227,MA_gub,1,2,0.42,0.58,Non-Solver,N/A
243,MA_gub,1,6,0.61,0.39,Non-Solver,N/A
244,MA_gub,2,10,0.1,0.9,Solver,N/A
249,MA_gub,1,6,0.55,0.45,Non-Solver,N/A
251,MA_gub,1,6,0.51,0.49,Non-Solver,N/A
260,MA_gub,2,8,0.25,0.75,Solver,N/A
265,MA_gub,1,6,0.68,0.32,Non-Solver,N/A
266,MA_gub,1,8,0.66,0.34,Non-Solver,N/A
274,MA_gub,2,6,0.35,0.65,Solver,N/A
277,MA_gub,2,8,0.03,0.97,Solver,N/A
280,MA_gub,1,6,0.8,0.2,Non-Solver,N/A
288,MA_gub,1,6,0.52,0.48,Non-Solver,N/A
289,MA_gub,1,8,0.76,0.24,Non-Solver,N/A
290,MA_gub,1,10,0.7,0.3,Non-Solver,N/A
292,MA_gub,1,6,0.67,0.33,Non-Solver,N/A
295,MA_gub,1,2,0.57,0.43,Non-Solver,N/A
297,MA_gub,1,2,0.65,0.35,Non-Solver,N/A
