Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,MA_sen,1,8,0.39,0.61,Solver,N/A
5,MA_sen,2,6,0.41,0.59,Non-Solver,N/A
8,MA_sen,1,10,0.94,0.0600000000000001,Solver,N/A
15,MA_sen,1,4,0.74,0.26,Solver,N/A
19,MA_sen,1,8,0.59,0.41,Solver,N/A
22,MA_sen,1,8,0.77,0.23,Solver,N/A
23,MA_sen,1,8,0.71,0.29,Solver,N/A
24,MA_sen,1,2,0.41,0.59,Solver,N/A
27,MA_sen,1,8,0.81,0.19,Solver,N/A
29,MA_sen,1,6,0.77,0.23,Solver,N/A
31,MA_sen,1,8,0.7,0.3,Solver,N/A
37,MA_sen,1,6,0.73,0.27,Solver,N/A
40,MA_sen,1,8,0.67,0.33,Solver,N/A
41,MA_sen,1,10,0.97,0.03,Solver,N/A
53,MA_sen,1,10,0.79,0.21,Solver,N/A
55,MA_sen,2,6,0.23,0.77,Non-Solver,N/A
57,MA_sen,1,8,0.85,0.15,Solver,N/A
59,MA_sen,1,2,0.51,0.49,Solver,N/A
67,MA_sen,1,6,0.72,0.28,Solver,N/A
68,MA_sen,1,10,0.84,0.16,Solver,N/A
69,MA_sen,1,10,0.98,0.02,Solver,N/A
76,MA_sen,1,4,0.42,0.58,Solver,N/A
81,MA_sen,2,6,0.31,0.69,Non-Solver,N/A
85,MA_sen,1,10,0.73,0.27,Solver,N/A
95,MA_sen,1,8,0.75,0.25,Solver,N/A
96,MA_sen,1,8,0.63,0.37,Solver,N/A
98,MA_sen,1,6,0.81,0.19,Solver,N/A
104,MA_sen,1,2,0.67,0.33,Solver,N/A
109,MA_sen,1,6,0.67,0.33,Solver,N/A
117,MA_sen,1,6,0.72,0.28,Solver,N/A
124,MA_sen,1,10,0.95,0.05,Solver,N/A
126,MA_sen,1,8,0.65,0.35,Solver,N/A
136,MA_sen,1,6,0.43,0.57,Solver,N/A
144,MA_sen,1,6,0.51,0.49,Solver,N/A
162,MA_sen,1,10,1.0,0.0,Solver,N/A
163,MA_sen,2,6,0.1,0.9,Non-Solver,N/A
164,MA_sen,1,10,0.9,0.1,Solver,N/A
165,MA_sen,1,8,0.8,0.2,Solver,N/A
167,MA_sen,1,10,0.95,0.05,Solver,N/A
170,MA_sen,1,4,0.57,0.43,Solver,N/A
176,MA_sen,1,10,0.96,0.04,Solver,N/A
178,MA_sen,2,2,0.5,0.5,Non-Solver,N/A
185,MA_sen,1,8,0.75,0.25,Solver,N/A
186,MA_sen,1,8,0.67,0.33,Solver,N/A
203,MA_sen,1,10,0.92,0.08,Solver,N/A
206,MA_sen,1,10,1.0,0.0,Solver,N/A
212,MA_sen,1,8,0.85,0.15,Solver,N/A
214,MA_sen,1,8,0.7,0.3,Solver,N/A
216,MA_sen,1,8,0.9,0.1,Solver,N/A
217,MA_sen,1,6,0.71,0.29,Solver,N/A
219,MA_sen,1,8,0.8,0.2,Solver,N/A
223,MA_sen,1,6,0.65,0.35,Solver,N/A
224,MA_sen,1,4,0.7,0.3,Solver,N/A
229,MA_sen,1,6,0.67,0.33,Solver,N/A
239,MA_sen,1,10,0.95,0.05,Solver,N/A
241,MA_sen,1,6,0.68,0.32,Solver,N/A
249,MA_sen,1,8,0.79,0.21,Solver,N/A
253,MA_sen,1,8,0.75,0.25,Solver,N/A
255,MA_sen,1,10,0.9,0.1,Solver,N/A
258,MA_sen,1,8,0.9,0.1,Solver,N/A
263,MA_sen,1,8,0.82,0.18,Solver,N/A
274,MA_sen,1,10,1.0,0.0,Solver,N/A
275,MA_sen,1,10,0.95,0.05,Solver,N/A
278,MA_sen,1,10,0.77,0.23,Solver,N/A
279,MA_sen,1,8,0.81,0.19,Solver,N/A
281,MA_sen,1,6,0.41,0.59,Solver,N/A
288,MA_sen,1,8,0.66,0.34,Solver,N/A
296,MA_sen,1,6,0.79,0.21,Solver,N/A
303,MA_sen,2,6,0.51,0.49,Non-Solver,N/A
305,MA_sen,2,2,0.22,0.78,Non-Solver,N/A
