Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
10,MD_gub,2,6,0.27,0.73,Solver,N/A
11,MD_gub,1,8,0.76,0.24,Non-Solver,N/A
15,MD_gub,2,4,0.22,0.78,Solver,N/A
17,MD_gub,2,6,0.2,0.8,Solver,N/A
29,MD_gub,2,8,0.22,0.78,Solver,N/A
30,MD_gub,1,6,0.65,0.35,Non-Solver,N/A
32,MD_gub,1,8,0.66,0.34,Non-Solver,N/A
35,MD_gub,2,8,0.69,0.31,Solver,N/A
37,MD_gub,1,6,0.65,0.35,Non-Solver,N/A
39,MD_gub,1,6,0.5,0.5,Non-Solver,N/A
45,MD_gub,2,4,0.34,0.66,Solver,N/A
46,MD_gub,1,6,0.68,0.32,Non-Solver,N/A
47,MD_gub,1,6,0.6,0.4,Non-Solver,N/A
49,MD_gub,1,4,0.5,0.5,Non-Solver,N/A
50,MD_gub,2,8,0.08,0.92,Solver,N/A
51,MD_gub,1,6,0.42,0.58,Non-Solver,N/A
56,MD_gub,1,6,0.61,0.39,Non-Solver,N/A
73,MD_gub,2,2,0.44,0.56,Solver,N/A
74,MD_gub,1,2,0.63,0.37,Non-Solver,N/A
77,MD_gub,1,2,0.15,0.85,Non-Solver,N/A
83,MD_gub,1,6,0.64,0.36,Non-Solver,N/A
85,MD_gub,1,2,0.31,0.69,Non-Solver,N/A
90,MD_gub,1,6,0.6,0.4,Non-Solver,N/A
92,MD_gub,2,4,0.51,0.49,Solver,N/A
120,MD_gub,1,6,0.61,0.39,Non-Solver,N/A
122,MD_gub,1,2,0.55,0.45,Non-Solver,N/A
128,MD_gub,2,8,0.18,0.82,Solver,N/A
129,MD_gub,2,4,0.49,0.51,Solver,N/A
134,MD_gub,2,4,0.41,0.59,Solver,N/A
136,MD_gub,1,8,0.82,0.18,Non-Solver,N/A
137,MD_gub,1,2,0.49,0.51,Non-Solver,N/A
138,MD_gub,1,6,0.71,0.29,Non-Solver,N/A
139,MD_gub,1,4,0.41,0.59,Non-Solver,N/A
152,MD_gub,1,10,0.47,0.53,Non-Solver,N/A
153,MD_gub,2,6,0.4,0.6,Solver,N/A
171,MD_gub,2,6,0.74,0.26,Solver,N/A
173,MD_gub,2,2,0.5,0.5,Solver,N/A
177,MD_gub,2,6,0.2,0.8,Solver,N/A
185,MD_gub,1,6,0.55,0.45,Non-Solver,N/A
192,MD_gub,2,2,0.49,0.51,Solver,N/A
193,MD_gub,1,8,0.79,0.21,Non-Solver,N/A
194,MD_gub,1,6,0.56,0.44,Non-Solver,N/A
197,MD_gub,2,8,0.27,0.73,Solver,N/A
200,MD_gub,1,4,0.51,0.49,Non-Solver,N/A
202,MD_gub,1,2,0.46,0.54,Non-Solver,N/A
205,MD_gub,1,4,0.62,0.38,Non-Solver,N/A
207,MD_gub,1,6,0.65,0.35,Non-Solver,N/A
209,MD_gub,2,6,0.31,0.69,Solver,N/A
210,MD_gub,2,6,0.31,0.69,Solver,N/A
215,MD_gub,2,6,0.39,0.61,Solver,N/A
216,MD_gub,1,6,0.61,0.39,Non-Solver,N/A
221,MD_gub,2,6,0.07,0.93,Solver,N/A
232,MD_gub,1,2,0.5,0.5,Non-Solver,N/A
233,MD_gub,1,2,0.8,0.2,Non-Solver,N/A
238,MD_gub,2,6,0.4,0.6,Solver,N/A
239,MD_gub,1,4,0.65,0.35,Non-Solver,N/A
240,MD_gub,2,4,0.43,0.57,Solver,N/A
246,MD_gub,1,2,0.67,0.33,Non-Solver,N/A
249,MD_gub,1,4,0.64,0.36,Non-Solver,N/A
251,MD_gub,1,6,0.4,0.6,Non-Solver,N/A
258,MD_gub,1,4,0.45,0.55,Non-Solver,N/A
261,MD_gub,1,6,0.68,0.32,Non-Solver,N/A
264,MD_gub,2,4,0.45,0.55,Solver,N/A
268,MD_gub,1,8,0.85,0.15,Non-Solver,N/A
278,MD_gub,1,6,0.6,0.4,Non-Solver,N/A
281,MD_gub,2,6,0.39,0.61,Solver,N/A
284,MD_gub,2,4,0.68,0.32,Solver,N/A
291,MD_gub,1,6,0.49,0.51,Non-Solver,N/A
293,MD_gub,2,2,0.49,0.51,Solver,N/A
298,MD_gub,1,4,0.31,0.69,Non-Solver,N/A
306,MD_gub,1,2,0.51,0.49,Non-Solver,N/A
