Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,MD_sen,1,4,0.35,0.65,Solver,N/A
6,MD_sen,1,4,0.9,0.1,Solver,N/A
16,MD_sen,2,6,0.26,0.74,Non-Solver,N/A
33,MD_sen,1,2,0.2,0.8,Solver,N/A
41,MD_sen,2,2,0.45,0.55,Non-Solver,N/A
42,MD_sen,1,4,0.31,0.69,Solver,N/A
43,MD_sen,2,2,0.49,0.51,Non-Solver,N/A
46,MD_sen,2,6,0.46,0.54,Non-Solver,N/A
48,MD_sen,2,6,0.15,0.85,Non-Solver,N/A
50,MD_sen,1,10,0.99,0.01,Solver,N/A
52,MD_sen,2,4,0.49,0.51,Non-Solver,N/A
55,MD_sen,2,4,0.29,0.71,Non-Solver,N/A
58,MD_sen,1,8,0.8,0.2,Solver,N/A
60,MD_sen,2,8,0.41,0.59,Non-Solver,N/A
70,MD_sen,2,2,0.88,0.12,Non-Solver,N/A
77,MD_sen,1,6,0.59,0.41,Solver,N/A
85,MD_sen,1,6,0.53,0.47,Solver,N/A
86,MD_sen,1,6,0.6,0.4,Solver,N/A
89,MD_sen,1,6,0.63,0.37,Solver,N/A
110,MD_sen,2,2,0.49,0.51,Non-Solver,N/A
114,MD_sen,2,6,0.25,0.75,Non-Solver,N/A
115,MD_sen,1,6,0.65,0.35,Solver,N/A
121,MD_sen,1,8,0.73,0.27,Solver,N/A
122,MD_sen,1,2,0.5,0.5,Solver,N/A
129,MD_sen,1,6,0.6,0.4,Solver,N/A
130,MD_sen,1,6,0.56,0.44,Solver,N/A
131,MD_sen,1,6,0.41,0.59,Solver,N/A
132,MD_sen,1,4,0.41,0.59,Solver,N/A
134,MD_sen,2,4,0.7,0.3,Non-Solver,N/A
135,MD_sen,1,10,0.88,0.12,Solver,N/A
146,MD_sen,1,2,0.58,0.42,Solver,N/A
152,MD_sen,2,6,0.52,0.48,Non-Solver,N/A
154,MD_sen,1,4,0.56,0.44,Solver,N/A
173,MD_sen,2,2,0.75,0.25,Non-Solver,N/A
175,MD_sen,2,2,0.47,0.53,Non-Solver,N/A
176,MD_sen,1,6,0.68,0.32,Solver,N/A
178,MD_sen,2,2,0.5,0.5,Non-Solver,N/A
179,MD_sen,2,2,0.49,0.51,Non-Solver,N/A
182,MD_sen,1,8,0.81,0.19,Solver,N/A
183,MD_sen,2,2,0.36,0.64,Non-Solver,N/A
189,MD_sen,1,8,0.85,0.15,Solver,N/A
194,MD_sen,1,8,0.67,0.33,Solver,N/A
195,MD_sen,1,10,0.97,0.03,Solver,N/A
196,MD_sen,1,10,0.91,0.09,Solver,N/A
198,MD_sen,1,2,0.52,0.48,Solver,N/A
207,MD_sen,1,8,0.66,0.34,Solver,N/A
208,MD_sen,1,2,0.51,0.49,Solver,N/A
213,MD_sen,2,2,0.87,0.13,Non-Solver,N/A
217,MD_sen,1,8,0.81,0.19,Solver,N/A
220,MD_sen,1,4,0.55,0.45,Solver,N/A
226,MD_sen,2,2,0.78,0.22,Non-Solver,N/A
227,MD_sen,1,2,0.39,0.61,Solver,N/A
232,MD_sen,1,2,0.51,0.49,Solver,N/A
240,MD_sen,1,6,0.7,0.3,Solver,N/A
251,MD_sen,1,8,0.67,0.33,Solver,N/A
254,MD_sen,2,6,0.49,0.51,Non-Solver,N/A
255,MD_sen,1,8,0.7,0.3,Solver,N/A
256,MD_sen,2,2,0.6,0.4,Non-Solver,N/A
260,MD_sen,2,6,0.45,0.55,Non-Solver,N/A
263,MD_sen,1,8,0.7,0.3,Solver,N/A
267,MD_sen,2,6,0.56,0.44,Non-Solver,N/A
269,MD_sen,1,2,0.75,0.25,Solver,N/A
280,MD_sen,1,6,0.6,0.4,Solver,N/A
281,MD_sen,1,8,0.51,0.49,Solver,N/A
286,MD_sen,1,2,0.51,0.49,Solver,N/A
290,MD_sen,1,6,0.58,0.42,Solver,N/A
291,MD_sen,2,6,0.49,0.51,Non-Solver,N/A
297,MD_sen,2,4,0.65,0.35,Non-Solver,N/A
298,MD_sen,1,4,0.11,0.89,Solver,N/A
307,MD_sen,1,6,0.51,0.49,Solver,N/A
