Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,ME_2,2,6,0.33,0.67,Non-Solver,N/A
6,ME_2,1,6,0.81,0.19,Solver,N/A
12,ME_2,1,8,0.88,0.12,Solver,N/A
13,ME_2,1,6,0.4,0.6,Solver,N/A
15,ME_2,2,6,0.64,0.36,Non-Solver,N/A
16,ME_2,2,6,0.17,0.83,Non-Solver,N/A
17,ME_2,2,8,0.26,0.74,Non-Solver,N/A
20,ME_2,1,2,0.43,0.57,Solver,N/A
22,ME_2,1,2,0.6,0.4,Solver,N/A
28,ME_2,1,2,0.77,0.23,Solver,N/A
29,ME_2,1,6,0.69,0.31,Solver,N/A
37,ME_2,1,6,0.77,0.23,Solver,N/A
38,ME_2,2,6,0.73,0.27,Non-Solver,N/A
40,ME_2,2,4,0.45,0.55,Non-Solver,N/A
51,ME_2,2,6,0.58,0.42,Non-Solver,N/A
65,ME_2,1,2,0.35,0.65,Solver,N/A
73,ME_2,1,4,0.51,0.49,Solver,N/A
74,ME_2,2,8,0.23,0.77,Non-Solver,N/A
75,ME_2,2,4,0.62,0.38,Non-Solver,N/A
78,ME_2,2,6,0.3,0.7,Non-Solver,N/A
80,ME_2,1,2,0.5,0.5,Solver,N/A
86,ME_2,1,6,0.6,0.4,Solver,N/A
87,ME_2,2,8,0.2,0.8,Non-Solver,N/A
95,ME_2,1,4,0.5,0.5,Solver,N/A
99,ME_2,1,8,0.98,0.02,Solver,N/A
100,ME_2,1,4,0.36,0.64,Solver,N/A
101,ME_2,2,6,0.73,0.27,Non-Solver,N/A
107,ME_2,2,6,0.11,0.89,Non-Solver,N/A
112,ME_2,1,2,0.56,0.44,Solver,N/A
113,ME_2,2,2,0.49,0.51,Non-Solver,N/A
122,ME_2,1,2,0.4,0.6,Solver,N/A
126,ME_2,1,8,0.69,0.31,Solver,N/A
130,ME_2,1,6,0.57,0.43,Solver,N/A
135,ME_2,1,10,0.73,0.27,Solver,N/A
136,ME_2,1,2,0.51,0.49,Solver,N/A
142,ME_2,1,2,0.5,0.5,Solver,N/A
144,ME_2,1,6,0.53,0.47,Solver,N/A
145,ME_2,2,2,0.7,0.3,Non-Solver,N/A
147,ME_2,2,4,0.29,0.71,Non-Solver,N/A
156,ME_2,2,8,0.32,0.68,Non-Solver,N/A
158,ME_2,2,4,0.65,0.35,Non-Solver,N/A
163,ME_2,1,6,0.81,0.19,Solver,N/A
171,ME_2,1,4,0.13,0.87,Solver,N/A
179,ME_2,1,2,0.61,0.39,Solver,N/A
187,ME_2,2,2,0.59,0.41,Non-Solver,N/A
188,ME_2,1,2,0.5,0.5,Solver,N/A
197,ME_2,2,8,0.26,0.74,Non-Solver,N/A
206,ME_2,1,6,0.54,0.46,Solver,N/A
224,ME_2,1,4,0.61,0.39,Solver,N/A
231,ME_2,1,6,0.68,0.32,Solver,N/A
236,ME_2,1,6,0.5,0.5,Solver,N/A
250,ME_2,2,4,0.5,0.5,Non-Solver,N/A
251,ME_2,1,2,0.24,0.76,Solver,N/A
256,ME_2,1,2,0.6,0.4,Solver,N/A
258,ME_2,1,6,0.75,0.25,Solver,N/A
262,ME_2,1,6,0.41,0.59,Solver,N/A
263,ME_2,1,4,0.56,0.44,Solver,N/A
264,ME_2,1,6,0.63,0.37,Solver,N/A
276,ME_2,2,2,0.25,0.75,Non-Solver,N/A
278,ME_2,1,6,0.56,0.44,Solver,N/A
279,ME_2,1,8,0.83,0.17,Solver,N/A
289,ME_2,1,2,0.24,0.76,Solver,N/A
295,ME_2,1,2,0.45,0.55,Solver,N/A
296,ME_2,2,6,0.21,0.79,Non-Solver,N/A
301,ME_2,2,6,0.31,0.69,Non-Solver,N/A
304,ME_2,1,4,0.36,0.64,Solver,N/A
308,ME_2,1,2,0.51,0.49,Solver,N/A
