Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,ME_gub,1,6,0.7,0.3,Solver,N/A
6,ME_gub,1,4,0.76,0.24,Solver,N/A
8,ME_gub,1,8,0.71,0.29,Solver,N/A
12,ME_gub,2,2,0.78,0.22,Non-Solver,N/A
13,ME_gub,1,8,0.51,0.49,Solver,N/A
15,ME_gub,1,4,0.33,0.67,Solver,N/A
16,ME_gub,2,6,0.19,0.81,Non-Solver,N/A
23,ME_gub,2,6,0.29,0.71,Non-Solver,N/A
29,ME_gub,1,8,0.38,0.62,Solver,N/A
33,ME_gub,1,8,0.82,0.18,Solver,N/A
34,ME_gub,1,4,0.55,0.45,Solver,N/A
41,ME_gub,2,2,0.57,0.43,Non-Solver,N/A
52,ME_gub,1,4,0.51,0.49,Solver,N/A
57,ME_gub,1,6,0.67,0.33,Solver,N/A
61,ME_gub,2,6,0.48,0.52,Non-Solver,N/A
65,ME_gub,1,2,0.51,0.49,Solver,N/A
67,ME_gub,2,2,0.43,0.57,Non-Solver,N/A
69,ME_gub,2,4,0.48,0.52,Non-Solver,N/A
70,ME_gub,2,8,0.29,0.71,Non-Solver,N/A
75,ME_gub,1,8,0.45,0.55,Solver,N/A
76,ME_gub,2,2,0.76,0.24,Non-Solver,N/A
80,ME_gub,1,2,0.5,0.5,Solver,N/A
91,ME_gub,1,2,0.5,0.5,Solver,N/A
95,ME_gub,1,2,0.5,0.5,Solver,N/A
96,ME_gub,1,6,0.66,0.34,Solver,N/A
102,ME_gub,1,6,0.66,0.34,Solver,N/A
104,ME_gub,2,2,0.47,0.53,Non-Solver,N/A
109,ME_gub,1,8,0.65,0.35,Solver,N/A
115,ME_gub,1,6,0.68,0.32,Solver,N/A
124,ME_gub,1,6,0.5,0.5,Solver,N/A
133,ME_gub,1,2,0.66,0.34,Solver,N/A
136,ME_gub,1,6,0.48,0.52,Solver,N/A
144,ME_gub,1,6,0.66,0.34,Solver,N/A
146,ME_gub,1,2,0.6,0.4,Solver,N/A
156,ME_gub,2,10,0.62,0.38,Non-Solver,N/A
157,ME_gub,2,2,0.59,0.41,Non-Solver,N/A
160,ME_gub,2,6,0.48,0.52,Non-Solver,N/A
162,ME_gub,1,8,0.71,0.29,Solver,N/A
169,ME_gub,2,4,0.42,0.58,Non-Solver,N/A
171,ME_gub,2,4,0.31,0.69,Non-Solver,N/A
174,ME_gub,2,4,0.55,0.45,Non-Solver,N/A
176,ME_gub,2,8,0.22,0.78,Non-Solver,N/A
183,ME_gub,2,10,0.24,0.76,Non-Solver,N/A
188,ME_gub,1,2,0.5,0.5,Solver,N/A
191,ME_gub,2,6,0.45,0.55,Non-Solver,N/A
193,ME_gub,1,6,0.71,0.29,Solver,N/A
204,ME_gub,2,8,0.15,0.85,Non-Solver,N/A
213,ME_gub,2,2,0.85,0.15,Non-Solver,N/A
216,ME_gub,1,6,0.71,0.29,Solver,N/A
222,ME_gub,1,6,0.61,0.39,Solver,N/A
225,ME_gub,1,2,0.35,0.65,Solver,N/A
232,ME_gub,2,2,0.52,0.48,Non-Solver,N/A
235,ME_gub,2,10,0.15,0.85,Non-Solver,N/A
240,ME_gub,2,4,0.39,0.61,Non-Solver,N/A
245,ME_gub,1,6,0.6,0.4,Solver,N/A
252,ME_gub,1,6,0.6,0.4,Solver,N/A
256,ME_gub,1,2,0.52,0.48,Solver,N/A
263,ME_gub,1,6,0.62,0.38,Solver,N/A
264,ME_gub,1,6,0.6,0.4,Solver,N/A
270,ME_gub,1,8,0.68,0.32,Solver,N/A
281,ME_gub,1,2,0.4,0.6,Solver,N/A
283,ME_gub,2,6,0.34,0.66,Non-Solver,N/A
284,ME_gub,2,8,0.44,0.56,Non-Solver,N/A
286,ME_gub,1,2,0.55,0.45,Solver,N/A
294,ME_gub,1,2,0.33,0.67,Solver,N/A
299,ME_gub,1,2,0.51,0.49,Solver,N/A
302,ME_gub,1,8,0.7,0.3,Solver,N/A
308,ME_gub,2,2,0.49,0.51,Non-Solver,N/A
309,ME_gub,2,4,0.59,0.41,Non-Solver,N/A
