Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
5,MI_11,2,6,0.35,0.65,Non-Solver,N/A
6,MI_11,1,4,0.78,0.22,Solver,N/A
12,MI_11,1,6,0.5,0.5,Solver,N/A
25,MI_11,1,6,0.56,0.44,Solver,N/A
28,MI_11,1,2,0.3,0.7,Solver,N/A
36,MI_11,1,6,0.51,0.49,Solver,N/A
40,MI_11,1,4,0.67,0.33,Solver,N/A
50,MI_11,1,8,0.76,0.24,Solver,N/A
53,MI_11,1,2,0.69,0.31,Solver,N/A
56,MI_11,1,6,0.57,0.43,Solver,N/A
57,MI_11,1,6,0.73,0.27,Solver,N/A
62,MI_11,1,2,0.49,0.51,Solver,N/A
64,MI_11,1,4,0.56,0.44,Solver,N/A
66,MI_11,1,6,0.51,0.49,Solver,N/A
70,MI_11,2,6,0.57,0.43,Non-Solver,N/A
72,MI_11,1,6,0.5,0.5,Solver,N/A
75,MI_11,1,6,0.59,0.41,Solver,N/A
76,MI_11,2,6,0.27,0.73,Non-Solver,N/A
77,MI_11,1,2,0.11,0.89,Solver,N/A
85,MI_11,1,2,0.22,0.78,Solver,N/A
86,MI_11,2,8,0.21,0.79,Non-Solver,N/A
91,MI_11,1,2,0.5,0.5,Solver,N/A
96,MI_11,2,2,0.48,0.52,Non-Solver,N/A
97,MI_11,1,4,0.57,0.43,Solver,N/A
98,MI_11,1,2,0.57,0.43,Solver,N/A
104,MI_11,2,2,0.49,0.51,Non-Solver,N/A
113,MI_11,1,2,0.49,0.51,Solver,N/A
116,MI_11,1,2,0.34,0.66,Solver,N/A
121,MI_11,2,4,0.55,0.45,Non-Solver,N/A
123,MI_11,2,6,0.41,0.59,Non-Solver,N/A
126,MI_11,2,4,0.72,0.28,Non-Solver,N/A
129,MI_11,2,4,0.49,0.51,Non-Solver,N/A
131,MI_11,1,2,0.29,0.71,Solver,N/A
137,MI_11,2,2,0.38,0.62,Non-Solver,N/A
143,MI_11,1,2,0.4,0.6,Solver,N/A
148,MI_11,1,2,0.5,0.5,Solver,N/A
155,MI_11,1,2,0.45,0.55,Solver,N/A
164,MI_11,2,2,0.6,0.4,Non-Solver,N/A
166,MI_11,1,4,0.6,0.4,Solver,N/A
168,MI_11,1,2,0.6,0.4,Solver,N/A
169,MI_11,1,6,0.36,0.64,Solver,N/A
175,MI_11,1,2,0.53,0.47,Solver,N/A
182,MI_11,1,8,0.69,0.31,Solver,N/A
183,MI_11,1,8,1.0,0.0,Solver,N/A
186,MI_11,1,2,0.46,0.54,Solver,N/A
188,MI_11,1,2,0.51,0.49,Solver,N/A
190,MI_11,1,6,0.56,0.44,Solver,N/A
193,MI_11,1,6,0.66,0.34,Solver,N/A
202,MI_11,1,4,0.32,0.68,Solver,N/A
206,MI_11,1,8,0.75,0.25,Solver,N/A
214,MI_11,1,2,0.55,0.45,Solver,N/A
224,MI_11,2,2,0.45,0.55,Non-Solver,N/A
225,MI_11,1,2,0.35,0.65,Solver,N/A
239,MI_11,2,2,0.49,0.51,Non-Solver,N/A
240,MI_11,2,2,0.36,0.64,Non-Solver,N/A
246,MI_11,2,2,0.37,0.63,Non-Solver,N/A
252,MI_11,2,6,0.19,0.81,Non-Solver,N/A
253,MI_11,2,8,0.36,0.64,Non-Solver,N/A
254,MI_11,1,6,0.51,0.49,Solver,N/A
257,MI_11,1,2,0.51,0.49,Solver,N/A
264,MI_11,1,6,0.58,0.42,Solver,N/A
266,MI_11,2,6,0.31,0.69,Non-Solver,N/A
268,MI_11,1,6,0.63,0.37,Solver,N/A
277,MI_11,2,8,0.21,0.79,Non-Solver,N/A
279,MI_11,1,8,0.81,0.19,Solver,N/A
294,MI_11,2,2,0.7,0.3,Non-Solver,N/A
296,MI_11,1,4,0.51,0.49,Solver,N/A
302,MI_11,1,6,0.53,0.47,Solver,N/A
309,MI_11,2,6,0.59,0.41,Non-Solver,N/A
