Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,MI_gub,1,4,0.68,0.32,Solver,N/A
11,MI_gub,1,6,0.6,0.4,Solver,N/A
13,MI_gub,1,4,0.19,0.81,Solver,N/A
14,MI_gub,1,4,0.13,0.87,Solver,N/A
16,MI_gub,2,6,0.72,0.28,Non-Solver,N/A
20,MI_gub,1,2,0.42,0.58,Solver,N/A
30,MI_gub,1,2,0.4,0.6,Solver,N/A
31,MI_gub,2,6,0.35,0.65,Non-Solver,N/A
32,MI_gub,1,4,0.47,0.53,Solver,N/A
34,MI_gub,2,4,0.6,0.4,Non-Solver,N/A
37,MI_gub,1,6,0.69,0.31,Solver,N/A
39,MI_gub,2,6,0.3,0.7,Non-Solver,N/A
49,MI_gub,1,4,0.6,0.4,Solver,N/A
53,MI_gub,1,4,0.41,0.59,Solver,N/A
71,MI_gub,2,4,0.37,0.63,Non-Solver,N/A
77,MI_gub,1,6,0.67,0.33,Solver,N/A
79,MI_gub,1,4,0.54,0.46,Solver,N/A
82,MI_gub,1,6,0.8,0.2,Solver,N/A
89,MI_gub,2,6,0.38,0.62,Non-Solver,N/A
90,MI_gub,1,4,0.6,0.4,Solver,N/A
92,MI_gub,1,6,0.59,0.41,Solver,N/A
97,MI_gub,2,8,0.18,0.82,Non-Solver,N/A
100,MI_gub,1,4,0.64,0.36,Solver,N/A
103,MI_gub,1,4,0.35,0.65,Solver,N/A
105,MI_gub,1,6,0.55,0.45,Solver,N/A
110,MI_gub,2,8,0.18,0.82,Non-Solver,N/A
119,MI_gub,2,8,0.43,0.57,Non-Solver,N/A
132,MI_gub,1,8,0.61,0.39,Solver,N/A
133,MI_gub,2,2,0.46,0.54,Non-Solver,N/A
135,MI_gub,1,8,0.75,0.25,Solver,N/A
137,MI_gub,2,8,0.24,0.76,Non-Solver,N/A
138,MI_gub,1,4,0.31,0.69,Solver,N/A
142,MI_gub,1,6,0.4,0.6,Solver,N/A
143,MI_gub,1,2,0.51,0.49,Solver,N/A
150,MI_gub,1,2,0.42,0.58,Solver,N/A
153,MI_gub,1,4,0.77,0.23,Solver,N/A
154,MI_gub,1,4,0.49,0.51,Solver,N/A
155,MI_gub,2,2,0.61,0.39,Non-Solver,N/A
166,MI_gub,1,4,0.7,0.3,Solver,N/A
167,MI_gub,1,4,0.45,0.55,Solver,N/A
169,MI_gub,1,6,0.51,0.49,Solver,N/A
172,MI_gub,1,4,0.48,0.52,Solver,N/A
188,MI_gub,1,2,0.51,0.49,Solver,N/A
189,MI_gub,1,6,0.5,0.5,Solver,N/A
193,MI_gub,1,6,0.82,0.18,Solver,N/A
196,MI_gub,1,10,0.93,0.07,Solver,N/A
200,MI_gub,1,4,0.53,0.47,Solver,N/A
201,MI_gub,1,10,0.94,0.0600000000000001,Solver,N/A
206,MI_gub,1,10,0.89,0.11,Solver,N/A
208,MI_gub,1,2,0.51,0.49,Solver,N/A
209,MI_gub,2,4,0.45,0.55,Non-Solver,N/A
211,MI_gub,2,6,0.16,0.84,Non-Solver,N/A
212,MI_gub,1,8,0.74,0.26,Solver,N/A
221,MI_gub,2,8,0.1,0.9,Non-Solver,N/A
229,MI_gub,1,6,0.67,0.33,Solver,N/A
235,MI_gub,2,10,0.35,0.65,Non-Solver,N/A
240,MI_gub,2,2,0.4,0.6,Non-Solver,N/A
245,MI_gub,1,6,0.6,0.4,Solver,N/A
248,MI_gub,2,8,0.09,0.91,Non-Solver,N/A
257,MI_gub,1,6,0.58,0.42,Solver,N/A
267,MI_gub,1,8,0.42,0.58,Solver,N/A
270,MI_gub,1,10,1.0,0.0,Solver,N/A
271,MI_gub,1,4,0.65,0.35,Solver,N/A
272,MI_gub,2,2,0.64,0.36,Non-Solver,N/A
275,MI_gub,1,10,0.8,0.2,Solver,N/A
283,MI_gub,1,6,0.13,0.87,Solver,N/A
285,MI_gub,1,4,0.47,0.53,Solver,N/A
293,MI_gub,2,2,0.6,0.4,Non-Solver,N/A
299,MI_gub,1,2,0.5,0.5,Solver,N/A
303,MI_gub,2,6,0.5,0.5,Non-Solver,N/A
305,MI_gub,2,2,0.3,0.7,Non-Solver,N/A
