Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
4,MI_sen,1,4,0.35,0.65,Solver,N/A
10,MI_sen,2,4,0.35,0.65,Non-Solver,N/A
13,MI_sen,1,6,0.51,0.49,Solver,N/A
17,MI_sen,2,8,0.12,0.88,Non-Solver,N/A
20,MI_sen,2,2,0.55,0.45,Non-Solver,N/A
27,MI_sen,1,6,0.58,0.42,Solver,N/A
30,MI_sen,1,2,0.25,0.75,Solver,N/A
32,MI_sen,1,10,0.93,0.07,Solver,N/A
35,MI_sen,2,6,0.29,0.71,Non-Solver,N/A
36,MI_sen,2,6,0.49,0.51,Non-Solver,N/A
37,MI_sen,1,6,0.75,0.25,Solver,N/A
38,MI_sen,2,6,0.83,0.17,Non-Solver,N/A
47,MI_sen,2,8,0.39,0.61,Non-Solver,N/A
48,MI_sen,2,4,0.25,0.75,Non-Solver,N/A
66,MI_sen,1,4,0.51,0.49,Solver,N/A
73,MI_sen,1,6,0.65,0.35,Solver,N/A
75,MI_sen,2,8,0.42,0.58,Non-Solver,N/A
79,MI_sen,1,2,0.51,0.49,Solver,N/A
84,MI_sen,1,6,0.75,0.25,Solver,N/A
87,MI_sen,2,4,0.6,0.4,Non-Solver,N/A
92,MI_sen,1,4,0.51,0.49,Solver,N/A
93,MI_sen,1,4,0.5,0.5,Solver,N/A
94,MI_sen,1,8,0.74,0.26,Solver,N/A
95,MI_sen,2,2,0.5,0.5,Non-Solver,N/A
97,MI_sen,2,6,0.27,0.73,Non-Solver,N/A
105,MI_sen,2,6,0.45,0.55,Non-Solver,N/A
108,MI_sen,1,6,0.7,0.3,Solver,N/A
112,MI_sen,1,2,0.51,0.49,Solver,N/A
116,MI_sen,1,2,0.51,0.49,Solver,N/A
119,MI_sen,2,4,0.41,0.59,Non-Solver,N/A
122,MI_sen,1,2,0.5,0.5,Solver,N/A
123,MI_sen,2,8,0.23,0.77,Non-Solver,N/A
128,MI_sen,1,6,0.59,0.41,Solver,N/A
129,MI_sen,2,2,0.49,0.51,Non-Solver,N/A
133,MI_sen,1,2,0.53,0.47,Solver,N/A
134,MI_sen,2,4,0.19,0.81,Non-Solver,N/A
137,MI_sen,2,6,0.34,0.66,Non-Solver,N/A
139,MI_sen,1,4,0.49,0.51,Solver,N/A
142,MI_sen,1,2,0.5,0.5,Solver,N/A
147,MI_sen,2,8,0.34,0.66,Non-Solver,N/A
152,MI_sen,1,8,0.52,0.48,Solver,N/A
160,MI_sen,2,6,0.58,0.42,Non-Solver,N/A
165,MI_sen,1,2,0.51,0.49,Solver,N/A
175,MI_sen,1,2,0.53,0.47,Solver,N/A
181,MI_sen,1,6,0.58,0.42,Solver,N/A
187,MI_sen,1,2,0.62,0.38,Solver,N/A
192,MI_sen,2,4,0.49,0.51,Non-Solver,N/A
194,MI_sen,1,6,0.52,0.48,Solver,N/A
195,MI_sen,1,10,0.79,0.21,Solver,N/A
197,MI_sen,2,10,0.3,0.7,Non-Solver,N/A
206,MI_sen,1,10,0.93,0.07,Solver,N/A
209,MI_sen,2,8,0.28,0.72,Non-Solver,N/A
218,MI_sen,2,2,0.2,0.8,Non-Solver,N/A
220,MI_sen,1,4,0.55,0.45,Solver,N/A
226,MI_sen,2,2,0.75,0.25,Non-Solver,N/A
236,MI_sen,1,8,0.79,0.21,Solver,N/A
239,MI_sen,1,2,0.36,0.64,Solver,N/A
241,MI_sen,2,2,0.5,0.5,Non-Solver,N/A
247,MI_sen,2,2,0.56,0.44,Non-Solver,N/A
250,MI_sen,1,6,0.8,0.2,Solver,N/A
252,MI_sen,1,6,0.8,0.2,Solver,N/A
259,MI_sen,1,2,0.8,0.2,Solver,N/A
268,MI_sen,1,8,0.81,0.19,Solver,N/A
269,MI_sen,2,2,0.68,0.32,Non-Solver,N/A
272,MI_sen,1,6,0.61,0.39,Solver,N/A
275,MI_sen,1,10,0.85,0.15,Solver,N/A
276,MI_sen,1,8,0.7,0.3,Solver,N/A
286,MI_sen,2,2,0.38,0.62,Non-Solver,N/A
295,MI_sen,2,2,0.48,0.52,Non-Solver,N/A
296,MI_sen,2,6,0.23,0.77,Non-Solver,N/A
300,MI_sen,2,6,0.49,0.51,Non-Solver,N/A
302,MI_sen,2,6,0.36,0.64,Non-Solver,N/A
