Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,MN_1,2,4,0.75,0.25,Solver,N/A
3,MN_1,1,6,0.37,0.63,Non-Solver,N/A
7,MN_1,2,4,0.08,0.92,Solver,N/A
8,MN_1,1,8,0.81,0.19,Non-Solver,N/A
19,MN_1,1,4,0.44,0.56,Non-Solver,N/A
27,MN_1,1,6,0.59,0.41,Non-Solver,N/A
37,MN_1,1,6,0.83,0.17,Non-Solver,N/A
41,MN_1,1,8,0.65,0.35,Non-Solver,N/A
54,MN_1,1,2,0.51,0.49,Non-Solver,N/A
55,MN_1,1,2,0.34,0.66,Non-Solver,N/A
56,MN_1,1,6,0.54,0.46,Non-Solver,N/A
57,MN_1,1,6,0.7,0.3,Non-Solver,N/A
60,MN_1,2,4,0.88,0.12,Solver,N/A
61,MN_1,2,6,0.46,0.54,Solver,N/A
67,MN_1,2,2,0.4,0.6,Solver,N/A
72,MN_1,2,6,0.49,0.51,Solver,N/A
78,MN_1,1,6,0.36,0.64,Non-Solver,N/A
80,MN_1,1,2,0.5,0.5,Non-Solver,N/A
81,MN_1,2,8,0.11,0.89,Solver,N/A
83,MN_1,1,6,0.64,0.36,Non-Solver,N/A
84,MN_1,1,6,0.46,0.54,Non-Solver,N/A
86,MN_1,1,8,0.8,0.2,Non-Solver,N/A
88,MN_1,2,6,0.5,0.5,Solver,N/A
89,MN_1,2,6,0.4,0.6,Solver,N/A
97,MN_1,2,6,0.48,0.52,Solver,N/A
102,MN_1,1,4,0.6,0.4,Non-Solver,N/A
115,MN_1,2,6,0.43,0.57,Solver,N/A
118,MN_1,2,10,0.19,0.81,Solver,N/A
124,MN_1,1,8,0.77,0.23,Non-Solver,N/A
125,MN_1,2,6,0.44,0.56,Solver,N/A
148,MN_1,1,2,0.5,0.5,Non-Solver,N/A
151,MN_1,2,2,0.5,0.5,Solver,N/A
157,MN_1,1,2,0.51,0.49,Non-Solver,N/A
159,MN_1,2,6,0.6,0.4,Solver,N/A
160,MN_1,2,6,0.52,0.48,Solver,N/A
164,MN_1,2,2,0.71,0.29,Solver,N/A
165,MN_1,2,2,0.51,0.49,Solver,N/A
168,MN_1,1,2,0.6,0.4,Non-Solver,N/A
170,MN_1,1,2,0.5,0.5,Non-Solver,N/A
172,MN_1,2,6,0.46,0.54,Solver,N/A
179,MN_1,2,2,0.49,0.51,Solver,N/A
186,MN_1,1,2,0.46,0.54,Non-Solver,N/A
187,MN_1,1,4,0.75,0.25,Non-Solver,N/A
204,MN_1,1,4,0.5,0.5,Non-Solver,N/A
209,MN_1,2,6,0.36,0.64,Solver,N/A
211,MN_1,1,4,0.69,0.31,Non-Solver,N/A
213,MN_1,2,2,0.9,0.1,Solver,N/A
214,MN_1,1,2,0.4,0.6,Non-Solver,N/A
215,MN_1,1,2,0.53,0.47,Non-Solver,N/A
218,MN_1,2,6,0.29,0.71,Solver,N/A
226,MN_1,2,4,0.6,0.4,Solver,N/A
232,MN_1,1,2,0.51,0.49,Non-Solver,N/A
236,MN_1,2,2,0.5,0.5,Solver,N/A
237,MN_1,1,4,0.41,0.59,Non-Solver,N/A
243,MN_1,2,6,0.4,0.6,Solver,N/A
250,MN_1,2,6,0.35,0.65,Solver,N/A
251,MN_1,1,8,0.51,0.49,Non-Solver,N/A
253,MN_1,1,6,0.3,0.7,Non-Solver,N/A
258,MN_1,1,4,0.51,0.49,Non-Solver,N/A
259,MN_1,1,2,0.72,0.28,Non-Solver,N/A
264,MN_1,1,6,0.6,0.4,Non-Solver,N/A
272,MN_1,1,2,0.42,0.58,Non-Solver,N/A
274,MN_1,1,6,0.51,0.49,Non-Solver,N/A
277,MN_1,2,10,0.21,0.79,Solver,N/A
280,MN_1,1,6,0.58,0.42,Non-Solver,N/A
287,MN_1,1,2,0.43,0.57,Non-Solver,N/A
288,MN_1,1,8,0.64,0.36,Non-Solver,N/A
294,MN_1,2,8,0.35,0.65,Solver,N/A
295,MN_1,2,2,0.58,0.42,Solver,N/A
303,MN_1,2,4,0.5,0.5,Solver,N/A
306,MN_1,2,2,0.49,0.51,Solver,N/A
