Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,MN_gub,2,8,0.31,0.69,Non-Solver,N/A
4,MN_gub,1,2,0.24,0.76,Solver,N/A
7,MN_gub,2,6,0.08,0.92,Non-Solver,N/A
9,MN_gub,1,2,0.51,0.49,Solver,N/A
12,MN_gub,1,8,0.84,0.16,Solver,N/A
22,MN_gub,2,2,0.46,0.54,Non-Solver,N/A
25,MN_gub,1,6,0.55,0.45,Solver,N/A
27,MN_gub,1,6,0.64,0.36,Solver,N/A
34,MN_gub,2,4,0.7,0.3,Non-Solver,N/A
49,MN_gub,1,4,0.5,0.5,Solver,N/A
52,MN_gub,2,4,0.49,0.51,Non-Solver,N/A
53,MN_gub,1,6,0.43,0.57,Solver,N/A
56,MN_gub,1,6,0.61,0.39,Solver,N/A
61,MN_gub,2,4,0.72,0.28,Non-Solver,N/A
62,MN_gub,1,6,0.4,0.6,Solver,N/A
63,MN_gub,1,4,0.6,0.4,Solver,N/A
68,MN_gub,1,6,0.52,0.48,Solver,N/A
76,MN_gub,2,4,0.57,0.43,Non-Solver,N/A
84,MN_gub,1,6,0.6,0.4,Solver,N/A
89,MN_gub,1,2,0.57,0.43,Solver,N/A
91,MN_gub,1,6,0.7,0.3,Solver,N/A
98,MN_gub,2,2,0.28,0.72,Non-Solver,N/A
114,MN_gub,2,6,0.14,0.86,Non-Solver,N/A
116,MN_gub,2,2,0.39,0.61,Non-Solver,N/A
118,MN_gub,2,10,0.0,1.0,Non-Solver,N/A
123,MN_gub,1,6,0.58,0.42,Solver,N/A
124,MN_gub,1,6,0.69,0.31,Solver,N/A
131,MN_gub,1,8,0.67,0.33,Solver,N/A
133,MN_gub,2,2,0.45,0.55,Non-Solver,N/A
137,MN_gub,2,4,0.46,0.54,Non-Solver,N/A
138,MN_gub,1,8,0.75,0.25,Solver,N/A
145,MN_gub,1,2,0.4,0.6,Solver,N/A
146,MN_gub,2,2,0.43,0.57,Non-Solver,N/A
148,MN_gub,2,2,0.5,0.5,Non-Solver,N/A
155,MN_gub,2,2,0.39,0.61,Non-Solver,N/A
163,MN_gub,1,8,0.83,0.17,Solver,N/A
167,MN_gub,1,4,0.5,0.5,Solver,N/A
168,MN_gub,1,2,0.57,0.43,Solver,N/A
173,MN_gub,2,2,0.5,0.5,Non-Solver,N/A
175,MN_gub,1,2,0.53,0.47,Solver,N/A
176,MN_gub,2,6,0.3,0.7,Non-Solver,N/A
181,MN_gub,2,8,0.35,0.65,Non-Solver,N/A
183,MN_gub,1,2,0.49,0.51,Solver,N/A
184,MN_gub,2,6,0.48,0.52,Non-Solver,N/A
186,MN_gub,1,2,0.39,0.61,Solver,N/A
187,MN_gub,1,6,0.55,0.45,Solver,N/A
193,MN_gub,1,6,0.57,0.43,Solver,N/A
198,MN_gub,2,4,0.31,0.69,Non-Solver,N/A
210,MN_gub,2,6,0.42,0.58,Non-Solver,N/A
213,MN_gub,1,2,0.1,0.9,Solver,N/A
214,MN_gub,1,2,0.45,0.55,Solver,N/A
219,MN_gub,1,2,0.4,0.6,Solver,N/A
225,MN_gub,2,2,0.65,0.35,Non-Solver,N/A
226,MN_gub,2,2,0.66,0.34,Non-Solver,N/A
229,MN_gub,1,4,0.62,0.38,Solver,N/A
240,MN_gub,2,2,0.45,0.55,Non-Solver,N/A
241,MN_gub,1,6,0.68,0.32,Solver,N/A
242,MN_gub,2,4,0.44,0.56,Non-Solver,N/A
243,MN_gub,1,8,0.76,0.24,Solver,N/A
245,MN_gub,2,2,0.5,0.5,Non-Solver,N/A
256,MN_gub,1,6,0.61,0.39,Solver,N/A
260,MN_gub,2,8,0.24,0.76,Non-Solver,N/A
271,MN_gub,1,4,0.6,0.4,Solver,N/A
273,MN_gub,1,6,0.57,0.43,Solver,N/A
276,MN_gub,2,2,0.3,0.7,Non-Solver,N/A
285,MN_gub,2,4,0.49,0.51,Non-Solver,N/A
292,MN_gub,1,6,0.67,0.33,Solver,N/A
294,MN_gub,2,4,0.64,0.36,Non-Solver,N/A
296,MN_gub,1,8,0.71,0.29,Solver,N/A
297,MN_gub,1,8,0.94,0.0600000000000001,Solver,N/A
305,MN_gub,2,2,0.34,0.66,Non-Solver,N/A
309,MN_gub,2,4,0.73,0.27,Non-Solver,N/A
