Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
9,MN_sen2,1,2,0.51,0.49,Solver,N/A
14,MN_sen2,2,8,0.81,0.19,Non-Solver,N/A
15,MN_sen2,2,8,0.18,0.82,Non-Solver,N/A
16,MN_sen2,1,6,0.39,0.61,Solver,N/A
17,MN_sen2,1,6,0.78,0.22,Solver,N/A
18,MN_sen2,1,4,0.59,0.41,Solver,N/A
21,MN_sen2,1,6,0.59,0.41,Solver,N/A
32,MN_sen2,1,10,0.92,0.08,Solver,N/A
36,MN_sen2,1,8,0.81,0.19,Solver,N/A
39,MN_sen2,2,10,0.2,0.8,Non-Solver,N/A
43,MN_sen2,1,2,0.53,0.47,Solver,N/A
45,MN_sen2,2,8,0.1,0.9,Non-Solver,N/A
48,MN_sen2,2,6,0.19,0.81,Non-Solver,N/A
49,MN_sen2,1,4,0.51,0.49,Solver,N/A
51,MN_sen2,1,6,0.63,0.37,Solver,N/A
55,MN_sen2,2,6,0.43,0.57,Non-Solver,N/A
57,MN_sen2,1,6,0.69,0.31,Solver,N/A
61,MN_sen2,2,6,0.53,0.47,Non-Solver,N/A
62,MN_sen2,1,2,0.53,0.47,Solver,N/A
67,MN_sen2,2,2,0.6,0.4,Non-Solver,N/A
77,MN_sen2,1,10,0.99,0.01,Solver,N/A
82,MN_sen2,1,4,0.31,0.69,Solver,N/A
88,MN_sen2,2,4,0.58,0.42,Non-Solver,N/A
90,MN_sen2,1,10,0.8,0.2,Solver,N/A
94,MN_sen2,2,2,0.09,0.91,Non-Solver,N/A
101,MN_sen2,1,6,0.66,0.34,Solver,N/A
102,MN_sen2,1,6,0.7,0.3,Solver,N/A
104,MN_sen2,2,2,0.49,0.51,Non-Solver,N/A
127,MN_sen2,1,2,0.34,0.66,Solver,N/A
128,MN_sen2,1,6,0.82,0.18,Solver,N/A
134,MN_sen2,2,4,0.76,0.24,Non-Solver,N/A
139,MN_sen2,1,2,0.2,0.8,Solver,N/A
143,MN_sen2,1,6,0.8,0.2,Solver,N/A
151,MN_sen2,2,6,0.3,0.7,Non-Solver,N/A
162,MN_sen2,1,10,0.95,0.05,Solver,N/A
164,MN_sen2,1,4,0.56,0.44,Solver,N/A
166,MN_sen2,2,4,0.4,0.6,Non-Solver,N/A
170,MN_sen2,1,4,0.6,0.4,Solver,N/A
171,MN_sen2,2,6,0.27,0.73,Non-Solver,N/A
181,MN_sen2,2,6,0.34,0.66,Non-Solver,N/A
188,MN_sen2,1,2,0.51,0.49,Solver,N/A
193,MN_sen2,2,4,0.59,0.41,Non-Solver,N/A
194,MN_sen2,1,6,0.5,0.5,Solver,N/A
200,MN_sen2,2,2,0.49,0.51,Non-Solver,N/A
207,MN_sen2,1,6,0.67,0.33,Solver,N/A
213,MN_sen2,2,2,0.92,0.08,Non-Solver,N/A
216,MN_sen2,1,4,0.56,0.44,Solver,N/A
219,MN_sen2,1,2,0.45,0.55,Solver,N/A
221,MN_sen2,2,8,0.11,0.89,Non-Solver,N/A
237,MN_sen2,1,10,0.88,0.12,Solver,N/A
243,MN_sen2,2,6,0.44,0.56,Non-Solver,N/A
246,MN_sen2,1,2,0.55,0.45,Solver,N/A
250,MN_sen2,2,6,0.3,0.7,Non-Solver,N/A
259,MN_sen2,1,2,0.81,0.19,Solver,N/A
276,MN_sen2,1,4,0.6,0.4,Solver,N/A
279,MN_sen2,1,8,0.81,0.19,Solver,N/A
282,MN_sen2,1,8,0.8,0.2,Solver,N/A
286,MN_sen2,2,2,0.49,0.51,Non-Solver,N/A
288,MN_sen2,2,6,0.41,0.59,Non-Solver,N/A
290,MN_sen2,1,6,0.59,0.41,Solver,N/A
291,MN_sen2,1,2,0.51,0.49,Solver,N/A
292,MN_sen2,1,2,0.51,0.49,Solver,N/A
297,MN_sen2,1,6,0.57,0.43,Solver,N/A
298,MN_sen2,2,2,0.4,0.6,Non-Solver,N/A
302,MN_sen2,2,4,0.47,0.53,Non-Solver,N/A
306,MN_sen2,2,2,0.49,0.51,Non-Solver,N/A
