Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,MO_sen,2,10,0.08,0.92,Solver,N/A
4,MO_sen,2,6,0.39,0.61,Solver,N/A
10,MO_sen,2,8,0.44,0.56,Solver,N/A
11,MO_sen,2,6,0.44,0.56,Solver,N/A
13,MO_sen,1,6,0.43,0.57,Non-Solver,N/A
14,MO_sen,2,6,0.75,0.25,Solver,N/A
17,MO_sen,2,6,0.22,0.78,Solver,N/A
25,MO_sen,1,6,0.55,0.45,Non-Solver,N/A
27,MO_sen,1,6,0.62,0.38,Non-Solver,N/A
31,MO_sen,2,10,0.0,1.0,Solver,N/A
38,MO_sen,1,6,0.39,0.61,Non-Solver,N/A
45,MO_sen,2,10,0.1,0.9,Solver,N/A
47,MO_sen,2,10,0.28,0.72,Solver,N/A
68,MO_sen,2,2,0.48,0.52,Solver,N/A
73,MO_sen,1,6,0.57,0.43,Non-Solver,N/A
74,MO_sen,2,6,0.41,0.59,Solver,N/A
79,MO_sen,2,4,0.49,0.51,Solver,N/A
84,MO_sen,1,6,0.45,0.55,Non-Solver,N/A
88,MO_sen,2,8,0.26,0.74,Solver,N/A
92,MO_sen,2,6,0.35,0.65,Solver,N/A
93,MO_sen,2,2,0.49,0.51,Solver,N/A
96,MO_sen,2,2,0.43,0.57,Solver,N/A
103,MO_sen,2,4,0.58,0.42,Solver,N/A
105,MO_sen,2,6,0.55,0.45,Solver,N/A
109,MO_sen,2,2,0.29,0.71,Solver,N/A
118,MO_sen,2,10,0.01,0.99,Solver,N/A
120,MO_sen,2,4,0.45,0.55,Solver,N/A
121,MO_sen,2,6,0.28,0.72,Solver,N/A
123,MO_sen,1,4,0.51,0.49,Non-Solver,N/A
128,MO_sen,2,8,0.26,0.74,Solver,N/A
129,MO_sen,1,6,0.63,0.37,Non-Solver,N/A
130,MO_sen,1,6,0.56,0.44,Non-Solver,N/A
135,MO_sen,1,8,0.85,0.15,Non-Solver,N/A
147,MO_sen,1,8,0.34,0.66,Non-Solver,N/A
153,MO_sen,1,4,0.37,0.63,Non-Solver,N/A
156,MO_sen,2,4,0.51,0.49,Solver,N/A
159,MO_sen,2,6,0.3,0.7,Solver,N/A
161,MO_sen,1,2,0.29,0.71,Non-Solver,N/A
163,MO_sen,2,8,0.21,0.79,Solver,N/A
166,MO_sen,2,6,0.25,0.75,Solver,N/A
168,MO_sen,1,6,0.54,0.46,Non-Solver,N/A
175,MO_sen,2,2,0.47,0.53,Solver,N/A
187,MO_sen,2,2,0.6,0.4,Solver,N/A
188,MO_sen,1,2,0.49,0.51,Non-Solver,N/A
198,MO_sen,2,6,0.24,0.76,Solver,N/A
201,MO_sen,1,10,1.0,0.0,Non-Solver,N/A
203,MO_sen,1,10,0.91,0.09,Non-Solver,N/A
204,MO_sen,1,6,0.7,0.3,Non-Solver,N/A
212,MO_sen,2,10,0.12,0.88,Solver,N/A
224,MO_sen,2,6,0.39,0.61,Solver,N/A
240,MO_sen,2,6,0.49,0.51,Solver,N/A
242,MO_sen,2,4,0.42,0.58,Solver,N/A
246,MO_sen,2,6,0.13,0.87,Solver,N/A
254,MO_sen,2,4,0.52,0.48,Solver,N/A
256,MO_sen,1,2,0.47,0.53,Non-Solver,N/A
258,MO_sen,1,4,0.49,0.51,Non-Solver,N/A
259,MO_sen,1,2,0.81,0.19,Non-Solver,N/A
264,MO_sen,2,6,0.4,0.6,Solver,N/A
267,MO_sen,2,8,0.43,0.57,Solver,N/A
273,MO_sen,1,4,0.52,0.48,Non-Solver,N/A
281,MO_sen,1,8,0.86,0.14,Non-Solver,N/A
282,MO_sen,2,6,0.4,0.6,Solver,N/A
284,MO_sen,2,6,0.76,0.24,Solver,N/A
286,MO_sen,2,4,0.31,0.69,Solver,N/A
287,MO_sen,1,2,0.17,0.83,Non-Solver,N/A
292,MO_sen,2,2,0.35,0.65,Solver,N/A
294,MO_sen,2,2,0.62,0.38,Solver,N/A
304,MO_sen,2,6,0.63,0.37,Solver,N/A
306,MO_sen,2,2,0.49,0.51,Solver,N/A
309,MO_sen,2,6,0.62,0.38,Solver,N/A
