Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
4,MT_sen,1,4,0.36,0.64,Solver,N/A
5,MT_sen,2,6,0.39,0.61,Non-Solver,N/A
8,MT_sen,2,6,0.36,0.64,Non-Solver,N/A
25,MT_sen,1,6,0.51,0.49,Solver,N/A
26,MT_sen,2,2,0.47,0.53,Non-Solver,N/A
30,MT_sen,1,2,0.6,0.4,Solver,N/A
34,MT_sen,2,4,0.4,0.6,Non-Solver,N/A
36,MT_sen,2,6,0.29,0.71,Non-Solver,N/A
37,MT_sen,1,6,0.83,0.17,Solver,N/A
44,MT_sen,1,2,0.49,0.51,Solver,N/A
48,MT_sen,2,6,0.2,0.8,Non-Solver,N/A
52,MT_sen,2,6,0.49,0.51,Non-Solver,N/A
56,MT_sen,2,8,0.35,0.65,Non-Solver,N/A
57,MT_sen,1,6,0.64,0.36,Solver,N/A
64,MT_sen,2,4,0.45,0.55,Non-Solver,N/A
70,MT_sen,2,4,0.38,0.62,Non-Solver,N/A
75,MT_sen,2,4,0.6,0.4,Non-Solver,N/A
76,MT_sen,2,4,0.36,0.64,Non-Solver,N/A
84,MT_sen,1,4,0.26,0.74,Solver,N/A
90,MT_sen,1,6,0.55,0.45,Solver,N/A
92,MT_sen,2,8,0.28,0.72,Non-Solver,N/A
95,MT_sen,2,2,0.5,0.5,Non-Solver,N/A
97,MT_sen,2,6,0.32,0.68,Non-Solver,N/A
100,MT_sen,1,2,0.51,0.49,Solver,N/A
102,MT_sen,1,2,0.45,0.55,Solver,N/A
110,MT_sen,2,2,0.49,0.51,Non-Solver,N/A
116,MT_sen,2,2,0.41,0.59,Non-Solver,N/A
129,MT_sen,2,2,0.49,0.51,Non-Solver,N/A
130,MT_sen,1,6,0.54,0.46,Solver,N/A
132,MT_sen,2,8,0.13,0.87,Non-Solver,N/A
135,MT_sen,1,10,0.86,0.14,Solver,N/A
144,MT_sen,2,8,0.17,0.83,Non-Solver,N/A
146,MT_sen,2,6,0.36,0.64,Non-Solver,N/A
150,MT_sen,1,2,0.22,0.78,Solver,N/A
154,MT_sen,2,4,0.4,0.6,Non-Solver,N/A
156,MT_sen,2,10,0.04,0.96,Non-Solver,N/A
159,MT_sen,1,6,0.61,0.39,Solver,N/A
160,MT_sen,2,6,0.57,0.43,Non-Solver,N/A
162,MT_sen,1,6,0.51,0.49,Solver,N/A
171,MT_sen,2,6,0.23,0.77,Non-Solver,N/A
176,MT_sen,2,10,0.0600000000000001,0.94,Non-Solver,N/A
178,MT_sen,2,2,0.5,0.5,Non-Solver,N/A
179,MT_sen,2,2,0.49,0.51,Non-Solver,N/A
180,MT_sen,1,2,0.36,0.64,Solver,N/A
181,MT_sen,2,6,0.42,0.58,Non-Solver,N/A
185,MT_sen,2,8,0.35,0.65,Non-Solver,N/A
196,MT_sen,1,8,0.83,0.17,Solver,N/A
205,MT_sen,2,8,0.33,0.67,Non-Solver,N/A
208,MT_sen,2,2,0.49,0.51,Non-Solver,N/A
210,MT_sen,2,6,0.42,0.58,Non-Solver,N/A
214,MT_sen,2,2,0.6,0.4,Non-Solver,N/A
219,MT_sen,2,2,0.4,0.6,Non-Solver,N/A
220,MT_sen,1,4,0.55,0.45,Solver,N/A
234,MT_sen,2,8,0.13,0.87,Non-Solver,N/A
239,MT_sen,2,2,0.4,0.6,Non-Solver,N/A
244,MT_sen,2,8,0.19,0.81,Non-Solver,N/A
247,MT_sen,2,2,0.4,0.6,Non-Solver,N/A
252,MT_sen,1,6,0.81,0.19,Solver,N/A
257,MT_sen,2,6,0.37,0.63,Non-Solver,N/A
259,MT_sen,1,2,0.8,0.2,Solver,N/A
261,MT_sen,2,4,0.44,0.56,Non-Solver,N/A
265,MT_sen,2,6,0.54,0.46,Non-Solver,N/A
266,MT_sen,2,8,0.29,0.71,Non-Solver,N/A
271,MT_sen,2,4,0.36,0.64,Non-Solver,N/A
278,MT_sen,1,6,0.6,0.4,Solver,N/A
279,MT_sen,1,8,0.8,0.2,Solver,N/A
289,MT_sen,1,6,0.45,0.55,Solver,N/A
296,MT_sen,2,8,0.19,0.81,Non-Solver,N/A
303,MT_sen,2,6,0.5,0.5,Non-Solver,N/A
305,MT_sen,2,2,0.33,0.67,Non-Solver,N/A
308,MT_sen,1,2,0.5,0.5,Solver,N/A
