Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
4,ND_sen,1,4,0.15,0.85,Non-Solver,N/A
6,ND_sen,2,8,0.26,0.74,Solver,N/A
9,ND_sen,1,2,0.51,0.49,Non-Solver,N/A
12,ND_sen,2,8,0.21,0.79,Solver,N/A
15,ND_sen,2,8,0.17,0.83,Solver,N/A
16,ND_sen,2,6,0.18,0.82,Solver,N/A
28,ND_sen,1,4,0.41,0.59,Non-Solver,N/A
29,ND_sen,2,6,0.24,0.76,Solver,N/A
33,ND_sen,2,2,0.99,0.01,Solver,N/A
38,ND_sen,1,6,0.2,0.8,Non-Solver,N/A
40,ND_sen,2,2,0.31,0.69,Solver,N/A
41,ND_sen,1,8,0.71,0.29,Non-Solver,N/A
42,ND_sen,2,8,0.44,0.56,Solver,N/A
46,ND_sen,2,8,0.29,0.71,Solver,N/A
48,ND_sen,1,6,0.4,0.6,Non-Solver,N/A
53,ND_sen,1,6,0.58,0.42,Non-Solver,N/A
58,ND_sen,1,10,1.0,0.0,Non-Solver,N/A
60,ND_sen,1,6,0.49,0.51,Non-Solver,N/A
62,ND_sen,1,2,0.55,0.45,Non-Solver,N/A
63,ND_sen,2,8,0.34,0.66,Solver,N/A
69,ND_sen,2,10,0.12,0.88,Solver,N/A
87,ND_sen,2,8,0.3,0.7,Solver,N/A
96,ND_sen,2,8,0.18,0.82,Solver,N/A
101,ND_sen,2,6,0.45,0.55,Solver,N/A
113,ND_sen,1,2,0.51,0.49,Non-Solver,N/A
114,ND_sen,2,4,0.19,0.81,Solver,N/A
118,ND_sen,2,10,0.0,1.0,Solver,N/A
119,ND_sen,2,8,0.39,0.61,Solver,N/A
120,ND_sen,2,8,0.11,0.89,Solver,N/A
131,ND_sen,1,6,0.36,0.64,Non-Solver,N/A
134,ND_sen,2,4,0.44,0.56,Solver,N/A
136,ND_sen,1,4,0.26,0.74,Non-Solver,N/A
142,ND_sen,1,6,0.4,0.6,Non-Solver,N/A
143,ND_sen,2,6,0.19,0.81,Solver,N/A
148,ND_sen,1,2,0.5,0.5,Non-Solver,N/A
149,ND_sen,2,8,0.18,0.82,Solver,N/A
150,ND_sen,2,2,0.38,0.62,Solver,N/A
164,ND_sen,1,6,0.65,0.35,Non-Solver,N/A
165,ND_sen,1,2,0.51,0.49,Non-Solver,N/A
168,ND_sen,1,2,0.59,0.41,Non-Solver,N/A
173,ND_sen,2,2,0.5,0.5,Solver,N/A
180,ND_sen,1,4,0.54,0.46,Non-Solver,N/A
182,ND_sen,2,6,0.38,0.62,Solver,N/A
185,ND_sen,2,6,0.3,0.7,Solver,N/A
196,ND_sen,2,8,0.26,0.74,Solver,N/A
202,ND_sen,2,6,0.42,0.58,Solver,N/A
206,ND_sen,2,6,0.44,0.56,Solver,N/A
210,ND_sen,2,6,0.35,0.65,Solver,N/A
211,ND_sen,2,4,0.62,0.38,Solver,N/A
217,ND_sen,2,6,0.4,0.6,Solver,N/A
218,ND_sen,2,6,0.3,0.7,Solver,N/A
220,ND_sen,1,4,0.55,0.45,Non-Solver,N/A
221,ND_sen,2,8,0.04,0.96,Solver,N/A
222,ND_sen,2,8,0.23,0.77,Solver,N/A
224,ND_sen,2,6,0.43,0.57,Solver,N/A
228,ND_sen,2,6,0.48,0.52,Solver,N/A
231,ND_sen,2,6,0.35,0.65,Solver,N/A
242,ND_sen,2,6,0.31,0.69,Solver,N/A
244,ND_sen,2,6,0.4,0.6,Solver,N/A
245,ND_sen,2,6,0.4,0.6,Solver,N/A
254,ND_sen,2,6,0.49,0.51,Solver,N/A
259,ND_sen,1,2,0.78,0.22,Non-Solver,N/A
262,ND_sen,2,8,0.28,0.72,Solver,N/A
263,ND_sen,2,4,0.46,0.54,Solver,N/A
268,ND_sen,1,8,0.81,0.19,Non-Solver,N/A
269,ND_sen,2,2,0.45,0.55,Solver,N/A
275,ND_sen,2,8,0.3,0.7,Solver,N/A
287,ND_sen,2,4,0.44,0.56,Solver,N/A
297,ND_sen,2,10,0.0,1.0,Solver,N/A
300,ND_sen,1,6,0.74,0.26,Non-Solver,N/A
304,ND_sen,1,4,0.4,0.6,Non-Solver,N/A
