Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
11,NE_2,1,6,0.66,0.34,Non-Solver,N/A
25,NE_2,1,6,0.55,0.45,Non-Solver,N/A
26,NE_2,2,2,0.5,0.5,Solver,N/A
30,NE_2,2,6,0.6,0.4,Solver,N/A
41,NE_2,1,2,0.25,0.75,Non-Solver,N/A
42,NE_2,2,6,0.42,0.58,Solver,N/A
43,NE_2,2,2,0.47,0.53,Solver,N/A
44,NE_2,2,2,0.48,0.52,Solver,N/A
46,NE_2,2,6,0.32,0.68,Solver,N/A
50,NE_2,2,8,0.23,0.77,Solver,N/A
52,NE_2,2,4,0.49,0.51,Solver,N/A
53,NE_2,1,4,0.45,0.55,Non-Solver,N/A
58,NE_2,1,10,0.99,0.01,Non-Solver,N/A
60,NE_2,2,6,0.34,0.66,Solver,N/A
62,NE_2,1,2,0.62,0.38,Non-Solver,N/A
64,NE_2,2,4,0.49,0.51,Solver,N/A
70,NE_2,2,6,0.4,0.6,Solver,N/A
72,NE_2,2,6,0.34,0.66,Solver,N/A
79,NE_2,2,2,0.51,0.49,Solver,N/A
89,NE_2,2,6,0.38,0.62,Solver,N/A
90,NE_2,2,2,0.5,0.5,Solver,N/A
92,NE_2,2,4,0.44,0.56,Solver,N/A
94,NE_2,2,4,0.83,0.17,Solver,N/A
100,NE_2,2,8,0.41,0.59,Solver,N/A
112,NE_2,2,2,0.31,0.69,Solver,N/A
116,NE_2,2,2,0.44,0.56,Solver,N/A
118,NE_2,2,8,0.4,0.6,Solver,N/A
121,NE_2,2,6,0.28,0.72,Solver,N/A
123,NE_2,1,6,0.53,0.47,Non-Solver,N/A
126,NE_2,2,6,0.29,0.71,Solver,N/A
128,NE_2,2,8,0.24,0.76,Solver,N/A
129,NE_2,2,6,0.51,0.49,Solver,N/A
130,NE_2,1,6,0.58,0.42,Non-Solver,N/A
132,NE_2,2,4,0.74,0.26,Solver,N/A
137,NE_2,2,4,0.42,0.58,Solver,N/A
138,NE_2,2,8,0.37,0.63,Solver,N/A
140,NE_2,1,6,0.27,0.73,Non-Solver,N/A
143,NE_2,2,2,0.59,0.41,Solver,N/A
145,NE_2,2,2,0.7,0.3,Solver,N/A
148,NE_2,2,2,0.5,0.5,Solver,N/A
154,NE_2,2,4,0.36,0.64,Solver,N/A
158,NE_2,2,6,0.35,0.65,Solver,N/A
163,NE_2,2,8,0.21,0.79,Solver,N/A
168,NE_2,2,2,0.43,0.57,Solver,N/A
183,NE_2,2,4,0.58,0.42,Solver,N/A
191,NE_2,2,2,0.49,0.51,Solver,N/A
201,NE_2,1,10,0.89,0.11,Non-Solver,N/A
215,NE_2,2,6,0.27,0.73,Solver,N/A
223,NE_2,2,6,0.0600000000000001,0.94,Solver,N/A
225,NE_2,2,2,0.65,0.35,Solver,N/A
228,NE_2,2,6,0.39,0.61,Solver,N/A
230,NE_2,2,6,0.4,0.6,Solver,N/A
235,NE_2,2,10,0.25,0.75,Solver,N/A
237,NE_2,2,4,0.49,0.51,Solver,N/A
238,NE_2,2,4,0.31,0.69,Solver,N/A
244,NE_2,2,6,0.39,0.61,Solver,N/A
252,NE_2,1,6,0.51,0.49,Non-Solver,N/A
264,NE_2,2,4,0.54,0.46,Solver,N/A
265,NE_2,2,6,0.46,0.54,Solver,N/A
270,NE_2,1,8,0.63,0.37,Non-Solver,N/A
271,NE_2,2,4,0.35,0.65,Solver,N/A
282,NE_2,2,6,0.35,0.65,Solver,N/A
284,NE_2,2,4,0.28,0.72,Solver,N/A
287,NE_2,1,2,0.59,0.41,Non-Solver,N/A
288,NE_2,2,8,0.33,0.67,Solver,N/A
291,NE_2,1,2,0.51,0.49,Non-Solver,N/A
292,NE_2,2,2,0.21,0.79,Solver,N/A
299,NE_2,2,6,0.39,0.61,Solver,N/A
303,NE_2,2,6,0.51,0.49,Solver,N/A
304,NE_2,2,8,0.33,0.67,Solver,N/A
307,NE_2,1,6,0.51,0.49,Non-Solver,N/A
