Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
7,NE_gub,2,6,0.27,0.73,Solver,N/A
17,NE_gub,2,6,0.39,0.61,Solver,N/A
19,NE_gub,1,6,0.55,0.45,Non-Solver,N/A
20,NE_gub,1,2,0.34,0.66,Non-Solver,N/A
21,NE_gub,1,8,0.84,0.16,Non-Solver,N/A
23,NE_gub,2,2,0.3,0.7,Solver,N/A
28,NE_gub,2,2,0.2,0.8,Solver,N/A
29,NE_gub,2,8,0.24,0.76,Solver,N/A
31,NE_gub,2,8,0.35,0.65,Solver,N/A
32,NE_gub,2,6,0.34,0.66,Solver,N/A
35,NE_gub,2,4,0.26,0.74,Solver,N/A
37,NE_gub,1,6,0.8,0.2,Non-Solver,N/A
45,NE_gub,2,10,0.1,0.9,Solver,N/A
59,NE_gub,2,2,0.5,0.5,Solver,N/A
60,NE_gub,2,2,0.49,0.51,Solver,N/A
62,NE_gub,1,6,0.59,0.41,Non-Solver,N/A
63,NE_gub,1,6,0.66,0.34,Non-Solver,N/A
68,NE_gub,2,6,0.39,0.61,Solver,N/A
73,NE_gub,2,4,0.59,0.41,Solver,N/A
75,NE_gub,2,6,0.34,0.66,Solver,N/A
83,NE_gub,2,6,0.31,0.69,Solver,N/A
87,NE_gub,2,6,0.3,0.7,Solver,N/A
98,NE_gub,2,2,0.49,0.51,Solver,N/A
100,NE_gub,1,6,0.4,0.6,Non-Solver,N/A
101,NE_gub,1,6,0.55,0.45,Non-Solver,N/A
108,NE_gub,2,6,0.7,0.3,Solver,N/A
109,NE_gub,2,8,0.18,0.82,Solver,N/A
111,NE_gub,2,2,0.39,0.61,Solver,N/A
112,NE_gub,2,2,0.2,0.8,Solver,N/A
121,NE_gub,2,6,0.38,0.62,Solver,N/A
126,NE_gub,1,6,0.41,0.59,Non-Solver,N/A
127,NE_gub,2,2,0.49,0.51,Solver,N/A
128,NE_gub,2,6,0.38,0.62,Solver,N/A
136,NE_gub,2,2,0.49,0.51,Solver,N/A
137,NE_gub,2,4,0.26,0.74,Solver,N/A
139,NE_gub,1,6,0.54,0.46,Non-Solver,N/A
152,NE_gub,2,6,0.67,0.33,Solver,N/A
163,NE_gub,2,8,0.25,0.75,Solver,N/A
165,NE_gub,2,6,0.22,0.78,Solver,N/A
181,NE_gub,1,6,0.57,0.43,Non-Solver,N/A
182,NE_gub,2,8,0.23,0.77,Solver,N/A
183,NE_gub,1,4,0.72,0.28,Non-Solver,N/A
186,NE_gub,1,2,0.31,0.69,Non-Solver,N/A
187,NE_gub,2,4,0.34,0.66,Solver,N/A
196,NE_gub,2,6,0.21,0.79,Solver,N/A
198,NE_gub,2,4,0.24,0.76,Solver,N/A
212,NE_gub,2,8,0.23,0.77,Solver,N/A
218,NE_gub,2,8,0.31,0.69,Solver,N/A
219,NE_gub,2,2,0.63,0.37,Solver,N/A
220,NE_gub,1,4,0.55,0.45,Non-Solver,N/A
228,NE_gub,2,6,0.37,0.63,Solver,N/A
235,NE_gub,2,8,0.25,0.75,Solver,N/A
244,NE_gub,2,2,0.74,0.26,Solver,N/A
249,NE_gub,2,4,0.57,0.43,Solver,N/A
252,NE_gub,1,8,0.86,0.14,Non-Solver,N/A
254,NE_gub,1,6,0.56,0.44,Non-Solver,N/A
259,NE_gub,1,2,0.81,0.19,Non-Solver,N/A
265,NE_gub,2,2,0.7,0.3,Solver,N/A
269,NE_gub,2,2,0.42,0.58,Solver,N/A
274,NE_gub,1,4,0.19,0.81,Non-Solver,N/A
275,NE_gub,2,10,0.2,0.8,Solver,N/A
277,NE_gub,2,8,0.0600000000000001,0.94,Solver,N/A
280,NE_gub,2,8,0.25,0.75,Solver,N/A
288,NE_gub,2,6,0.48,0.52,Solver,N/A
296,NE_gub,2,6,0.18,0.82,Solver,N/A
303,NE_gub,2,6,0.51,0.49,Solver,N/A
304,NE_gub,2,4,0.67,0.33,Solver,N/A
