Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,NE_sen,1,6,0.51,0.49,Non-Solver,N/A
15,NE_sen,2,6,0.2,0.8,Solver,N/A
19,NE_sen,2,8,0.09,0.91,Solver,N/A
23,NE_sen,2,2,0.29,0.71,Solver,N/A
27,NE_sen,1,4,0.58,0.42,Non-Solver,N/A
30,NE_sen,1,2,0.2,0.8,Non-Solver,N/A
34,NE_sen,1,4,0.45,0.55,Non-Solver,N/A
41,NE_sen,2,2,0.4,0.6,Solver,N/A
48,NE_sen,1,6,0.4,0.6,Non-Solver,N/A
55,NE_sen,2,6,0.27,0.73,Solver,N/A
57,NE_sen,1,6,0.66,0.34,Non-Solver,N/A
59,NE_sen,2,2,0.71,0.29,Solver,N/A
67,NE_sen,2,2,0.62,0.38,Solver,N/A
69,NE_sen,2,8,0.09,0.91,Solver,N/A
72,NE_sen,2,4,0.75,0.25,Solver,N/A
82,NE_sen,1,8,0.81,0.19,Non-Solver,N/A
86,NE_sen,2,6,0.4,0.6,Solver,N/A
87,NE_sen,2,8,0.2,0.8,Solver,N/A
88,NE_sen,2,8,0.29,0.71,Solver,N/A
89,NE_sen,2,8,0.29,0.71,Solver,N/A
115,NE_sen,2,6,0.34,0.66,Solver,N/A
119,NE_sen,2,4,0.4,0.6,Solver,N/A
122,NE_sen,1,2,0.5,0.5,Non-Solver,N/A
125,NE_sen,2,6,0.4,0.6,Solver,N/A
126,NE_sen,1,4,0.41,0.59,Non-Solver,N/A
130,NE_sen,1,6,0.59,0.41,Non-Solver,N/A
131,NE_sen,2,6,0.36,0.64,Solver,N/A
138,NE_sen,1,6,0.37,0.63,Non-Solver,N/A
140,NE_sen,1,4,0.31,0.69,Non-Solver,N/A
144,NE_sen,2,6,0.38,0.62,Solver,N/A
146,NE_sen,2,6,0.28,0.72,Solver,N/A
150,NE_sen,2,2,0.39,0.61,Solver,N/A
151,NE_sen,2,4,0.4,0.6,Solver,N/A
156,NE_sen,2,6,0.29,0.71,Solver,N/A
160,NE_sen,2,6,0.64,0.36,Solver,N/A
163,NE_sen,2,6,0.36,0.64,Solver,N/A
165,NE_sen,2,6,0.2,0.8,Solver,N/A
172,NE_sen,2,6,0.48,0.52,Solver,N/A
173,NE_sen,2,2,0.5,0.5,Solver,N/A
175,NE_sen,2,2,0.47,0.53,Solver,N/A
176,NE_sen,1,6,0.75,0.25,Non-Solver,N/A
177,NE_sen,2,6,0.3,0.7,Solver,N/A
178,NE_sen,2,2,0.5,0.5,Solver,N/A
182,NE_sen,1,10,0.84,0.16,Non-Solver,N/A
183,NE_sen,2,6,0.38,0.62,Solver,N/A
189,NE_sen,1,6,0.6,0.4,Non-Solver,N/A
196,NE_sen,2,8,0.26,0.74,Solver,N/A
208,NE_sen,1,2,0.51,0.49,Non-Solver,N/A
212,NE_sen,2,8,0.17,0.83,Solver,N/A
217,NE_sen,2,6,0.49,0.51,Solver,N/A
219,NE_sen,2,4,0.6,0.4,Solver,N/A
222,NE_sen,2,6,0.28,0.72,Solver,N/A
225,NE_sen,2,2,0.65,0.35,Solver,N/A
227,NE_sen,1,2,0.51,0.49,Non-Solver,N/A
229,NE_sen,1,4,0.59,0.41,Non-Solver,N/A
238,NE_sen,1,2,0.57,0.43,Non-Solver,N/A
245,NE_sen,2,6,0.4,0.6,Solver,N/A
246,NE_sen,2,2,0.35,0.65,Solver,N/A
247,NE_sen,2,2,0.4,0.6,Solver,N/A
248,NE_sen,2,6,0.2,0.8,Solver,N/A
258,NE_sen,2,8,0.1,0.9,Solver,N/A
259,NE_sen,1,6,0.8,0.2,Non-Solver,N/A
267,NE_sen,2,6,0.49,0.51,Solver,N/A
271,NE_sen,2,4,0.37,0.63,Solver,N/A
273,NE_sen,1,4,0.3,0.7,Non-Solver,N/A
285,NE_sen,2,4,0.48,0.52,Solver,N/A
286,NE_sen,2,4,0.41,0.59,Solver,N/A
289,NE_sen,2,2,0.42,0.58,Solver,N/A
290,NE_sen,2,6,0.43,0.57,Solver,N/A
300,NE_sen,2,10,0.34,0.66,Solver,N/A
305,NE_sen,2,2,0.42,0.58,Solver,N/A
308,NE_sen,2,2,0.49,0.51,Solver,N/A
309,NE_sen,2,6,0.69,0.31,Solver,N/A
