Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,NH_gub,2,10,0.39,0.61,Solver,N/A
2,NH_gub,1,6,0.71,0.29,Non-Solver,N/A
3,NH_gub,1,6,0.3,0.7,Non-Solver,N/A
7,NH_gub,2,6,0.12,0.88,Solver,N/A
8,NH_gub,1,6,0.4,0.6,Non-Solver,N/A
19,NH_gub,2,6,0.41,0.59,Solver,N/A
20,NH_gub,1,4,0.6,0.4,Non-Solver,N/A
24,NH_gub,1,2,0.39,0.61,Non-Solver,N/A
27,NH_gub,1,4,0.51,0.49,Non-Solver,N/A
28,NH_gub,1,2,0.71,0.29,Non-Solver,N/A
31,NH_gub,1,10,1.0,0.0,Non-Solver,N/A
40,NH_gub,1,8,0.71,0.29,Non-Solver,N/A
41,NH_gub,1,2,0.56,0.44,Non-Solver,N/A
49,NH_gub,1,4,0.7,0.3,Non-Solver,N/A
53,NH_gub,1,4,0.38,0.62,Non-Solver,N/A
57,NH_gub,1,6,0.68,0.32,Non-Solver,N/A
59,NH_gub,1,2,0.5,0.5,Non-Solver,N/A
61,NH_gub,2,6,0.52,0.48,Solver,N/A
64,NH_gub,1,6,0.54,0.46,Non-Solver,N/A
68,NH_gub,1,2,0.17,0.83,Non-Solver,N/A
74,NH_gub,2,2,0.47,0.53,Solver,N/A
81,NH_gub,1,6,0.7,0.3,Non-Solver,N/A
89,NH_gub,2,6,0.43,0.57,Solver,N/A
100,NH_gub,1,4,0.6,0.4,Non-Solver,N/A
117,NH_gub,2,8,0.25,0.75,Solver,N/A
123,NH_gub,1,8,0.78,0.22,Non-Solver,N/A
132,NH_gub,2,6,0.49,0.51,Solver,N/A
134,NH_gub,2,4,0.43,0.57,Solver,N/A
137,NH_gub,2,4,0.49,0.51,Solver,N/A
143,NH_gub,2,10,0.0,1.0,Solver,N/A
145,NH_gub,1,2,0.6,0.4,Non-Solver,N/A
150,NH_gub,1,2,0.49,0.51,Non-Solver,N/A
151,NH_gub,2,2,0.5,0.5,Solver,N/A
160,NH_gub,2,6,0.58,0.42,Solver,N/A
163,NH_gub,1,8,0.78,0.22,Non-Solver,N/A
166,NH_gub,2,4,0.4,0.6,Solver,N/A
169,NH_gub,2,2,0.59,0.41,Solver,N/A
172,NH_gub,1,8,0.67,0.33,Non-Solver,N/A
176,NH_gub,1,6,0.65,0.35,Non-Solver,N/A
179,NH_gub,1,2,0.61,0.39,Non-Solver,N/A
189,NH_gub,1,8,0.85,0.15,Non-Solver,N/A
193,NH_gub,1,6,0.41,0.59,Non-Solver,N/A
196,NH_gub,1,10,0.91,0.09,Non-Solver,N/A
200,NH_gub,1,2,0.52,0.48,Non-Solver,N/A
207,NH_gub,1,6,0.66,0.34,Non-Solver,N/A
208,NH_gub,1,2,0.51,0.49,Non-Solver,N/A
211,NH_gub,1,6,0.65,0.35,Non-Solver,N/A
213,NH_gub,2,2,0.89,0.11,Solver,N/A
216,NH_gub,1,6,0.7,0.3,Non-Solver,N/A
220,NH_gub,1,4,0.55,0.45,Non-Solver,N/A
225,NH_gub,1,2,0.35,0.65,Non-Solver,N/A
235,NH_gub,1,8,0.6,0.4,Non-Solver,N/A
237,NH_gub,2,6,0.41,0.59,Solver,N/A
238,NH_gub,1,4,0.55,0.45,Non-Solver,N/A
242,NH_gub,1,8,0.61,0.39,Non-Solver,N/A
247,NH_gub,2,2,0.56,0.44,Solver,N/A
248,NH_gub,2,6,0.36,0.64,Solver,N/A
257,NH_gub,2,6,0.24,0.76,Solver,N/A
260,NH_gub,1,2,0.5,0.5,Non-Solver,N/A
264,NH_gub,2,6,0.46,0.54,Solver,N/A
266,NH_gub,1,6,0.59,0.41,Non-Solver,N/A
267,NH_gub,2,8,0.32,0.68,Solver,N/A
273,NH_gub,2,4,0.48,0.52,Solver,N/A
276,NH_gub,2,2,0.4,0.6,Solver,N/A
281,NH_gub,1,6,0.61,0.39,Non-Solver,N/A
285,NH_gub,2,6,0.44,0.56,Solver,N/A
286,NH_gub,1,2,0.51,0.49,Non-Solver,N/A
287,NH_gub,1,2,0.39,0.61,Non-Solver,N/A
292,NH_gub,1,6,0.66,0.34,Non-Solver,N/A
294,NH_gub,1,2,0.26,0.74,Non-Solver,N/A
297,NH_gub,2,6,0.84,0.16,Solver,N/A
298,NH_gub,1,4,0.3,0.7,Non-Solver,N/A
307,NH_gub,1,6,0.52,0.48,Non-Solver,N/A
