Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
4,NJ_3,1,6,0.73,0.27,Solver,N/A
5,NJ_3,2,6,0.41,0.59,Non-Solver,N/A
10,NJ_3,2,4,0.38,0.62,Non-Solver,N/A
18,NJ_3,2,2,0.46,0.54,Non-Solver,N/A
20,NJ_3,1,4,0.58,0.42,Solver,N/A
23,NJ_3,1,2,0.51,0.49,Solver,N/A
25,NJ_3,1,6,0.54,0.46,Solver,N/A
26,NJ_3,1,2,0.5,0.5,Solver,N/A
37,NJ_3,1,6,0.76,0.24,Solver,N/A
44,NJ_3,1,2,0.6,0.4,Solver,N/A
46,NJ_3,1,6,0.6,0.4,Solver,N/A
50,NJ_3,1,6,0.62,0.38,Solver,N/A
66,NJ_3,1,4,0.25,0.75,Solver,N/A
73,NJ_3,1,2,0.52,0.48,Solver,N/A
75,NJ_3,2,8,0.37,0.63,Non-Solver,N/A
77,NJ_3,1,6,0.54,0.46,Solver,N/A
90,NJ_3,1,2,0.5,0.5,Solver,N/A
93,NJ_3,1,2,0.51,0.49,Solver,N/A
94,NJ_3,1,2,0.39,0.61,Solver,N/A
95,NJ_3,1,6,0.6,0.4,Solver,N/A
100,NJ_3,2,2,0.49,0.51,Non-Solver,N/A
103,NJ_3,2,4,0.39,0.61,Non-Solver,N/A
105,NJ_3,2,6,0.45,0.55,Non-Solver,N/A
106,NJ_3,1,6,0.55,0.45,Solver,N/A
108,NJ_3,1,6,0.7,0.3,Solver,N/A
121,NJ_3,1,8,0.8,0.2,Solver,N/A
122,NJ_3,1,4,0.7,0.3,Solver,N/A
123,NJ_3,1,4,0.54,0.46,Solver,N/A
126,NJ_3,1,8,0.67,0.33,Solver,N/A
129,NJ_3,1,2,0.41,0.59,Solver,N/A
130,NJ_3,1,6,0.54,0.46,Solver,N/A
132,NJ_3,2,4,0.75,0.25,Non-Solver,N/A
133,NJ_3,1,4,0.64,0.36,Solver,N/A
137,NJ_3,1,4,0.64,0.36,Solver,N/A
141,NJ_3,2,6,0.31,0.69,Non-Solver,N/A
150,NJ_3,1,2,0.51,0.49,Solver,N/A
156,NJ_3,2,8,0.27,0.73,Non-Solver,N/A
163,NJ_3,2,8,0.23,0.77,Non-Solver,N/A
165,NJ_3,2,2,0.49,0.51,Non-Solver,N/A
171,NJ_3,2,2,0.61,0.39,Non-Solver,N/A
184,NJ_3,2,6,0.49,0.51,Non-Solver,N/A
189,NJ_3,2,6,0.5,0.5,Non-Solver,N/A
201,NJ_3,1,10,0.94,0.0600000000000001,Solver,N/A
209,NJ_3,2,6,0.36,0.64,Non-Solver,N/A
213,NJ_3,1,4,0.11,0.89,Solver,N/A
219,NJ_3,2,2,0.5,0.5,Non-Solver,N/A
220,NJ_3,1,4,0.55,0.45,Solver,N/A
230,NJ_3,1,6,0.59,0.41,Solver,N/A
232,NJ_3,1,2,0.51,0.49,Solver,N/A
233,NJ_3,2,10,0.23,0.77,Non-Solver,N/A
236,NJ_3,2,2,0.57,0.43,Non-Solver,N/A
237,NJ_3,1,6,0.67,0.33,Solver,N/A
245,NJ_3,1,8,0.7,0.3,Solver,N/A
247,NJ_3,2,2,0.56,0.44,Non-Solver,N/A
250,NJ_3,2,6,0.1,0.9,Non-Solver,N/A
257,NJ_3,1,2,0.5,0.5,Solver,N/A
260,NJ_3,1,10,0.75,0.25,Solver,N/A
272,NJ_3,2,6,0.13,0.87,Non-Solver,N/A
273,NJ_3,1,4,0.42,0.58,Solver,N/A
280,NJ_3,1,6,0.71,0.29,Solver,N/A
286,NJ_3,1,4,0.53,0.47,Solver,N/A
287,NJ_3,1,4,0.55,0.45,Solver,N/A
291,NJ_3,1,2,0.51,0.49,Solver,N/A
292,NJ_3,2,6,0.18,0.82,Non-Solver,N/A
295,NJ_3,1,2,0.5,0.5,Solver,N/A
304,NJ_3,1,8,0.27,0.73,Solver,N/A
