Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,NJ_sen,1,6,0.64,0.36,Solver,N/A
4,NJ_sen,1,6,0.61,0.39,Solver,N/A
9,NJ_sen,1,2,0.51,0.49,Solver,N/A
15,NJ_sen,2,6,0.27,0.73,Non-Solver,N/A
23,NJ_sen,1,2,0.51,0.49,Solver,N/A
24,NJ_sen,1,2,0.5,0.5,Solver,N/A
27,NJ_sen,1,6,0.76,0.24,Solver,N/A
29,NJ_sen,2,8,0.16,0.84,Non-Solver,N/A
32,NJ_sen,1,8,0.82,0.18,Solver,N/A
36,NJ_sen,1,8,0.82,0.18,Solver,N/A
37,NJ_sen,1,6,0.77,0.23,Solver,N/A
40,NJ_sen,1,4,0.62,0.38,Solver,N/A
55,NJ_sen,2,6,0.38,0.62,Non-Solver,N/A
59,NJ_sen,2,2,0.7,0.3,Non-Solver,N/A
69,NJ_sen,1,4,0.8,0.2,Solver,N/A
70,NJ_sen,2,2,0.65,0.35,Non-Solver,N/A
71,NJ_sen,1,6,0.72,0.28,Solver,N/A
79,NJ_sen,1,2,0.51,0.49,Solver,N/A
83,NJ_sen,2,8,0.27,0.73,Non-Solver,N/A
84,NJ_sen,1,8,0.71,0.29,Solver,N/A
87,NJ_sen,1,8,0.8,0.2,Solver,N/A
88,NJ_sen,2,8,0.23,0.77,Non-Solver,N/A
103,NJ_sen,1,4,0.57,0.43,Solver,N/A
104,NJ_sen,2,4,0.46,0.54,Non-Solver,N/A
109,NJ_sen,1,4,0.58,0.42,Solver,N/A
111,NJ_sen,1,6,0.61,0.39,Solver,N/A
122,NJ_sen,1,2,0.5,0.5,Solver,N/A
128,NJ_sen,1,4,0.28,0.72,Solver,N/A
129,NJ_sen,2,4,0.63,0.37,Non-Solver,N/A
136,NJ_sen,1,4,0.77,0.23,Solver,N/A
140,NJ_sen,1,6,0.62,0.38,Solver,N/A
147,NJ_sen,1,4,0.27,0.73,Solver,N/A
149,NJ_sen,2,6,0.09,0.91,Non-Solver,N/A
155,NJ_sen,1,6,0.57,0.43,Solver,N/A
157,NJ_sen,1,8,0.85,0.15,Solver,N/A
165,NJ_sen,1,2,0.51,0.49,Solver,N/A
167,NJ_sen,1,8,0.7,0.3,Solver,N/A
173,NJ_sen,1,2,0.5,0.5,Solver,N/A
176,NJ_sen,1,6,0.58,0.42,Solver,N/A
177,NJ_sen,2,6,0.21,0.79,Non-Solver,N/A
186,NJ_sen,2,4,0.42,0.58,Non-Solver,N/A
197,NJ_sen,1,8,0.79,0.21,Solver,N/A
200,NJ_sen,2,2,0.49,0.51,Non-Solver,N/A
201,NJ_sen,1,10,0.88,0.12,Solver,N/A
207,NJ_sen,1,8,0.72,0.28,Solver,N/A
209,NJ_sen,2,4,0.47,0.53,Non-Solver,N/A
215,NJ_sen,2,2,0.49,0.51,Non-Solver,N/A
217,NJ_sen,1,6,0.72,0.28,Solver,N/A
218,NJ_sen,2,8,0.33,0.67,Non-Solver,N/A
223,NJ_sen,1,6,0.65,0.35,Solver,N/A
228,NJ_sen,2,6,0.45,0.55,Non-Solver,N/A
232,NJ_sen,1,4,0.35,0.65,Solver,N/A
234,NJ_sen,1,6,0.6,0.4,Solver,N/A
237,NJ_sen,1,4,0.43,0.57,Solver,N/A
238,NJ_sen,1,8,0.75,0.25,Solver,N/A
240,NJ_sen,2,4,0.62,0.38,Non-Solver,N/A
246,NJ_sen,1,4,0.56,0.44,Solver,N/A
257,NJ_sen,2,4,0.61,0.39,Non-Solver,N/A
268,NJ_sen,1,8,0.88,0.12,Solver,N/A
270,NJ_sen,1,10,1.0,0.0,Solver,N/A
282,NJ_sen,2,8,0.4,0.6,Non-Solver,N/A
284,NJ_sen,2,4,0.36,0.64,Non-Solver,N/A
288,NJ_sen,2,6,0.35,0.65,Non-Solver,N/A
292,NJ_sen,2,2,0.36,0.64,Non-Solver,N/A
293,NJ_sen,1,6,0.73,0.27,Solver,N/A
299,NJ_sen,1,6,0.6,0.4,Solver,N/A
302,NJ_sen,2,6,0.49,0.51,Non-Solver,N/A
306,NJ_sen,1,2,0.48,0.52,Solver,N/A
309,NJ_sen,2,4,0.63,0.37,Non-Solver,N/A
