Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
10,NM_2,1,4,0.8,0.2,Solver,N/A
12,NM_2,1,2,0.25,0.75,Solver,N/A
14,NM_2,2,8,0.31,0.69,Non-Solver,N/A
16,NM_2,1,6,0.67,0.33,Solver,N/A
31,NM_2,1,6,0.5,0.5,Solver,N/A
33,NM_2,2,8,0.25,0.75,Non-Solver,N/A
36,NM_2,1,6,0.67,0.33,Solver,N/A
37,NM_2,1,6,0.7,0.3,Solver,N/A
45,NM_2,1,6,0.8,0.2,Solver,N/A
48,NM_2,1,6,0.7,0.3,Solver,N/A
50,NM_2,2,6,0.4,0.6,Non-Solver,N/A
51,NM_2,1,6,0.33,0.67,Solver,N/A
53,NM_2,1,8,0.58,0.42,Solver,N/A
56,NM_2,1,6,0.45,0.55,Solver,N/A
65,NM_2,2,2,0.49,0.51,Non-Solver,N/A
71,NM_2,2,4,0.37,0.63,Non-Solver,N/A
77,NM_2,2,4,0.67,0.33,Non-Solver,N/A
92,NM_2,2,6,0.36,0.64,Non-Solver,N/A
100,NM_2,2,4,0.43,0.57,Non-Solver,N/A
103,NM_2,2,4,0.64,0.36,Non-Solver,N/A
105,NM_2,2,4,0.55,0.45,Non-Solver,N/A
108,NM_2,1,6,0.78,0.22,Solver,N/A
114,NM_2,2,6,0.24,0.76,Non-Solver,N/A
120,NM_2,2,6,0.28,0.72,Non-Solver,N/A
124,NM_2,2,6,0.49,0.51,Non-Solver,N/A
134,NM_2,2,4,0.43,0.57,Non-Solver,N/A
135,NM_2,1,10,0.94,0.0600000000000001,Solver,N/A
136,NM_2,2,6,0.29,0.71,Non-Solver,N/A
139,NM_2,1,2,0.4,0.6,Solver,N/A
143,NM_2,1,2,0.41,0.59,Solver,N/A
144,NM_2,2,6,0.38,0.62,Non-Solver,N/A
149,NM_2,1,2,0.3,0.7,Solver,N/A
152,NM_2,1,8,0.79,0.21,Solver,N/A
170,NM_2,1,4,0.58,0.42,Solver,N/A
173,NM_2,2,2,0.4,0.6,Non-Solver,N/A
175,NM_2,1,2,0.53,0.47,Solver,N/A
182,NM_2,1,8,0.67,0.33,Solver,N/A
183,NM_2,1,4,0.36,0.64,Solver,N/A
184,NM_2,2,6,0.48,0.52,Non-Solver,N/A
188,NM_2,1,2,0.5,0.5,Solver,N/A
189,NM_2,2,6,0.3,0.7,Non-Solver,N/A
194,NM_2,1,10,0.66,0.34,Solver,N/A
198,NM_2,1,2,0.73,0.27,Solver,N/A
203,NM_2,1,10,0.93,0.07,Solver,N/A
208,NM_2,1,2,0.51,0.49,Solver,N/A
210,NM_2,1,6,0.71,0.29,Solver,N/A
213,NM_2,2,2,0.9,0.1,Non-Solver,N/A
220,NM_2,1,4,0.55,0.45,Solver,N/A
224,NM_2,2,2,0.43,0.57,Non-Solver,N/A
230,NM_2,1,8,0.85,0.15,Solver,N/A
232,NM_2,1,2,0.51,0.49,Solver,N/A
246,NM_2,2,2,0.44,0.56,Non-Solver,N/A
247,NM_2,2,2,0.57,0.43,Non-Solver,N/A
248,NM_2,2,6,0.49,0.51,Non-Solver,N/A
257,NM_2,1,2,0.5,0.5,Solver,N/A
258,NM_2,2,4,0.49,0.51,Non-Solver,N/A
260,NM_2,2,8,0.25,0.75,Non-Solver,N/A
262,NM_2,2,8,0.14,0.86,Non-Solver,N/A
266,NM_2,1,6,0.62,0.38,Solver,N/A
267,NM_2,2,6,0.34,0.66,Non-Solver,N/A
268,NM_2,1,8,0.86,0.14,Solver,N/A
272,NM_2,1,6,0.78,0.22,Solver,N/A
276,NM_2,1,6,0.4,0.6,Solver,N/A
277,NM_2,2,8,0.24,0.76,Non-Solver,N/A
283,NM_2,1,10,0.68,0.32,Solver,N/A
289,NM_2,1,8,0.65,0.35,Solver,N/A
292,NM_2,2,2,0.27,0.73,Non-Solver,N/A
303,NM_2,2,6,0.54,0.46,Non-Solver,N/A
307,NM_2,1,6,0.52,0.48,Solver,N/A
