Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
5,NM_gub,2,6,0.43,0.57,Non-Solver,N/A
10,NM_gub,2,6,0.71,0.29,Non-Solver,N/A
20,NM_gub,1,2,0.34,0.66,Solver,N/A
26,NM_gub,2,2,0.5,0.5,Non-Solver,N/A
30,NM_gub,1,2,0.55,0.45,Solver,N/A
32,NM_gub,2,6,0.53,0.47,Non-Solver,N/A
36,NM_gub,1,6,0.61,0.39,Solver,N/A
38,NM_gub,2,8,0.74,0.26,Non-Solver,N/A
44,NM_gub,2,2,0.5,0.5,Non-Solver,N/A
47,NM_gub,2,6,0.46,0.54,Non-Solver,N/A
56,NM_gub,1,6,0.61,0.39,Solver,N/A
60,NM_gub,1,8,0.87,0.13,Solver,N/A
66,NM_gub,1,4,0.5,0.5,Solver,N/A
70,NM_gub,2,6,0.46,0.54,Non-Solver,N/A
71,NM_gub,2,4,0.4,0.6,Non-Solver,N/A
74,NM_gub,2,2,0.42,0.58,Non-Solver,N/A
80,NM_gub,2,2,0.5,0.5,Non-Solver,N/A
87,NM_gub,2,6,0.2,0.8,Non-Solver,N/A
90,NM_gub,1,4,0.5,0.5,Solver,N/A
92,NM_gub,2,2,0.5,0.5,Non-Solver,N/A
94,NM_gub,1,2,0.35,0.65,Solver,N/A
103,NM_gub,2,4,0.26,0.74,Non-Solver,N/A
110,NM_gub,2,2,0.49,0.51,Non-Solver,N/A
112,NM_gub,1,2,0.59,0.41,Solver,N/A
119,NM_gub,2,6,0.42,0.58,Non-Solver,N/A
128,NM_gub,1,10,0.92,0.08,Solver,N/A
129,NM_gub,2,8,0.18,0.82,Non-Solver,N/A
132,NM_gub,2,4,0.59,0.41,Non-Solver,N/A
137,NM_gub,2,4,0.44,0.56,Non-Solver,N/A
148,NM_gub,1,4,0.6,0.4,Solver,N/A
153,NM_gub,1,6,0.71,0.29,Solver,N/A
155,NM_gub,2,2,0.52,0.48,Non-Solver,N/A
167,NM_gub,2,2,0.55,0.45,Non-Solver,N/A
168,NM_gub,2,2,0.41,0.59,Non-Solver,N/A
176,NM_gub,2,6,0.25,0.75,Non-Solver,N/A
181,NM_gub,2,8,0.36,0.64,Non-Solver,N/A
182,NM_gub,1,8,0.76,0.24,Solver,N/A
184,NM_gub,2,6,0.35,0.65,Non-Solver,N/A
190,NM_gub,1,8,0.54,0.46,Solver,N/A
191,NM_gub,1,4,0.48,0.52,Solver,N/A
198,NM_gub,2,2,0.48,0.52,Non-Solver,N/A
202,NM_gub,2,6,0.36,0.64,Non-Solver,N/A
207,NM_gub,2,4,0.59,0.41,Non-Solver,N/A
209,NM_gub,2,6,0.38,0.62,Non-Solver,N/A
212,NM_gub,1,6,0.73,0.27,Solver,N/A
214,NM_gub,1,2,0.4,0.6,Solver,N/A
218,NM_gub,2,8,0.26,0.74,Non-Solver,N/A
220,NM_gub,1,4,0.55,0.45,Solver,N/A
221,NM_gub,2,8,0.05,0.95,Non-Solver,N/A
222,NM_gub,1,4,0.31,0.69,Solver,N/A
223,NM_gub,1,4,0.61,0.39,Solver,N/A
226,NM_gub,1,6,0.6,0.4,Solver,N/A
228,NM_gub,2,8,0.37,0.63,Non-Solver,N/A
242,NM_gub,2,6,0.36,0.64,Non-Solver,N/A
244,NM_gub,2,10,0.24,0.76,Non-Solver,N/A
249,NM_gub,2,2,0.68,0.32,Non-Solver,N/A
251,NM_gub,1,2,0.51,0.49,Solver,N/A
252,NM_gub,1,10,0.71,0.29,Solver,N/A
260,NM_gub,2,8,0.25,0.75,Non-Solver,N/A
261,NM_gub,1,6,0.74,0.26,Solver,N/A
265,NM_gub,2,2,0.72,0.28,Non-Solver,N/A
275,NM_gub,1,8,0.8,0.2,Solver,N/A
284,NM_gub,2,10,0.0,1.0,Non-Solver,N/A
286,NM_gub,1,4,0.69,0.31,Solver,N/A
290,NM_gub,2,6,0.44,0.56,Non-Solver,N/A
300,NM_gub,1,6,0.38,0.62,Solver,N/A
301,NM_gub,1,4,0.69,0.31,Solver,N/A
302,NM_gub,1,8,0.57,0.43,Solver,N/A
303,NM_gub,2,6,0.5,0.5,Non-Solver,N/A
306,NM_gub,1,2,0.51,0.49,Solver,N/A
