Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
4,NM_sen,1,8,0.79,0.21,Solver,N/A
13,NM_sen,1,6,0.5,0.5,Solver,N/A
19,NM_sen,1,4,0.59,0.41,Solver,N/A
21,NM_sen,1,6,0.5,0.5,Solver,N/A
25,NM_sen,1,6,0.55,0.45,Solver,N/A
30,NM_sen,1,4,0.4,0.6,Solver,N/A
40,NM_sen,2,8,0.23,0.77,Non-Solver,N/A
44,NM_sen,2,2,0.5,0.5,Non-Solver,N/A
46,NM_sen,2,6,0.47,0.53,Non-Solver,N/A
49,NM_sen,1,4,0.5,0.5,Solver,N/A
55,NM_sen,1,6,0.7,0.3,Solver,N/A
56,NM_sen,1,6,0.56,0.44,Solver,N/A
69,NM_sen,2,4,0.51,0.49,Non-Solver,N/A
70,NM_sen,2,2,0.75,0.25,Non-Solver,N/A
76,NM_sen,1,4,0.36,0.64,Solver,N/A
83,NM_sen,2,8,0.35,0.65,Non-Solver,N/A
86,NM_sen,1,4,0.4,0.6,Solver,N/A
88,NM_sen,2,10,0.29,0.71,Non-Solver,N/A
91,NM_sen,1,2,0.5,0.5,Solver,N/A
98,NM_sen,2,2,0.33,0.67,Non-Solver,N/A
106,NM_sen,1,6,0.5,0.5,Solver,N/A
111,NM_sen,2,2,0.37,0.63,Non-Solver,N/A
115,NM_sen,2,6,0.32,0.68,Non-Solver,N/A
121,NM_sen,2,6,0.4,0.6,Non-Solver,N/A
124,NM_sen,1,6,0.5,0.5,Solver,N/A
125,NM_sen,2,6,0.42,0.58,Non-Solver,N/A
128,NM_sen,1,6,0.78,0.22,Solver,N/A
136,NM_sen,2,2,0.68,0.32,Non-Solver,N/A
141,NM_sen,1,6,0.56,0.44,Solver,N/A
152,NM_sen,2,4,0.35,0.65,Non-Solver,N/A
161,NM_sen,1,4,0.44,0.56,Solver,N/A
163,NM_sen,2,4,0.18,0.82,Non-Solver,N/A
167,NM_sen,2,6,0.4,0.6,Non-Solver,N/A
170,NM_sen,1,2,0.65,0.35,Solver,N/A
172,NM_sen,2,6,0.38,0.62,Non-Solver,N/A
184,NM_sen,2,6,0.47,0.53,Non-Solver,N/A
186,NM_sen,1,2,0.6,0.4,Solver,N/A
188,NM_sen,2,2,0.49,0.51,Non-Solver,N/A
190,NM_sen,1,10,0.78,0.22,Solver,N/A
206,NM_sen,1,8,0.93,0.07,Solver,N/A
213,NM_sen,2,6,0.71,0.29,Non-Solver,N/A
216,NM_sen,1,6,0.6,0.4,Solver,N/A
220,NM_sen,1,4,0.55,0.45,Solver,N/A
222,NM_sen,1,6,0.51,0.49,Solver,N/A
223,NM_sen,1,4,0.48,0.52,Solver,N/A
228,NM_sen,2,6,0.54,0.46,Non-Solver,N/A
231,NM_sen,1,6,0.63,0.37,Solver,N/A
233,NM_sen,2,2,0.68,0.32,Non-Solver,N/A
239,NM_sen,2,4,0.42,0.58,Non-Solver,N/A
246,NM_sen,1,4,0.65,0.35,Solver,N/A
253,NM_sen,2,8,0.14,0.86,Non-Solver,N/A
256,NM_sen,1,2,0.6,0.4,Solver,N/A
259,NM_sen,1,2,0.8,0.2,Solver,N/A
263,NM_sen,1,6,0.66,0.34,Solver,N/A
274,NM_sen,2,6,0.49,0.51,Non-Solver,N/A
275,NM_sen,1,8,0.7,0.3,Solver,N/A
276,NM_sen,1,6,0.3,0.7,Solver,N/A
279,NM_sen,1,8,0.89,0.11,Solver,N/A
287,NM_sen,1,2,0.22,0.78,Solver,N/A
302,NM_sen,1,6,0.58,0.42,Solver,N/A
303,NM_sen,2,6,0.5,0.5,Non-Solver,N/A
307,NM_sen,1,6,0.53,0.47,Solver,N/A
