Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,NV_3,2,6,0.39,0.61,Non-Solver,N/A
6,NV_3,1,6,0.72,0.28,Solver,N/A
8,NV_3,2,2,0.68,0.32,Non-Solver,N/A
9,NV_3,2,2,0.49,0.51,Non-Solver,N/A
13,NV_3,1,4,0.28,0.72,Solver,N/A
33,NV_3,2,4,0.28,0.72,Non-Solver,N/A
40,NV_3,2,6,0.42,0.58,Non-Solver,N/A
41,NV_3,2,2,0.65,0.35,Non-Solver,N/A
43,NV_3,1,2,0.53,0.47,Solver,N/A
49,NV_3,1,4,0.7,0.3,Solver,N/A
50,NV_3,1,8,0.85,0.15,Solver,N/A
57,NV_3,1,6,0.65,0.35,Solver,N/A
64,NV_3,2,6,0.45,0.55,Non-Solver,N/A
69,NV_3,2,6,0.48,0.52,Non-Solver,N/A
72,NV_3,1,6,0.4,0.6,Solver,N/A
75,NV_3,2,8,0.3,0.7,Non-Solver,N/A
76,NV_3,1,4,0.51,0.49,Solver,N/A
79,NV_3,1,2,0.51,0.49,Solver,N/A
80,NV_3,1,4,0.5,0.5,Solver,N/A
86,NV_3,1,2,0.5,0.5,Solver,N/A
91,NV_3,2,2,0.5,0.5,Non-Solver,N/A
95,NV_3,1,6,0.6,0.4,Solver,N/A
99,NV_3,1,8,0.97,0.03,Solver,N/A
106,NV_3,1,4,0.45,0.55,Solver,N/A
110,NV_3,2,2,0.49,0.51,Non-Solver,N/A
113,NV_3,1,2,0.41,0.59,Solver,N/A
115,NV_3,1,6,0.63,0.37,Solver,N/A
116,NV_3,2,2,0.56,0.44,Non-Solver,N/A
119,NV_3,2,6,0.44,0.56,Non-Solver,N/A
122,NV_3,1,2,0.7,0.3,Solver,N/A
123,NV_3,2,8,0.3,0.7,Non-Solver,N/A
132,NV_3,1,4,0.36,0.64,Solver,N/A
134,NV_3,2,4,0.61,0.39,Non-Solver,N/A
137,NV_3,2,4,0.39,0.61,Non-Solver,N/A
143,NV_3,2,2,0.6,0.4,Non-Solver,N/A
149,NV_3,2,6,0.39,0.61,Non-Solver,N/A
150,NV_3,1,2,0.4,0.6,Solver,N/A
151,NV_3,2,6,0.5,0.5,Non-Solver,N/A
157,NV_3,1,4,0.41,0.59,Solver,N/A
163,NV_3,2,8,0.25,0.75,Non-Solver,N/A
164,NV_3,1,2,0.41,0.59,Solver,N/A
169,NV_3,1,4,0.39,0.61,Solver,N/A
171,NV_3,1,4,0.62,0.38,Solver,N/A
191,NV_3,2,2,0.49,0.51,Non-Solver,N/A
193,NV_3,1,4,0.31,0.69,Solver,N/A
195,NV_3,1,4,0.82,0.18,Solver,N/A
201,NV_3,1,10,1.0,0.0,Solver,N/A
224,NV_3,2,4,0.45,0.55,Non-Solver,N/A
225,NV_3,1,2,0.35,0.65,Solver,N/A
226,NV_3,1,6,0.55,0.45,Solver,N/A
232,NV_3,2,4,0.58,0.42,Non-Solver,N/A
236,NV_3,1,6,0.61,0.39,Solver,N/A
238,NV_3,1,2,0.5,0.5,Solver,N/A
244,NV_3,1,10,0.87,0.13,Solver,N/A
251,NV_3,1,6,0.51,0.49,Solver,N/A
253,NV_3,1,6,0.62,0.38,Solver,N/A
260,NV_3,1,6,0.55,0.45,Solver,N/A
262,NV_3,2,6,0.51,0.49,Non-Solver,N/A
264,NV_3,1,4,0.56,0.44,Solver,N/A
265,NV_3,2,2,0.66,0.34,Non-Solver,N/A
269,NV_3,1,2,0.31,0.69,Solver,N/A
278,NV_3,1,4,0.43,0.57,Solver,N/A
285,NV_3,2,4,0.49,0.51,Non-Solver,N/A
288,NV_3,2,8,0.35,0.65,Non-Solver,N/A
289,NV_3,1,2,0.34,0.66,Solver,N/A
290,NV_3,1,4,0.55,0.45,Solver,N/A
297,NV_3,2,10,0.07,0.93,Non-Solver,N/A
298,NV_3,2,6,0.39,0.61,Non-Solver,N/A
307,NV_3,1,6,0.53,0.47,Solver,N/A
