Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
6,NV_gub,1,4,0.77,0.23,Solver,N/A
12,NV_gub,1,8,0.81,0.19,Solver,N/A
21,NV_gub,1,2,0.62,0.38,Solver,N/A
29,NV_gub,2,8,0.19,0.81,Non-Solver,N/A
33,NV_gub,2,6,0.49,0.51,Non-Solver,N/A
46,NV_gub,1,6,0.73,0.27,Solver,N/A
48,NV_gub,1,6,0.55,0.45,Solver,N/A
49,NV_gub,1,4,0.5,0.5,Solver,N/A
50,NV_gub,1,4,0.55,0.45,Solver,N/A
55,NV_gub,1,6,0.74,0.26,Solver,N/A
56,NV_gub,1,6,0.57,0.43,Solver,N/A
57,NV_gub,1,6,0.62,0.38,Solver,N/A
62,NV_gub,1,2,0.56,0.44,Solver,N/A
66,NV_gub,2,8,0.4,0.6,Non-Solver,N/A
67,NV_gub,2,2,0.63,0.37,Non-Solver,N/A
69,NV_gub,2,6,0.47,0.53,Non-Solver,N/A
86,NV_gub,1,2,0.5,0.5,Solver,N/A
91,NV_gub,1,2,0.5,0.5,Solver,N/A
94,NV_gub,2,8,0.09,0.91,Non-Solver,N/A
96,NV_gub,1,2,0.52,0.48,Solver,N/A
97,NV_gub,1,8,0.84,0.16,Solver,N/A
98,NV_gub,2,2,0.49,0.51,Non-Solver,N/A
102,NV_gub,1,4,0.45,0.55,Solver,N/A
104,NV_gub,1,4,0.67,0.33,Solver,N/A
106,NV_gub,1,2,0.5,0.5,Solver,N/A
109,NV_gub,1,2,0.38,0.62,Solver,N/A
111,NV_gub,2,6,0.33,0.67,Non-Solver,N/A
113,NV_gub,1,2,0.47,0.53,Solver,N/A
115,NV_gub,1,6,0.55,0.45,Solver,N/A
127,NV_gub,1,8,0.8,0.2,Solver,N/A
133,NV_gub,1,6,0.78,0.22,Solver,N/A
135,NV_gub,1,6,0.93,0.07,Solver,N/A
136,NV_gub,2,2,0.16,0.84,Non-Solver,N/A
146,NV_gub,2,6,0.39,0.61,Non-Solver,N/A
151,NV_gub,2,4,0.5,0.5,Non-Solver,N/A
156,NV_gub,2,6,0.34,0.66,Non-Solver,N/A
157,NV_gub,1,4,0.63,0.37,Solver,N/A
172,NV_gub,2,6,0.32,0.68,Non-Solver,N/A
173,NV_gub,2,2,0.5,0.5,Non-Solver,N/A
176,NV_gub,1,6,0.7,0.3,Solver,N/A
178,NV_gub,2,2,0.5,0.5,Non-Solver,N/A
183,NV_gub,2,4,0.89,0.11,Non-Solver,N/A
190,NV_gub,1,2,0.5,0.5,Solver,N/A
196,NV_gub,1,6,0.6,0.4,Solver,N/A
202,NV_gub,1,8,0.72,0.28,Solver,N/A
203,NV_gub,1,10,0.83,0.17,Solver,N/A
205,NV_gub,2,6,0.57,0.43,Non-Solver,N/A
212,NV_gub,1,6,0.51,0.49,Solver,N/A
225,NV_gub,1,2,0.4,0.6,Solver,N/A
227,NV_gub,1,2,0.49,0.51,Solver,N/A
228,NV_gub,2,4,0.47,0.53,Non-Solver,N/A
230,NV_gub,1,8,0.71,0.29,Solver,N/A
235,NV_gub,2,2,0.4,0.6,Non-Solver,N/A
241,NV_gub,2,6,0.32,0.68,Non-Solver,N/A
245,NV_gub,1,6,0.6,0.4,Solver,N/A
246,NV_gub,1,2,0.52,0.48,Solver,N/A
255,NV_gub,1,4,0.4,0.6,Solver,N/A
256,NV_gub,1,2,0.77,0.23,Solver,N/A
263,NV_gub,2,2,0.49,0.51,Non-Solver,N/A
269,NV_gub,2,6,0.27,0.73,Non-Solver,N/A
273,NV_gub,1,4,0.57,0.43,Solver,N/A
274,NV_gub,2,8,0.19,0.81,Non-Solver,N/A
276,NV_gub,1,6,0.7,0.3,Solver,N/A
280,NV_gub,2,6,0.45,0.55,Non-Solver,N/A
287,NV_gub,2,4,0.59,0.41,Non-Solver,N/A
291,NV_gub,1,2,0.51,0.49,Solver,N/A
295,NV_gub,2,2,0.47,0.53,Non-Solver,N/A
305,NV_gub,2,2,0.62,0.38,Non-Solver,N/A
307,NV_gub,1,6,0.52,0.48,Solver,N/A
