Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,NV_sen,2,8,0.27,0.73,Non-Solver,N/A
3,NV_sen,1,6,0.39,0.61,Solver,N/A
8,NV_sen,2,8,0.3,0.7,Non-Solver,N/A
20,NV_sen,1,2,0.34,0.66,Solver,N/A
26,NV_sen,1,6,0.53,0.47,Solver,N/A
31,NV_sen,2,6,0.3,0.7,Non-Solver,N/A
35,NV_sen,2,4,0.26,0.74,Non-Solver,N/A
43,NV_sen,1,2,0.53,0.47,Solver,N/A
44,NV_sen,1,6,0.54,0.46,Solver,N/A
45,NV_sen,1,8,0.85,0.15,Solver,N/A
47,NV_sen,2,8,0.29,0.71,Non-Solver,N/A
49,NV_sen,1,4,0.6,0.4,Solver,N/A
51,NV_sen,2,6,0.3,0.7,Non-Solver,N/A
63,NV_sen,2,8,0.15,0.85,Non-Solver,N/A
65,NV_sen,2,8,0.07,0.93,Non-Solver,N/A
66,NV_sen,2,6,0.45,0.55,Non-Solver,N/A
73,NV_sen,2,4,0.55,0.45,Non-Solver,N/A
74,NV_sen,2,4,0.53,0.47,Non-Solver,N/A
78,NV_sen,2,6,0.34,0.66,Non-Solver,N/A
79,NV_sen,1,2,0.51,0.49,Solver,N/A
80,NV_sen,1,4,0.55,0.45,Solver,N/A
81,NV_sen,2,8,0.3,0.7,Non-Solver,N/A
93,NV_sen,1,2,0.5,0.5,Solver,N/A
99,NV_sen,1,8,0.98,0.02,Solver,N/A
105,NV_sen,2,4,0.55,0.45,Non-Solver,N/A
108,NV_sen,2,6,0.32,0.68,Non-Solver,N/A
110,NV_sen,2,2,0.49,0.51,Non-Solver,N/A
112,NV_sen,1,2,0.51,0.49,Solver,N/A
116,NV_sen,2,4,0.39,0.61,Non-Solver,N/A
119,NV_sen,2,8,0.36,0.64,Non-Solver,N/A
130,NV_sen,1,6,0.56,0.44,Solver,N/A
134,NV_sen,2,4,0.64,0.36,Non-Solver,N/A
140,NV_sen,1,6,0.36,0.64,Solver,N/A
153,NV_sen,1,2,0.71,0.29,Solver,N/A
156,NV_sen,2,8,0.47,0.53,Non-Solver,N/A
171,NV_sen,2,4,0.3,0.7,Non-Solver,N/A
172,NV_sen,2,8,0.29,0.71,Non-Solver,N/A
177,NV_sen,2,6,0.23,0.77,Non-Solver,N/A
178,NV_sen,2,2,0.5,0.5,Non-Solver,N/A
180,NV_sen,1,6,0.57,0.43,Solver,N/A
191,NV_sen,1,6,0.51,0.49,Solver,N/A
194,NV_sen,1,6,0.53,0.47,Solver,N/A
196,NV_sen,1,6,0.54,0.46,Solver,N/A
198,NV_sen,1,4,0.72,0.28,Solver,N/A
203,NV_sen,1,10,0.87,0.13,Solver,N/A
214,NV_sen,2,2,0.5,0.5,Non-Solver,N/A
219,NV_sen,2,2,0.36,0.64,Non-Solver,N/A
224,NV_sen,2,4,0.44,0.56,Non-Solver,N/A
226,NV_sen,1,4,0.35,0.65,Solver,N/A
232,NV_sen,2,6,0.47,0.53,Non-Solver,N/A
237,NV_sen,1,4,0.32,0.68,Solver,N/A
247,NV_sen,2,2,0.3,0.7,Non-Solver,N/A
248,NV_sen,2,6,0.3,0.7,Non-Solver,N/A
250,NV_sen,2,10,0.09,0.91,Non-Solver,N/A
252,NV_sen,1,6,0.81,0.19,Solver,N/A
262,NV_sen,2,6,0.43,0.57,Non-Solver,N/A
263,NV_sen,2,6,0.4,0.6,Non-Solver,N/A
269,NV_sen,2,4,0.43,0.57,Non-Solver,N/A
270,NV_sen,1,4,0.56,0.44,Solver,N/A
273,NV_sen,1,6,0.61,0.39,Solver,N/A
280,NV_sen,2,8,0.35,0.65,Non-Solver,N/A
287,NV_sen,2,6,0.47,0.53,Non-Solver,N/A
289,NV_sen,1,2,0.71,0.29,Solver,N/A
295,NV_sen,2,2,0.51,0.49,Non-Solver,N/A
299,NV_sen,1,6,0.6,0.4,Solver,N/A
300,NV_sen,1,8,0.79,0.21,Solver,N/A
302,NV_sen,2,4,0.45,0.55,Non-Solver,N/A
307,NV_sen,1,6,0.53,0.47,Solver,N/A
