Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,NY_22,2,6,0.35,0.65,Non-Solver,N/A
3,NY_22,1,6,0.29,0.71,Solver,N/A
7,NY_22,2,6,0.2,0.8,Non-Solver,N/A
17,NY_22,2,6,0.22,0.78,Non-Solver,N/A
19,NY_22,1,6,0.41,0.59,Solver,N/A
27,NY_22,1,6,0.71,0.29,Solver,N/A
28,NY_22,1,2,0.75,0.25,Solver,N/A
40,NY_22,1,2,0.79,0.21,Solver,N/A
43,NY_22,1,8,0.87,0.13,Solver,N/A
49,NY_22,1,4,0.5,0.5,Solver,N/A
51,NY_22,1,6,0.4,0.6,Solver,N/A
59,NY_22,1,6,0.7,0.3,Solver,N/A
64,NY_22,1,4,0.54,0.46,Solver,N/A
66,NY_22,1,8,0.67,0.33,Solver,N/A
68,NY_22,1,6,0.71,0.29,Solver,N/A
69,NY_22,1,2,0.51,0.49,Solver,N/A
76,NY_22,1,8,0.89,0.11,Solver,N/A
80,NY_22,1,6,0.75,0.25,Solver,N/A
81,NY_22,1,8,0.84,0.16,Solver,N/A
83,NY_22,2,6,0.44,0.56,Non-Solver,N/A
84,NY_22,1,6,0.67,0.33,Solver,N/A
91,NY_22,1,2,0.5,0.5,Solver,N/A
96,NY_22,1,6,0.61,0.39,Solver,N/A
98,NY_22,1,2,0.8,0.2,Solver,N/A
101,NY_22,1,6,0.62,0.38,Solver,N/A
105,NY_22,1,6,0.6,0.4,Solver,N/A
119,NY_22,2,6,0.36,0.64,Non-Solver,N/A
120,NY_22,1,8,0.82,0.18,Solver,N/A
126,NY_22,1,6,0.38,0.62,Solver,N/A
131,NY_22,1,2,0.32,0.68,Solver,N/A
133,NY_22,1,8,0.74,0.26,Solver,N/A
138,NY_22,1,6,0.65,0.35,Solver,N/A
139,NY_22,1,4,0.41,0.59,Solver,N/A
152,NY_22,1,8,0.06,0.94,Solver,N/A
155,NY_22,1,6,0.55,0.45,Solver,N/A
166,NY_22,2,4,0.35,0.65,Non-Solver,N/A
169,NY_22,1,6,0.55,0.45,Solver,N/A
171,NY_22,1,4,0.34,0.66,Solver,N/A
180,NY_22,1,2,0.28,0.72,Solver,N/A
184,NY_22,2,6,0.49,0.51,Non-Solver,N/A
192,NY_22,1,2,0.5,0.5,Solver,N/A
194,NY_22,1,8,0.65,0.35,Solver,N/A
197,NY_22,1,8,0.71,0.29,Solver,N/A
201,NY_22,1,10,0.9,0.1,Solver,N/A
202,NY_22,1,10,0.78,0.22,Solver,N/A
203,NY_22,1,10,0.92,0.08,Solver,N/A
207,NY_22,1,8,0.78,0.22,Solver,N/A
210,NY_22,1,6,0.69,0.31,Solver,N/A
211,NY_22,1,6,0.86,0.14,Solver,N/A
226,NY_22,2,2,0.78,0.22,Non-Solver,N/A
232,NY_22,1,2,0.51,0.49,Solver,N/A
233,NY_22,1,10,0.37,0.63,Solver,N/A
238,NY_22,1,2,0.71,0.29,Solver,N/A
246,NY_22,1,4,0.54,0.46,Solver,N/A
253,NY_22,2,10,0.19,0.81,Non-Solver,N/A
258,NY_22,1,8,0.8,0.2,Solver,N/A
263,NY_22,1,6,0.65,0.35,Solver,N/A
266,NY_22,1,8,0.73,0.27,Solver,N/A
269,NY_22,1,2,0.76,0.24,Solver,N/A
270,NY_22,2,8,0.25,0.75,Non-Solver,N/A
271,NY_22,1,6,0.7,0.3,Solver,N/A
275,NY_22,1,6,0.6,0.4,Solver,N/A
285,NY_22,1,4,0.48,0.52,Solver,N/A
287,NY_22,1,4,0.47,0.53,Solver,N/A
295,NY_22,1,2,0.56,0.44,Solver,N/A
299,NY_22,1,6,0.71,0.29,Solver,N/A
308,NY_22,1,2,0.51,0.49,Solver,N/A
