Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
6,NY_gub,1,8,0.83,0.17,Solver,N/A
8,NY_gub,1,8,0.86,0.14,Solver,N/A
11,NY_gub,1,10,0.7,0.3,Solver,N/A
12,NY_gub,1,2,0.24,0.76,Solver,N/A
16,NY_gub,1,8,0.83,0.17,Solver,N/A
17,NY_gub,2,8,0.18,0.82,Non-Solver,N/A
28,NY_gub,2,2,0.69,0.31,Non-Solver,N/A
33,NY_gub,1,10,1.0,0.0,Solver,N/A
35,NY_gub,1,8,0.86,0.14,Solver,N/A
38,NY_gub,2,6,0.55,0.45,Non-Solver,N/A
43,NY_gub,1,10,0.85,0.15,Solver,N/A
46,NY_gub,1,6,0.75,0.25,Solver,N/A
49,NY_gub,1,8,0.79,0.21,Solver,N/A
57,NY_gub,1,6,0.76,0.24,Solver,N/A
62,NY_gub,1,2,0.51,0.49,Solver,N/A
65,NY_gub,1,8,0.92,0.08,Solver,N/A
69,NY_gub,1,10,0.93,0.07,Solver,N/A
76,NY_gub,1,8,0.8,0.2,Solver,N/A
78,NY_gub,1,8,0.6,0.4,Solver,N/A
79,NY_gub,1,8,0.93,0.07,Solver,N/A
80,NY_gub,1,6,0.7,0.3,Solver,N/A
91,NY_gub,1,10,1.0,0.0,Solver,N/A
98,NY_gub,1,8,0.9,0.1,Solver,N/A
101,NY_gub,1,6,0.71,0.29,Solver,N/A
105,NY_gub,1,10,0.8,0.2,Solver,N/A
106,NY_gub,1,6,0.55,0.45,Solver,N/A
109,NY_gub,1,6,0.76,0.24,Solver,N/A
113,NY_gub,1,2,0.57,0.43,Solver,N/A
118,NY_gub,1,10,0.97,0.03,Solver,N/A
119,NY_gub,2,6,0.44,0.56,Non-Solver,N/A
120,NY_gub,2,4,0.56,0.44,Non-Solver,N/A
131,NY_gub,1,6,0.64,0.36,Solver,N/A
136,NY_gub,1,6,0.51,0.49,Solver,N/A
137,NY_gub,1,4,0.71,0.29,Solver,N/A
138,NY_gub,1,8,0.62,0.38,Solver,N/A
139,NY_gub,1,4,0.54,0.46,Solver,N/A
143,NY_gub,1,10,1.0,0.0,Solver,N/A
146,NY_gub,1,8,0.74,0.26,Solver,N/A
150,NY_gub,1,6,0.71,0.29,Solver,N/A
155,NY_gub,1,8,0.77,0.23,Solver,N/A
163,NY_gub,1,10,1.0,0.0,Solver,N/A
164,NY_gub,1,8,0.91,0.09,Solver,N/A
167,NY_gub,1,8,0.8,0.2,Solver,N/A
168,NY_gub,1,10,0.91,0.09,Solver,N/A
172,NY_gub,1,8,0.85,0.15,Solver,N/A
179,NY_gub,1,2,0.61,0.39,Solver,N/A
183,NY_gub,1,6,0.62,0.38,Solver,N/A
186,NY_gub,1,10,0.72,0.28,Solver,N/A
188,NY_gub,1,2,0.5,0.5,Solver,N/A
195,NY_gub,1,10,0.99,0.01,Solver,N/A
201,NY_gub,1,10,1.0,0.0,Solver,N/A
210,NY_gub,1,6,0.68,0.32,Solver,N/A
214,NY_gub,2,2,0.65,0.35,Non-Solver,N/A
217,NY_gub,1,8,0.76,0.24,Solver,N/A
225,NY_gub,1,2,0.4,0.6,Solver,N/A
229,NY_gub,1,10,0.97,0.03,Solver,N/A
232,NY_gub,1,8,0.9,0.1,Solver,N/A
240,NY_gub,1,10,0.89,0.11,Solver,N/A
248,NY_gub,2,4,0.64,0.36,Non-Solver,N/A
249,NY_gub,1,8,0.85,0.15,Solver,N/A
252,NY_gub,2,6,0.2,0.8,Non-Solver,N/A
262,NY_gub,1,8,0.67,0.33,Solver,N/A
267,NY_gub,2,4,0.61,0.39,Non-Solver,N/A
273,NY_gub,1,8,0.81,0.19,Solver,N/A
277,NY_gub,2,8,0.28,0.72,Non-Solver,N/A
282,NY_gub,1,8,0.7,0.3,Solver,N/A
285,NY_gub,1,10,0.95,0.05,Solver,N/A
287,NY_gub,1,10,0.72,0.28,Solver,N/A
288,NY_gub,1,8,0.63,0.37,Solver,N/A
291,NY_gub,2,2,0.51,0.49,Non-Solver,N/A
295,NY_gub,1,8,0.92,0.08,Solver,N/A
304,NY_gub,1,8,0.71,0.29,Solver,N/A
