Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
11,NY_sen,1,10,0.98,0.02,Solver,N/A
13,NY_sen,1,10,1.0,0.0,Solver,N/A
17,NY_sen,2,6,0.31,0.69,Non-Solver,N/A
26,NY_sen,1,10,0.92,0.08,Solver,N/A
28,NY_sen,2,4,0.63,0.37,Non-Solver,N/A
30,NY_sen,1,10,0.94,0.0600000000000001,Solver,N/A
32,NY_sen,1,8,0.67,0.33,Solver,N/A
35,NY_sen,2,4,0.79,0.21,Non-Solver,N/A
37,NY_sen,1,8,0.88,0.12,Solver,N/A
44,NY_sen,1,8,0.62,0.38,Solver,N/A
45,NY_sen,1,8,0.95,0.05,Solver,N/A
46,NY_sen,1,8,0.64,0.36,Solver,N/A
49,NY_sen,1,6,0.75,0.25,Solver,N/A
50,NY_sen,1,10,0.99,0.01,Solver,N/A
63,NY_sen,1,8,0.52,0.48,Solver,N/A
73,NY_sen,1,6,0.75,0.25,Solver,N/A
75,NY_sen,1,6,0.61,0.39,Solver,N/A
77,NY_sen,1,8,0.85,0.15,Solver,N/A
92,NY_sen,1,8,0.81,0.19,Solver,N/A
93,NY_sen,1,2,0.51,0.49,Solver,N/A
100,NY_sen,1,8,0.82,0.18,Solver,N/A
101,NY_sen,1,6,0.65,0.35,Solver,N/A
105,NY_sen,1,8,0.75,0.25,Solver,N/A
110,NY_sen,2,2,0.49,0.51,Non-Solver,N/A
112,NY_sen,1,2,0.53,0.47,Solver,N/A
118,NY_sen,1,10,0.98,0.02,Solver,N/A
119,NY_sen,2,6,0.42,0.58,Non-Solver,N/A
121,NY_sen,1,8,0.82,0.18,Solver,N/A
126,NY_sen,1,6,0.76,0.24,Solver,N/A
128,NY_sen,1,8,0.83,0.17,Solver,N/A
129,NY_sen,1,6,0.75,0.25,Solver,N/A
130,NY_sen,1,8,0.69,0.31,Solver,N/A
132,NY_sen,1,6,0.61,0.39,Solver,N/A
139,NY_sen,1,6,0.53,0.47,Solver,N/A
142,NY_sen,1,8,0.8,0.2,Solver,N/A
145,NY_sen,2,2,0.3,0.7,Non-Solver,N/A
148,NY_sen,1,2,0.5,0.5,Solver,N/A
150,NY_sen,1,6,0.66,0.34,Solver,N/A
161,NY_sen,1,4,0.3,0.7,Solver,N/A
165,NY_sen,1,4,0.51,0.49,Solver,N/A
168,NY_sen,1,8,0.91,0.09,Solver,N/A
170,NY_sen,1,2,0.65,0.35,Solver,N/A
177,NY_sen,2,6,0.21,0.79,Non-Solver,N/A
178,NY_sen,2,2,0.5,0.5,Non-Solver,N/A
179,NY_sen,2,2,0.49,0.51,Non-Solver,N/A
184,NY_sen,2,6,0.49,0.51,Non-Solver,N/A
190,NY_sen,1,10,0.81,0.19,Solver,N/A
195,NY_sen,1,8,0.91,0.09,Solver,N/A
196,NY_sen,1,10,0.91,0.09,Solver,N/A
201,NY_sen,1,10,1.0,0.0,Solver,N/A
209,NY_sen,2,8,0.29,0.71,Non-Solver,N/A
212,NY_sen,1,8,0.81,0.19,Solver,N/A
224,NY_sen,1,2,0.54,0.46,Solver,N/A
227,NY_sen,1,2,0.49,0.51,Solver,N/A
230,NY_sen,1,10,0.86,0.14,Solver,N/A
236,NY_sen,1,10,1.0,0.0,Solver,N/A
239,NY_sen,1,8,0.86,0.14,Solver,N/A
248,NY_sen,2,4,0.79,0.21,Non-Solver,N/A
249,NY_sen,1,8,0.71,0.29,Solver,N/A
250,NY_sen,1,10,0.9,0.1,Solver,N/A
254,NY_sen,1,6,0.66,0.34,Solver,N/A
255,NY_sen,2,6,0.4,0.6,Non-Solver,N/A
258,NY_sen,1,6,0.6,0.4,Solver,N/A
274,NY_sen,1,10,0.98,0.02,Solver,N/A
277,NY_sen,2,8,0.15,0.85,Non-Solver,N/A
278,NY_sen,1,10,0.81,0.19,Solver,N/A
280,NY_sen,1,8,0.7,0.3,Solver,N/A
283,NY_sen,1,4,0.22,0.78,Solver,N/A
288,NY_sen,1,8,0.61,0.39,Solver,N/A
301,NY_sen,1,8,0.71,0.29,Solver,N/A
305,NY_sen,1,2,0.71,0.29,Solver,N/A
307,NY_sen,1,6,0.5,0.5,Solver,N/A
309,NY_sen,2,4,0.7,0.3,Non-Solver,N/A
