Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,OH_gub,2,8,0.31,0.69,Solver,N/A
8,OH_gub,2,6,0.56,0.44,Solver,N/A
9,OH_gub,1,2,0.51,0.49,Non-Solver,N/A
19,OH_gub,2,8,0.28,0.72,Solver,N/A
25,OH_gub,1,6,0.57,0.43,Non-Solver,N/A
27,OH_gub,1,4,0.52,0.48,Non-Solver,N/A
28,OH_gub,2,2,0.27,0.73,Solver,N/A
31,OH_gub,2,8,0.35,0.65,Solver,N/A
34,OH_gub,1,4,0.6,0.4,Non-Solver,N/A
40,OH_gub,2,4,0.45,0.55,Solver,N/A
42,OH_gub,1,6,0.6,0.4,Non-Solver,N/A
43,OH_gub,2,2,0.48,0.52,Solver,N/A
53,OH_gub,1,4,0.68,0.32,Non-Solver,N/A
55,OH_gub,2,4,0.69,0.31,Solver,N/A
58,OH_gub,1,10,1.0,0.0,Non-Solver,N/A
59,OH_gub,1,4,0.56,0.44,Non-Solver,N/A
81,OH_gub,2,6,0.19,0.81,Solver,N/A
84,OH_gub,1,4,0.26,0.74,Non-Solver,N/A
85,OH_gub,2,10,0.61,0.39,Solver,N/A
86,OH_gub,1,6,0.55,0.45,Non-Solver,N/A
93,OH_gub,2,4,0.5,0.5,Solver,N/A
101,OH_gub,2,6,0.44,0.56,Solver,N/A
102,OH_gub,1,4,0.55,0.45,Non-Solver,N/A
105,OH_gub,2,8,0.4,0.6,Solver,N/A
107,OH_gub,2,8,0.25,0.75,Solver,N/A
110,OH_gub,2,2,0.49,0.51,Solver,N/A
117,OH_gub,2,8,0.3,0.7,Solver,N/A
131,OH_gub,1,2,0.46,0.54,Non-Solver,N/A
132,OH_gub,1,8,0.76,0.24,Non-Solver,N/A
133,OH_gub,2,4,0.39,0.61,Solver,N/A
144,OH_gub,2,4,0.4,0.6,Solver,N/A
149,OH_gub,2,6,0.38,0.62,Solver,N/A
155,OH_gub,2,8,0.43,0.57,Solver,N/A
159,OH_gub,1,6,0.4,0.6,Non-Solver,N/A
161,OH_gub,1,4,0.3,0.7,Non-Solver,N/A
169,OH_gub,1,6,0.53,0.47,Non-Solver,N/A
177,OH_gub,2,6,0.22,0.78,Solver,N/A
178,OH_gub,2,2,0.5,0.5,Solver,N/A
180,OH_gub,1,6,0.53,0.47,Non-Solver,N/A
183,OH_gub,1,6,0.51,0.49,Non-Solver,N/A
189,OH_gub,2,6,0.4,0.6,Solver,N/A
194,OH_gub,2,6,0.43,0.57,Solver,N/A
200,OH_gub,1,2,0.51,0.49,Non-Solver,N/A
207,OH_gub,2,4,0.58,0.42,Solver,N/A
208,OH_gub,1,2,0.51,0.49,Non-Solver,N/A
213,OH_gub,2,4,0.89,0.11,Solver,N/A
219,OH_gub,2,6,0.45,0.55,Solver,N/A
221,OH_gub,2,8,0.1,0.9,Solver,N/A
224,OH_gub,2,6,0.45,0.55,Solver,N/A
225,OH_gub,1,2,0.35,0.65,Non-Solver,N/A
229,OH_gub,1,4,0.57,0.43,Non-Solver,N/A
232,OH_gub,2,2,0.4,0.6,Solver,N/A
238,OH_gub,2,4,0.37,0.63,Solver,N/A
239,OH_gub,2,4,0.44,0.56,Solver,N/A
245,OH_gub,2,6,0.4,0.6,Solver,N/A
246,OH_gub,2,2,0.44,0.56,Solver,N/A
248,OH_gub,2,6,0.35,0.65,Solver,N/A
251,OH_gub,1,2,0.61,0.39,Non-Solver,N/A
253,OH_gub,1,10,0.81,0.19,Non-Solver,N/A
255,OH_gub,1,4,0.4,0.6,Non-Solver,N/A
267,OH_gub,2,8,0.28,0.72,Solver,N/A
268,OH_gub,1,8,0.85,0.15,Non-Solver,N/A
271,OH_gub,2,4,0.35,0.65,Solver,N/A
277,OH_gub,2,8,0.11,0.89,Solver,N/A
283,OH_gub,1,6,0.88,0.12,Non-Solver,N/A
284,OH_gub,2,4,0.75,0.25,Solver,N/A
292,OH_gub,2,2,0.35,0.65,Solver,N/A
297,OH_gub,2,6,0.39,0.61,Solver,N/A
305,OH_gub,2,2,0.22,0.78,Solver,N/A
306,OH_gub,1,2,0.48,0.52,Non-Solver,N/A
309,OH_gub,2,6,0.52,0.48,Solver,N/A
