Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
9,OH_sen,1,2,0.51,0.49,Solver,N/A
11,OH_sen,1,4,0.74,0.26,Solver,N/A
13,OH_sen,1,6,0.51,0.49,Solver,N/A
18,OH_sen,1,2,0.6,0.4,Solver,N/A
24,OH_sen,1,2,0.4,0.6,Solver,N/A
26,OH_sen,1,4,0.5,0.5,Solver,N/A
30,OH_sen,1,8,0.8,0.2,Solver,N/A
41,OH_sen,1,2,0.6,0.4,Solver,N/A
42,OH_sen,1,4,0.31,0.69,Solver,N/A
43,OH_sen,2,2,0.49,0.51,Non-Solver,N/A
44,OH_sen,1,2,0.52,0.48,Solver,N/A
46,OH_sen,2,6,0.36,0.64,Non-Solver,N/A
48,OH_sen,2,6,0.4,0.6,Non-Solver,N/A
49,OH_sen,1,4,0.5,0.5,Solver,N/A
52,OH_sen,1,4,0.49,0.51,Solver,N/A
58,OH_sen,1,10,1.0,0.0,Solver,N/A
70,OH_sen,2,2,0.41,0.59,Non-Solver,N/A
72,OH_sen,1,10,0.65,0.35,Solver,N/A
82,OH_sen,1,2,0.51,0.49,Solver,N/A
87,OH_sen,2,4,0.8,0.2,Non-Solver,N/A
89,OH_sen,2,6,0.44,0.56,Non-Solver,N/A
100,OH_sen,1,4,0.57,0.43,Solver,N/A
106,OH_sen,1,2,0.5,0.5,Solver,N/A
114,OH_sen,2,8,0.3,0.7,Non-Solver,N/A
118,OH_sen,2,10,0.1,0.9,Non-Solver,N/A
122,OH_sen,1,2,0.6,0.4,Solver,N/A
123,OH_sen,1,6,0.65,0.35,Solver,N/A
125,OH_sen,1,6,0.58,0.42,Solver,N/A
128,OH_sen,2,6,0.27,0.73,Non-Solver,N/A
130,OH_sen,1,6,0.54,0.46,Solver,N/A
132,OH_sen,1,6,0.71,0.29,Solver,N/A
135,OH_sen,1,10,0.82,0.18,Solver,N/A
137,OH_sen,1,2,0.56,0.44,Solver,N/A
138,OH_sen,1,6,0.97,0.03,Solver,N/A
140,OH_sen,1,6,0.41,0.59,Solver,N/A
150,OH_sen,2,2,0.4,0.6,Non-Solver,N/A
152,OH_sen,2,8,0.31,0.69,Non-Solver,N/A
154,OH_sen,1,4,0.53,0.47,Solver,N/A
156,OH_sen,2,6,0.51,0.49,Non-Solver,N/A
159,OH_sen,1,6,0.63,0.37,Solver,N/A
160,OH_sen,2,6,0.62,0.38,Non-Solver,N/A
166,OH_sen,2,6,0.5,0.5,Non-Solver,N/A
172,OH_sen,2,8,0.16,0.84,Non-Solver,N/A
179,OH_sen,2,2,0.49,0.51,Non-Solver,N/A
185,OH_sen,1,6,0.6,0.4,Solver,N/A
189,OH_sen,1,6,0.8,0.2,Solver,N/A
192,OH_sen,1,8,0.61,0.39,Solver,N/A
193,OH_sen,2,4,0.63,0.37,Non-Solver,N/A
195,OH_sen,1,10,0.95,0.05,Solver,N/A
197,OH_sen,1,8,0.56,0.44,Solver,N/A
204,OH_sen,1,6,0.65,0.35,Solver,N/A
208,OH_sen,1,2,0.51,0.49,Solver,N/A
211,OH_sen,1,4,0.38,0.62,Solver,N/A
212,OH_sen,2,6,0.48,0.52,Non-Solver,N/A
213,OH_sen,2,2,0.89,0.11,Non-Solver,N/A
216,OH_sen,1,6,0.66,0.34,Solver,N/A
228,OH_sen,2,6,0.45,0.55,Non-Solver,N/A
241,OH_sen,2,2,0.5,0.5,Non-Solver,N/A
243,OH_sen,2,8,0.2,0.8,Non-Solver,N/A
244,OH_sen,2,4,0.65,0.35,Non-Solver,N/A
247,OH_sen,2,2,0.39,0.61,Non-Solver,N/A
251,OH_sen,1,6,0.51,0.49,Solver,N/A
265,OH_sen,2,6,0.33,0.67,Non-Solver,N/A
267,OH_sen,1,6,0.56,0.44,Solver,N/A
270,OH_sen,1,8,0.83,0.17,Solver,N/A
271,OH_sen,1,6,0.7,0.3,Solver,N/A
275,OH_sen,1,8,0.8,0.2,Solver,N/A
283,OH_sen,1,6,0.27,0.73,Solver,N/A
285,OH_sen,2,6,0.45,0.55,Non-Solver,N/A
292,OH_sen,2,4,0.34,0.66,Non-Solver,N/A
299,OH_sen,1,2,0.51,0.49,Solver,N/A
303,OH_sen,2,6,0.5,0.5,Non-Solver,N/A
304,OH_sen,1,2,0.43,0.57,Solver,N/A
308,OH_sen,2,2,0.49,0.51,Non-Solver,N/A
