Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,OK_gub,1,6,0.58,0.42,Non-Solver,N/A
3,OK_gub,1,8,0.32,0.68,Non-Solver,N/A
7,OK_gub,2,6,0.26,0.74,Solver,N/A
12,OK_gub,2,10,0.0,1.0,Solver,N/A
17,OK_gub,2,8,0.23,0.77,Solver,N/A
23,OK_gub,2,2,0.3,0.7,Solver,N/A
26,OK_gub,2,2,0.5,0.5,Solver,N/A
35,OK_gub,2,6,0.72,0.28,Solver,N/A
42,OK_gub,2,8,0.16,0.84,Solver,N/A
44,OK_gub,2,4,0.4,0.6,Solver,N/A
45,OK_gub,2,10,0.0,1.0,Solver,N/A
51,OK_gub,2,6,0.32,0.68,Solver,N/A
54,OK_gub,2,2,0.49,0.51,Solver,N/A
58,OK_gub,1,8,0.92,0.08,Non-Solver,N/A
60,OK_gub,1,10,0.73,0.27,Non-Solver,N/A
61,OK_gub,2,6,0.4,0.6,Solver,N/A
63,OK_gub,2,6,0.28,0.72,Solver,N/A
68,OK_gub,2,8,0.14,0.86,Solver,N/A
73,OK_gub,2,2,0.39,0.61,Solver,N/A
81,OK_gub,2,8,0.19,0.81,Solver,N/A
92,OK_gub,2,8,0.31,0.69,Solver,N/A
96,OK_gub,2,2,0.22,0.78,Solver,N/A
105,OK_gub,2,6,0.4,0.6,Solver,N/A
107,OK_gub,1,6,0.86,0.14,Non-Solver,N/A
108,OK_gub,1,6,0.74,0.26,Non-Solver,N/A
110,OK_gub,2,2,0.49,0.51,Solver,N/A
114,OK_gub,2,6,0.28,0.72,Solver,N/A
116,OK_gub,2,2,0.58,0.42,Solver,N/A
117,OK_gub,2,6,0.34,0.66,Solver,N/A
120,OK_gub,2,6,0.28,0.72,Solver,N/A
123,OK_gub,2,6,0.36,0.64,Solver,N/A
124,OK_gub,2,8,0.2,0.8,Solver,N/A
131,OK_gub,2,6,0.42,0.58,Solver,N/A
139,OK_gub,1,4,0.31,0.69,Non-Solver,N/A
143,OK_gub,2,2,0.59,0.41,Solver,N/A
149,OK_gub,2,8,0.2,0.8,Solver,N/A
155,OK_gub,2,2,0.6,0.4,Solver,N/A
159,OK_gub,1,6,0.69,0.31,Non-Solver,N/A
161,OK_gub,1,4,0.29,0.71,Non-Solver,N/A
162,OK_gub,1,6,0.92,0.08,Non-Solver,N/A
178,OK_gub,2,2,0.5,0.5,Solver,N/A
180,OK_gub,1,6,0.62,0.38,Non-Solver,N/A
183,OK_gub,2,8,0.55,0.45,Solver,N/A
184,OK_gub,2,6,0.47,0.53,Solver,N/A
186,OK_gub,1,2,0.36,0.64,Non-Solver,N/A
194,OK_gub,2,6,0.49,0.51,Solver,N/A
203,OK_gub,1,10,0.81,0.19,Non-Solver,N/A
204,OK_gub,2,8,0.15,0.85,Solver,N/A
213,OK_gub,2,2,0.89,0.11,Solver,N/A
216,OK_gub,1,4,0.6,0.4,Non-Solver,N/A
224,OK_gub,2,2,0.44,0.56,Solver,N/A
225,OK_gub,1,2,0.35,0.65,Non-Solver,N/A
226,OK_gub,2,4,0.58,0.42,Solver,N/A
237,OK_gub,2,2,0.78,0.22,Solver,N/A
239,OK_gub,2,6,0.14,0.86,Solver,N/A
240,OK_gub,2,4,0.24,0.76,Solver,N/A
246,OK_gub,2,6,0.48,0.52,Solver,N/A
252,OK_gub,1,6,0.79,0.21,Non-Solver,N/A
257,OK_gub,2,8,0.18,0.82,Solver,N/A
262,OK_gub,2,4,0.71,0.29,Solver,N/A
270,OK_gub,2,10,0.02,0.98,Solver,N/A
275,OK_gub,2,10,0.15,0.85,Solver,N/A
281,OK_gub,2,8,0.8,0.2,Solver,N/A
282,OK_gub,2,4,0.6,0.4,Solver,N/A
285,OK_gub,2,4,0.54,0.46,Solver,N/A
290,OK_gub,2,8,0.36,0.64,Solver,N/A
293,OK_gub,2,6,0.24,0.76,Solver,N/A
295,OK_gub,2,2,0.5,0.5,Solver,N/A
299,OK_gub,2,6,0.4,0.6,Solver,N/A
305,OK_gub,2,2,0.17,0.83,Solver,N/A
