Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,OR_gub,2,6,0.59,0.41,Non-Solver,N/A
3,OR_gub,1,6,0.36,0.64,Solver,N/A
7,OR_gub,2,6,0.16,0.84,Non-Solver,N/A
8,OR_gub,1,6,0.59,0.41,Solver,N/A
19,OR_gub,2,6,0.39,0.61,Non-Solver,N/A
21,OR_gub,1,8,0.86,0.14,Solver,N/A
22,OR_gub,1,6,0.63,0.37,Solver,N/A
24,OR_gub,1,2,0.45,0.55,Solver,N/A
27,OR_gub,1,6,0.64,0.36,Solver,N/A
28,OR_gub,1,4,0.61,0.39,Solver,N/A
29,OR_gub,2,8,0.23,0.77,Non-Solver,N/A
38,OR_gub,2,8,0.55,0.45,Non-Solver,N/A
40,OR_gub,1,4,0.54,0.46,Solver,N/A
52,OR_gub,2,4,0.49,0.51,Non-Solver,N/A
54,OR_gub,1,8,0.71,0.29,Solver,N/A
57,OR_gub,1,8,0.87,0.13,Solver,N/A
67,OR_gub,2,2,0.59,0.41,Non-Solver,N/A
72,OR_gub,1,6,0.55,0.45,Solver,N/A
76,OR_gub,1,6,0.71,0.29,Solver,N/A
81,OR_gub,2,6,0.31,0.69,Non-Solver,N/A
83,OR_gub,1,6,0.65,0.35,Solver,N/A
84,OR_gub,1,4,0.34,0.66,Solver,N/A
89,OR_gub,1,8,0.76,0.24,Solver,N/A
96,OR_gub,1,2,0.61,0.39,Solver,N/A
102,OR_gub,1,6,0.7,0.3,Solver,N/A
104,OR_gub,2,6,0.45,0.55,Non-Solver,N/A
111,OR_gub,1,2,0.36,0.64,Solver,N/A
117,OR_gub,2,6,0.29,0.71,Non-Solver,N/A
124,OR_gub,1,10,0.93,0.07,Solver,N/A
127,OR_gub,2,2,0.26,0.74,Non-Solver,N/A
133,OR_gub,1,2,0.59,0.41,Solver,N/A
135,OR_gub,1,8,0.81,0.19,Solver,N/A
142,OR_gub,1,6,0.5,0.5,Solver,N/A
143,OR_gub,1,6,0.69,0.31,Solver,N/A
161,OR_gub,1,2,0.43,0.57,Solver,N/A
167,OR_gub,1,8,0.8,0.2,Solver,N/A
170,OR_gub,1,6,0.67,0.33,Solver,N/A
174,OR_gub,2,2,0.43,0.57,Non-Solver,N/A
179,OR_gub,2,2,0.49,0.51,Non-Solver,N/A
180,OR_gub,1,6,0.67,0.33,Solver,N/A
183,OR_gub,1,8,0.59,0.41,Solver,N/A
184,OR_gub,1,6,0.52,0.48,Solver,N/A
190,OR_gub,1,10,0.88,0.12,Solver,N/A
200,OR_gub,2,4,0.51,0.49,Non-Solver,N/A
201,OR_gub,1,10,0.94,0.0600000000000001,Solver,N/A
205,OR_gub,2,8,0.41,0.59,Non-Solver,N/A
211,OR_gub,2,8,0.16,0.84,Non-Solver,N/A
218,OR_gub,2,4,0.77,0.23,Non-Solver,N/A
220,OR_gub,1,4,0.55,0.45,Solver,N/A
224,OR_gub,1,6,0.67,0.33,Solver,N/A
226,OR_gub,1,6,0.65,0.35,Solver,N/A
227,OR_gub,1,2,0.41,0.59,Solver,N/A
231,OR_gub,1,8,0.78,0.22,Solver,N/A
233,OR_gub,2,6,0.61,0.39,Non-Solver,N/A
237,OR_gub,1,4,0.63,0.37,Solver,N/A
240,OR_gub,1,6,0.61,0.39,Solver,N/A
243,OR_gub,1,6,0.54,0.46,Solver,N/A
245,OR_gub,1,6,0.6,0.4,Solver,N/A
246,OR_gub,2,2,0.35,0.65,Non-Solver,N/A
256,OR_gub,1,2,0.74,0.26,Solver,N/A
261,OR_gub,2,6,0.4,0.6,Non-Solver,N/A
262,OR_gub,1,8,0.82,0.18,Solver,N/A
270,OR_gub,1,8,0.88,0.12,Solver,N/A
275,OR_gub,1,8,0.81,0.19,Solver,N/A
280,OR_gub,1,6,0.82,0.18,Solver,N/A
281,OR_gub,1,2,0.21,0.79,Solver,N/A
296,OR_gub,1,6,0.59,0.41,Solver,N/A
299,OR_gub,1,6,0.5,0.5,Solver,N/A
302,OR_gub,1,8,0.78,0.22,Solver,N/A
303,OR_gub,2,6,0.5,0.5,Non-Solver,N/A
