Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
4,PA_10,1,6,0.34,0.66,Non-Solver,N/A
10,PA_10,2,6,0.72,0.28,Solver,N/A
11,PA_10,2,4,0.63,0.37,Solver,N/A
14,PA_10,1,4,0.07,0.93,Non-Solver,N/A
30,PA_10,1,2,0.4,0.6,Non-Solver,N/A
31,PA_10,2,4,0.5,0.5,Solver,N/A
32,PA_10,1,6,0.57,0.43,Non-Solver,N/A
34,PA_10,1,4,0.5,0.5,Non-Solver,N/A
39,PA_10,1,6,0.5,0.5,Non-Solver,N/A
43,PA_10,1,2,0.54,0.46,Non-Solver,N/A
46,PA_10,1,6,0.6,0.4,Non-Solver,N/A
47,PA_10,2,8,0.35,0.65,Solver,N/A
59,PA_10,2,2,0.5,0.5,Solver,N/A
62,PA_10,1,6,0.62,0.38,Non-Solver,N/A
64,PA_10,1,6,0.57,0.43,Non-Solver,N/A
73,PA_10,1,4,0.54,0.46,Non-Solver,N/A
74,PA_10,2,2,0.49,0.51,Solver,N/A
90,PA_10,1,2,0.5,0.5,Non-Solver,N/A
92,PA_10,1,6,0.63,0.37,Non-Solver,N/A
94,PA_10,2,4,0.69,0.31,Solver,N/A
97,PA_10,2,6,0.34,0.66,Solver,N/A
100,PA_10,2,6,0.49,0.51,Solver,N/A
103,PA_10,1,4,0.39,0.61,Non-Solver,N/A
106,PA_10,1,8,0.6,0.4,Non-Solver,N/A
107,PA_10,1,4,0.3,0.7,Non-Solver,N/A
120,PA_10,1,2,0.6,0.4,Non-Solver,N/A
123,PA_10,1,6,0.59,0.41,Non-Solver,N/A
124,PA_10,2,4,0.5,0.5,Solver,N/A
129,PA_10,1,2,0.51,0.49,Non-Solver,N/A
133,PA_10,1,4,0.6,0.4,Non-Solver,N/A
134,PA_10,2,4,0.33,0.67,Solver,N/A
141,PA_10,1,6,0.59,0.41,Non-Solver,N/A
147,PA_10,1,4,0.65,0.35,Non-Solver,N/A
156,PA_10,2,10,0.0,1.0,Solver,N/A
160,PA_10,2,6,0.59,0.41,Solver,N/A
162,PA_10,1,6,0.57,0.43,Non-Solver,N/A
165,PA_10,2,4,0.4,0.6,Solver,N/A
176,PA_10,1,6,0.7,0.3,Non-Solver,N/A
189,PA_10,2,6,0.49,0.51,Solver,N/A
197,PA_10,1,8,0.71,0.29,Non-Solver,N/A
199,PA_10,1,4,0.51,0.49,Non-Solver,N/A
200,PA_10,2,2,0.49,0.51,Solver,N/A
206,PA_10,1,4,0.32,0.68,Non-Solver,N/A
208,PA_10,1,2,0.51,0.49,Non-Solver,N/A
210,PA_10,2,6,0.39,0.61,Solver,N/A
213,PA_10,2,2,0.91,0.09,Solver,N/A
214,PA_10,1,2,0.4,0.6,Non-Solver,N/A
215,PA_10,2,6,0.4,0.6,Solver,N/A
216,PA_10,1,4,0.6,0.4,Non-Solver,N/A
219,PA_10,2,2,0.39,0.61,Solver,N/A
221,PA_10,2,8,0.08,0.92,Solver,N/A
223,PA_10,1,4,0.55,0.45,Non-Solver,N/A
227,PA_10,2,2,0.81,0.19,Solver,N/A
229,PA_10,1,2,0.63,0.37,Non-Solver,N/A
230,PA_10,2,6,0.49,0.51,Solver,N/A
231,PA_10,2,6,0.42,0.58,Solver,N/A
234,PA_10,1,8,0.9,0.1,Non-Solver,N/A
237,PA_10,1,2,0.37,0.63,Non-Solver,N/A
254,PA_10,2,6,0.49,0.51,Solver,N/A
260,PA_10,1,8,0.75,0.25,Non-Solver,N/A
261,PA_10,1,6,0.45,0.55,Non-Solver,N/A
263,PA_10,1,2,0.6,0.4,Non-Solver,N/A
267,PA_10,1,4,0.38,0.62,Non-Solver,N/A
268,PA_10,1,8,0.8,0.2,Non-Solver,N/A
273,PA_10,1,4,0.31,0.69,Non-Solver,N/A
277,PA_10,2,8,0.08,0.92,Solver,N/A
279,PA_10,1,8,0.81,0.19,Non-Solver,N/A
281,PA_10,1,6,0.7,0.3,Non-Solver,N/A
282,PA_10,1,6,0.8,0.2,Non-Solver,N/A
288,PA_10,1,6,0.53,0.47,Non-Solver,N/A
290,PA_10,1,4,0.58,0.42,Non-Solver,N/A
291,PA_10,1,2,0.51,0.49,Non-Solver,N/A
297,PA_10,2,8,0.32,0.68,Solver,N/A
303,PA_10,2,6,0.5,0.5,Solver,N/A
305,PA_10,1,2,0.55,0.45,Non-Solver,N/A
306,PA_10,1,2,0.51,0.49,Non-Solver,N/A
