Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
4,PA_gub,1,6,0.66,0.34,Solver,N/A
5,PA_gub,2,6,0.45,0.55,Non-Solver,N/A
17,PA_gub,2,8,0.29,0.71,Non-Solver,N/A
18,PA_gub,1,4,0.51,0.49,Solver,N/A
28,PA_gub,1,2,0.31,0.69,Solver,N/A
30,PA_gub,1,8,0.85,0.15,Solver,N/A
32,PA_gub,1,6,0.71,0.29,Solver,N/A
35,PA_gub,2,4,0.32,0.68,Non-Solver,N/A
36,PA_gub,2,6,0.49,0.51,Non-Solver,N/A
42,PA_gub,1,6,0.66,0.34,Solver,N/A
45,PA_gub,1,8,0.75,0.25,Solver,N/A
48,PA_gub,2,6,0.2,0.8,Non-Solver,N/A
58,PA_gub,1,8,0.89,0.11,Solver,N/A
63,PA_gub,2,6,0.38,0.62,Non-Solver,N/A
79,PA_gub,1,6,0.6,0.4,Solver,N/A
82,PA_gub,1,6,0.68,0.32,Solver,N/A
87,PA_gub,1,10,0.95,0.05,Solver,N/A
90,PA_gub,1,6,0.7,0.3,Solver,N/A
94,PA_gub,2,6,0.37,0.63,Non-Solver,N/A
101,PA_gub,2,6,0.49,0.51,Non-Solver,N/A
105,PA_gub,1,6,0.55,0.45,Solver,N/A
108,PA_gub,2,6,0.68,0.32,Non-Solver,N/A
110,PA_gub,2,2,0.49,0.51,Non-Solver,N/A
112,PA_gub,1,6,0.72,0.28,Solver,N/A
114,PA_gub,1,6,0.65,0.35,Solver,N/A
118,PA_gub,2,10,0.0,1.0,Non-Solver,N/A
120,PA_gub,1,6,0.52,0.48,Solver,N/A
128,PA_gub,2,6,0.31,0.69,Non-Solver,N/A
129,PA_gub,1,2,0.49,0.51,Solver,N/A
132,PA_gub,1,6,0.61,0.39,Solver,N/A
139,PA_gub,1,2,0.31,0.69,Solver,N/A
140,PA_gub,1,6,0.55,0.45,Solver,N/A
146,PA_gub,1,2,0.52,0.48,Solver,N/A
150,PA_gub,1,4,0.53,0.47,Solver,N/A
155,PA_gub,1,2,0.7,0.3,Solver,N/A
158,PA_gub,2,6,0.41,0.59,Non-Solver,N/A
159,PA_gub,1,6,0.4,0.6,Solver,N/A
164,PA_gub,1,6,0.72,0.28,Solver,N/A
173,PA_gub,1,2,0.5,0.5,Solver,N/A
175,PA_gub,2,2,0.56,0.44,Non-Solver,N/A
178,PA_gub,2,2,0.5,0.5,Non-Solver,N/A
187,PA_gub,1,4,0.44,0.56,Solver,N/A
189,PA_gub,2,8,0.2,0.8,Non-Solver,N/A
193,PA_gub,2,6,0.26,0.74,Non-Solver,N/A
196,PA_gub,1,8,0.83,0.17,Solver,N/A
201,PA_gub,1,10,0.95,0.05,Solver,N/A
202,PA_gub,1,8,0.6,0.4,Solver,N/A
204,PA_gub,1,6,0.7,0.3,Solver,N/A
207,PA_gub,1,6,0.62,0.38,Solver,N/A
208,PA_gub,1,8,0.8,0.2,Solver,N/A
211,PA_gub,2,2,0.79,0.21,Non-Solver,N/A
220,PA_gub,1,4,0.55,0.45,Solver,N/A
232,PA_gub,1,2,0.51,0.49,Solver,N/A
236,PA_gub,1,2,0.5,0.5,Solver,N/A
238,PA_gub,1,6,0.61,0.39,Solver,N/A
245,PA_gub,1,4,0.5,0.5,Solver,N/A
250,PA_gub,1,10,0.8,0.2,Solver,N/A
252,PA_gub,1,6,0.81,0.19,Solver,N/A
254,PA_gub,1,6,0.5,0.5,Solver,N/A
260,PA_gub,2,6,0.45,0.55,Non-Solver,N/A
263,PA_gub,1,8,0.77,0.23,Solver,N/A
264,PA_gub,1,6,0.63,0.37,Solver,N/A
267,PA_gub,2,4,0.71,0.29,Non-Solver,N/A
271,PA_gub,1,6,0.7,0.3,Solver,N/A
273,PA_gub,1,8,0.74,0.26,Solver,N/A
277,PA_gub,2,8,0.15,0.85,Non-Solver,N/A
279,PA_gub,1,8,0.81,0.19,Solver,N/A
283,PA_gub,2,10,0.04,0.96,Non-Solver,N/A
289,PA_gub,2,2,0.62,0.38,Non-Solver,N/A
298,PA_gub,1,10,0.91,0.09,Solver,N/A
300,PA_gub,2,6,0.39,0.61,Non-Solver,N/A
307,PA_gub,1,6,0.54,0.46,Solver,N/A
