Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,PA_sen,1,6,0.32,0.68,Solver,N/A
9,PA_sen,2,2,0.49,0.51,Non-Solver,N/A
15,PA_sen,2,4,0.12,0.88,Non-Solver,N/A
19,PA_sen,2,8,0.41,0.59,Non-Solver,N/A
23,PA_sen,1,2,0.6,0.4,Solver,N/A
28,PA_sen,2,2,0.6,0.4,Non-Solver,N/A
29,PA_sen,1,6,0.62,0.38,Solver,N/A
32,PA_sen,1,6,0.46,0.54,Solver,N/A
36,PA_sen,1,6,0.41,0.59,Solver,N/A
40,PA_sen,1,6,0.57,0.43,Solver,N/A
44,PA_sen,1,2,0.51,0.49,Solver,N/A
45,PA_sen,1,8,0.75,0.25,Solver,N/A
49,PA_sen,1,4,0.5,0.5,Solver,N/A
57,PA_sen,1,6,0.68,0.32,Solver,N/A
61,PA_sen,2,4,0.83,0.17,Non-Solver,N/A
67,PA_sen,2,2,0.64,0.36,Non-Solver,N/A
69,PA_sen,1,10,0.95,0.05,Solver,N/A
76,PA_sen,1,8,0.88,0.12,Solver,N/A
87,PA_sen,1,6,0.75,0.25,Solver,N/A
90,PA_sen,1,8,0.75,0.25,Solver,N/A
94,PA_sen,1,6,0.62,0.38,Solver,N/A
101,PA_sen,2,6,0.61,0.39,Non-Solver,N/A
125,PA_sen,2,6,0.44,0.56,Non-Solver,N/A
128,PA_sen,2,4,0.72,0.28,Non-Solver,N/A
129,PA_sen,1,6,0.51,0.49,Solver,N/A
131,PA_sen,1,2,0.63,0.37,Solver,N/A
134,PA_sen,2,4,0.44,0.56,Non-Solver,N/A
136,PA_sen,1,6,0.65,0.35,Solver,N/A
138,PA_sen,1,6,0.75,0.25,Solver,N/A
139,PA_sen,1,2,0.19,0.81,Solver,N/A
141,PA_sen,2,6,0.28,0.72,Non-Solver,N/A
147,PA_sen,1,2,0.15,0.85,Solver,N/A
148,PA_sen,1,2,0.45,0.55,Solver,N/A
150,PA_sen,1,2,0.51,0.49,Solver,N/A
160,PA_sen,2,6,0.39,0.61,Non-Solver,N/A
162,PA_sen,1,8,0.51,0.49,Solver,N/A
164,PA_sen,1,8,0.87,0.13,Solver,N/A
165,PA_sen,2,4,0.49,0.51,Non-Solver,N/A
173,PA_sen,1,2,0.25,0.75,Solver,N/A
174,PA_sen,2,2,0.45,0.55,Non-Solver,N/A
180,PA_sen,1,2,0.28,0.72,Solver,N/A
182,PA_sen,2,8,0.26,0.74,Non-Solver,N/A
187,PA_sen,1,2,0.59,0.41,Solver,N/A
189,PA_sen,1,6,0.5,0.5,Solver,N/A
199,PA_sen,1,6,0.55,0.45,Solver,N/A
205,PA_sen,1,2,0.25,0.75,Solver,N/A
214,PA_sen,1,2,0.35,0.65,Solver,N/A
215,PA_sen,2,4,0.4,0.6,Non-Solver,N/A
219,PA_sen,2,4,0.45,0.55,Non-Solver,N/A
221,PA_sen,2,8,0.1,0.9,Non-Solver,N/A
222,PA_sen,1,6,0.68,0.32,Solver,N/A
231,PA_sen,1,4,0.55,0.45,Solver,N/A
237,PA_sen,1,6,0.64,0.36,Solver,N/A
239,PA_sen,2,2,0.33,0.67,Non-Solver,N/A
241,PA_sen,2,2,0.5,0.5,Non-Solver,N/A
245,PA_sen,1,2,0.5,0.5,Solver,N/A
249,PA_sen,1,10,0.86,0.14,Solver,N/A
257,PA_sen,2,6,0.34,0.66,Non-Solver,N/A
258,PA_sen,2,6,0.49,0.51,Non-Solver,N/A
260,PA_sen,2,6,0.4,0.6,Non-Solver,N/A
272,PA_sen,1,4,0.44,0.56,Solver,N/A
278,PA_sen,1,8,0.58,0.42,Solver,N/A
280,PA_sen,2,2,0.52,0.48,Non-Solver,N/A
281,PA_sen,1,6,0.6,0.4,Solver,N/A
283,PA_sen,2,4,0.66,0.34,Non-Solver,N/A
286,PA_sen,2,2,0.3,0.7,Non-Solver,N/A
291,PA_sen,1,2,0.51,0.49,Solver,N/A
292,PA_sen,1,6,0.59,0.41,Solver,N/A
308,PA_sen,1,2,0.5,0.5,Solver,N/A
309,PA_sen,2,6,0.66,0.34,Non-Solver,N/A
